aggregation_level,application,scenario_name,environment_seed,category,union_agent_decision_epochs,divergent_agent_decision_epochs,divergent_agent_decision_epochs_percent,thermo_event_count,control_event_count
pair,commercial,unseen_compound,4101,messages,102,59,57.84313725490196,90,82
pair,commercial,unseen_compound,4101,message_recipients,102,57,55.88235294117647,90,82
pair,commercial,unseen_compound,4101,negotiation_initiations,102,29,28.431372549019606,8,25
pair,commercial,unseen_compound,4101,offers,102,24,23.529411764705884,5,21
pair,commercial,unseen_compound,4101,counteroffers,102,0,0.0,0,0
pair,commercial,unseen_compound,4101,coalition_proposals,102,34,33.333333333333336,22,18
pair,commercial,unseen_compound,4101,coalition_memberships,102,0,0.0,0,0
pair,commercial,unseen_compound,4101,tool_calls,102,85,83.33333333333333,84,75
pair,commercial,unseen_compound,4101,operational_actions,102,1,0.9803921568627451,0,1
pair,commercial,unseen_correlated_partition,4101,messages,126,53,42.06349206349206,90,81
pair,commercial,unseen_correlated_partition,4101,message_recipients,126,51,40.476190476190474,90,81
pair,commercial,unseen_correlated_partition,4101,negotiation_initiations,126,23,18.253968253968253,4,21
pair,commercial,unseen_correlated_partition,4101,offers,126,15,11.904761904761905,3,14
pair,commercial,unseen_correlated_partition,4101,counteroffers,126,1,0.7936507936507936,0,1
pair,commercial,unseen_correlated_partition,4101,coalition_proposals,126,42,33.333333333333336,24,18
pair,commercial,unseen_correlated_partition,4101,coalition_memberships,126,0,0.0,0,0
pair,commercial,unseen_correlated_partition,4101,tool_calls,126,101,80.15873015873017,83,86
pair,commercial,unseen_correlated_partition,4101,operational_actions,126,4,3.1746031746031744,2,3
pair,commercial,unseen_compound,4102,messages,115,55,47.82608695652174,90,87
pair,commercial,unseen_compound,4102,message_recipients,115,55,47.82608695652174,90,87
pair,commercial,unseen_compound,4102,negotiation_initiations,115,26,22.608695652173914,8,21
pair,commercial,unseen_compound,4102,offers,115,16,13.91304347826087,5,13
pair,commercial,unseen_compound,4102,counteroffers,115,0,0.0,0,0
pair,commercial,unseen_compound,4102,coalition_proposals,115,36,31.304347826086957,23,20
pair,commercial,unseen_compound,4102,coalition_memberships,115,0,0.0,0,0
pair,commercial,unseen_compound,4102,tool_calls,115,89,77.3913043478261,84,80
pair,commercial,unseen_compound,4102,operational_actions,115,5,4.3478260869565215,3,3
pair,commercial,unseen_correlated_partition,4102,messages,109,61,55.96330275229358,90,82
pair,commercial,unseen_correlated_partition,4102,message_recipients,109,61,55.96330275229358,90,82
pair,commercial,unseen_correlated_partition,4102,negotiation_initiations,109,31,28.440366972477065,5,29
pair,commercial,unseen_correlated_partition,4102,offers,109,22,20.18348623853211,2,21
pair,commercial,unseen_correlated_partition,4102,counteroffers,109,0,0.0,0,0
pair,commercial,unseen_correlated_partition,4102,coalition_proposals,109,41,37.61467889908257,26,20
pair,commercial,unseen_correlated_partition,4102,coalition_memberships,109,0,0.0,0,0
pair,commercial,unseen_correlated_partition,4102,tool_calls,109,92,84.40366972477064,81,73
