aggregation_level,application,scenario_name,environment_seed,simulator_steps,steps_with_different_option_multisets,step_option_divergence_percent,thermo_decision_epochs,control_decision_epochs,common_agent_decision_epochs,union_agent_decision_epochs,different_options_on_common_epochs,common_option_divergence_percent,different_or_missing_options_on_union_epochs,union_option_divergence_percent,decision_epochs_present_in_only_one_method,different_action_masks_on_common_epochs,action_mask_divergence_percent,thermo_singleton_action_masks,control_singleton_action_masks,thermo_epochs_where_mask_changed_raw_argmax,control_epochs_where_mask_changed_raw_argmax,same_action_from_different_raw_argmax_due_to_mask
pair,commercial,unseen_compound,4101,22.0,20.0,90.9090909090909,89.0,82.0,69.0,102.0,34.0,49.27536231884058,67.0,65.68627450980392,33.0,37.0,53.6231884057971,0.0,0.0,60.0,67.0,9.0
pair,commercial,unseen_correlated_partition,4101,22.0,22.0,100.0,97.0,103.0,74.0,126.0,42.0,56.75675675675676,94.0,74.60317460317461,52.0,46.0,62.16216216216216,0.0,0.0,59.0,61.0,21.0
pair,commercial,unseen_compound,4102,22.0,19.0,86.36363636363636,90.0,96.0,71.0,115.0,37.0,52.11267605633803,81.0,70.43478260869566,44.0,46.0,64.78873239436619,0.0,0.0,61.0,66.0,13.0
pair,commercial,unseen_correlated_partition,4102,22.0,20.0,90.9090909090909,92.0,86.0,69.0,109.0,42.0,60.869565217391305,82.0,75.22935779816514,40.0,43.0,62.31884057971015,0.0,0.0,56.0,67.0,8.0
pair,commercial,unseen_compound,4103,22.0,22.0,100.0,100.0,76.0,70.0,106.0,42.0,60.0,78.0,73.58490566037736,36.0,44.0,62.857142857142854,0.0,0.0,51.0,70.0,9.0
pair,commercial,unseen_correlated_partition,4103,22.0,21.0,95.45454545454545,94.0,89.0,71.0,112.0,44.0,61.971830985915496,85.0,75.89285714285714,41.0,46.0,64.78873239436619,0.0,0.0,57.0,69.0,11.0
pair,commercial,unseen_compound,4104,22.0,20.0,90.9090909090909,87.0,86.0,74.0,99.0,42.0,56.75675675675676,67.0,67.67676767676768,25.0,48.0,64.86486486486487,0.0,0.0,62.0,73.0,9.0
pair,commercial,unseen_correlated_partition,4104,22.0,20.0,90.9090909090909,94.0,83.0,71.0,106.0,48.0,67.6056338028169,83.0,78.30188679245283,35.0,52.0,73.2394366197183,0.0,0.0,59.0,65.0,6.0
pair,humanitarian,unseen_compound,4101,22.0,18.0,81.81818181818181,86.0,81.0,65.0,102.0,20.0,30.76923076923077,57.0,55.88235294117647,37.0,26.0,40.0,0.0,0.0,65.0,64.0,12.0
pair,humanitarian,unseen_correlated_partition,4101,22.0,21.0,95.45454545454545,87.0,88.0,71.0,104.0,40.0,56.33802816901409,73.0,70.1923076923077,33.0,44.0,61.971830985915496,0.0,0.0,62.0,60.0,11.0
pair,humanitarian,unseen_compound,4102,22.0,22.0,100.0,82.0,81.0,66.0,97.0,24.0,36.36363636363637,55.0,56.70103092783505,31.0,32.0,48.484848484848484,0.0,0.0,59.0,63.0,9.0
pair,humanitarian,unseen_correlated_partition,4102,22.0,21.0,95.45454545454545,104.0,83.0,69.0,118.0,32.0,46.3768115942029,81.0,68.64406779661017,49.0,41.0,59.42028985507246,0.0,0.0,61.0,68.0,17.0
pair,humanitarian,unseen_compound,4103,22.0,19.0,86.36363636363636,92.0,87.0,70.0,109.0,32.0,45.714285714285715,71.0,65.13761467889908,39.0,36.0,51.42857142857143,0.0,0.0,64.0,69.0,8.0
pair,humanitarian,unseen_correlated_partition,4103,22.0,22.0,100.0,84.0,84.0,65.0,103.0,31.0,47.69230769230769,69.0,66.99029126213593,38.0,33.0,50.76923076923077,0.0,0.0,61.0,65.0,11.0
pair,humanitarian,unseen_compound,4104,22.0,18.0,81.81818181818181,84.0,83.0,68.0,99.0,26.0,38.23529411764706,57.0,57.57575757575758,31.0,27.0,39.705882352941174,0.0,0.0,67.0,68.0,9.0
pair,humanitarian,unseen_correlated_partition,4104,22.0,22.0,100.0,97.0,126.0,82.0,141.0,52.0,63.41463414634146,111.0,78.72340425531915,59.0,55.0,67.07317073170732,0.0,0.0,67.0,57.0,15.0
application,commercial,all_v1_holdout,all,176.0,164.0,93.18181818181819,743.0,701.0,569.0,875.0,331.0,58.17223198594024,637.0,72.8,306.0,362.0,63.62038664323374,0.0,0.0,465.0,538.0,86.0
application,humanitarian,all_v1_holdout,all,176.0,163.0,92.61363636363636,716.0,713.0,556.0,873.0,257.0,46.223021582733814,574.0,65.75028636884306,317.0,294.0,52.87769784172662,0.0,0.0,506.0,514.0,92.0
