application,feature_index,feature,feature_group,n_holdout_decisions,holdout_min,holdout_mean,holdout_standard_deviation,holdout_max,holdout_nonzero_percent,design_lower_bound,design_upper_bound,out_of_design_range_percent,at_design_bound_percent,v1_main_observed_min,v1_main_observed_max,out_of_v1_main_observed_range_percent,exact_v1_training_range_retained,exact_v1_training_range_status,thermo_checkpoint_first_layer_l2_norm,thermo_checkpoint_first_layer_norm_rank,mean_absolute_selected_logit_gradient,entropy_block_zeroing_action_change_percent,entropy_block_zeroing_mean_total_variation
commercial,0,backlog_pressure,ordinary_local,743,0.0,0.10193535229780311,0.28975878758301377,1.0,12.920592193808883,0.0,1.0,0.0,94.75100942126514,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.6806907653808594,4,0.5872625112533569,,
commercial,1,inventory_capacity_ratio,ordinary_local,743,0.0,0.8681480936395207,0.33826314460202234,1.0,87.07940780619113,0.0,1.0,0.0,99.7308209959623,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.8020800352096558,2,0.8186675906181335,,
commercial,2,impairment,ordinary_local,743,0.0,0.18788694701637587,0.3508324737443132,1.0,22.476446837146703,0.0,1.0,0.0,81.56123822341857,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.3936034440994263,8,0.5919076800346375,,
commercial,3,delay,ordinary_local,743,0.0,0.4728129216511189,0.4307975974876049,1.0,58.950201884253026,0.0,1.0,0.0,71.33243606998654,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.3969674110412598,7,0.5170496702194214,,
commercial,4,service_shortfall,ordinary_local,743,0.0,0.12259986543398686,0.3263078154956255,1.0,12.920592193808883,0.0,1.0,0.0,99.0578734858681,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.6080986261367798,5,0.8375139236450195,,
commercial,5,commitment_strain,ordinary_local,743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,False,training trajectories were not retained in v1,0.954628050327301,23,0.12216473370790482,,
commercial,6,communication_reliability,ordinary_local,743,0.08124999701976776,0.16560228768620805,0.053156537341456346,0.24500000476837158,100.0,0.0,1.0,0.0,0.0,0.12142857164144516,0.9800000190734863,25.033647375504707,False,training trajectories were not retained in v1,1.0413029193878174,19,0.2170146256685257,,
commercial,7,private_cost,ordinary_local,743,0.14045999944210052,0.20536845258636396,0.05295513816807414,0.29638001322746277,100.0,0.0,1.0,0.0,0.0,0.1448799967765808,0.2984600067138672,7.94078061911171,False,training trajectories were not retained in v1,0.9630163908004761,22,0.21529878675937653,,
commercial,8,utility_service,ordinary_local,743,0.32122713327407837,0.4987823248390875,0.09873408052731861,0.6790857911109924,100.0,0.0,1.0,0.0,0.0,0.27698928117752075,0.717979907989502,0.0,False,training trajectories were not retained in v1,0.8929119110107422,24,0.10687524825334549,,
commercial,9,utility_cost,ordinary_local,743,0.02500000037252903,0.15914385052821517,0.09302169698400661,0.32313990592956543,100.0,0.0,1.0,0.0,0.0,0.02500000037252903,0.37185829877853394,0.0,False,training trajectories were not retained in v1,0.9889149069786072,20,0.2767767310142517,,
commercial,10,utility_fairness,ordinary_local,743,0.009999999776482582,0.12952093495880812,0.08435360015798175,0.3142993748188019,100.0,0.0,1.0,0.0,0.0,0.009999999776482582,0.3674528896808624,0.0,False,training trajectories were not retained in v1,1.0620518922805786,17,0.2814409136772156,,
commercial,11,utility_disclosure,ordinary_local,743,0.0014217160642147064,0.04205071485524904,0.02182792054201523,0.08401431143283844,100.0,0.0,1.0,0.0,0.0,0.0,0.09116518497467041,0.0,False,training trajectories were not retained in v1,1.0994977951049805,15,0.5156712532043457,,
commercial,12,pending_commitments,ordinary_local,743,0.0,0.017496635262449527,0.06636640961474634,0.5,6.7294751009421265,0.0,1.0,0.0,93.27052489905788,0.0,0.75,0.0,False,training trajectories were not retained in v1,1.3093570470809937,9,0.23827515542507172,,
commercial,13,accepted_commitments,ordinary_local,743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.5,0.0,False,training trajectories were not retained in v1,1.2303000688552856,10,0.20896708965301514,,
commercial,14,partner_trust,ordinary_local,743,0.5,0.5,0.0,0.5,100.0,0.0,1.0,0.0,0.0,0.25,0.5,0.0,False,training trajectories were not retained in v1,1.0667363405227661,16,0.31028684973716736,,
commercial,15,communication_budget,ordinary_local,743,0.0,0.18180798388225394,0.27593646646211395,0.8333333134651184,44.68371467025572,0.0,1.0,0.0,55.316285329744275,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.69223952293396,3,1.2389955520629883,,
commercial,16,local_surprisal,entropy_monitor,743,0.08087147772312164,0.28335871819211206,0.17920146253601602,0.5035507082939148,100.0,0.0,1.0,0.0,0.0,0.08019229769706726,0.5035507082939148,0.0,False,training trajectories were not retained in v1,1.0544002056121826,18,0.40131980180740356,2.6917900403768504,0.05486169404006772
commercial,17,distributed_entropy,entropy_monitor,743,0.38039734959602356,0.482383768739803,0.07330327419050263,0.6167157292366028,100.0,0.0,1.0,0.0,0.0,0.33503788709640503,0.6399282217025757,0.0,False,training trajectories were not retained in v1,1.1368699073791504,13,0.4139912724494934,2.6917900403768504,0.05486169404006772
commercial,18,distributed_free_energy,entropy_monitor,743,0.13479897379875183,0.1640063697324306,0.02356886090355217,0.3377956449985504,100.0,0.0,1.0,0.0,0.0,0.10666758567094803,0.25550463795661926,0.13458950201884254,False,training trajectories were not retained in v1,1.102544903755188,14,0.37449130415916443,2.6917900403768504,0.05486169404006772
commercial,19,free_energy_change,entropy_monitor,743,-0.29267653822898865,0.029541152400625204,0.10670134492288642,0.41451865434646606,65.00672947510094,-1.0,1.0,0.0,0.0,-0.11948580294847488,0.4295492470264435,0.2691790040376851,False,training trajectories were not retained in v1,1.9039127826690674,1,1.0496716499328613,2.6917900403768504,0.05486169404006772
commercial,20,local_interaction_entropy,entropy_monitor,743,0.0,0.8326775121576533,0.28767669770963417,1.0,90.04037685060565,0.0,1.0,0.0,19.11170928667564,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.1389087438583374,12,0.3235549330711365,2.6917900403768504,0.05486169404006772
commercial,21,local_consensus_error,entropy_monitor,743,0.0,0.48221472567536466,0.3795708280799126,1.0,71.33243606998654,0.0,1.0,0.0,43.06864064602961,0.0,1.0,0.0,False,training trajectories were not retained in v1,0.9774907827377319,21,0.1464819759130478,2.6917900403768504,0.05486169404006772
commercial,22,role_index,ordinary_local,743,0.0,0.18358008502349557,0.13217141709116012,0.4000000059604645,79.67698519515478,0.0,1.0,0.0,20.323014804845222,0.0,0.4000000059604645,0.0,False,training trajectories were not retained in v1,1.1396698951721191,11,0.35130926966667175,,
commercial,23,previous_tool_failed,ordinary_local,743,0.0,0.2032301480484522,0.402402354581402,1.0,20.323014804845222,0.0,1.0,0.0,100.0,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.59418523311615,6,0.550794243812561,,
humanitarian,0,backlog_pressure,ordinary_local,716,0.0,0.19377276625525852,0.38121496559619256,1.0,22.48603351955307,0.0,1.0,0.0,91.75977653631286,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.6806907653808594,4,0.8672763109207153,,
humanitarian,1,inventory_capacity_ratio,ordinary_local,716,0.0,0.7656456224162486,0.4219482748201651,1.0,77.51396648044692,0.0,1.0,0.0,98.88268156424581,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.8020800352096558,2,1.141055703163147,,
humanitarian,2,impairment,ordinary_local,716,0.0,0.2374301702616601,0.3811861699555507,1.0,28.212290502793298,0.0,1.0,0.0,77.6536312849162,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.3936034440994263,8,0.558462381362915,,
humanitarian,3,delay,ordinary_local,716,0.0,0.5337988842466024,0.4121785485875998,1.0,67.59776536312849,0.0,1.0,0.0,63.687150837988824,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.3969674110412598,7,0.4898659586906433,,
humanitarian,4,service_shortfall,ordinary_local,716,0.0,0.21583854752545917,0.4095233648235635,1.0,22.48603351955307,0.0,1.0,0.0,98.88268156424581,0.0,1.0,0.0,False,training trajectories were not retained in v1,1.6080986261367798,5,1.0863338708877563,,
humanitarian,5,commitment_strain,ordinary_local,716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,False,training trajectories were not retained in v1,0.954628050327301,23,0.15618859231472015,,
humanitarian,6,communication_reliability,ordinary_local,716,0.0,0.15480446944523124,0.0606425202399166,0.24500000476837158,97.20670391061452,0.0,1.0,0.0,2.793296089385475,0.0,0.9800000190734863,0.0,False,training trajectories were not retained in v1,1.0413029193878174,19,0.25324174761772156,,
humanitarian,7,private_cost,ordinary_local,716,0.14010000228881836,0.20543469413698717,0.05264098258501597,0.29778000712394714,100.0,0.0,1.0,0.0,0.0,0.14740000665187836,0.2984600067138672,18.71508379888268,False,training trajectories were not retained in v1,0.9630163908004761,22,0.2486298382282257,,
