acceptances,agreement_rate,application,coalition_formation_rate,coalition_proposals,coalition_recall_when_required,coalitions,coalitions_formed,commitment_breaches,commitment_memory_accuracy,commitment_memory_items,conservation_error,contradiction_rate,counteroffers,cumulative_unmet_weighted_need,delivered_messages,failed_actions,fairness,final_backlog,fulfillment_rate,generated_tokens,individually_rational_agreement_rate,information_disclosures,inventory_efficiency,llm_calls,llm_latency_seconds,manifest,max_free_energy,mean_agent_utility,mean_consensus_rmse,mean_time_to_agreement,message_bytes,message_delivery_rate,messages,method,minimum_agent_utility,monitor_sketch_bytes,monitor_sketch_messages,multi_step_completion_rate,n_agents,on_time_delivery_rate,option_counts,partner_reliability_brier,partner_reliability_observations,plan_revisions,planner_revision,primary_outcome,prompt_tokens,recovery_time,rejections,run_id,scenario,scenario_name,seed,service_loss_auc,social_welfare,status,tool_calls,tool_proposals,total_communication_bytes,total_communication_messages,total_cost,transport_efficiency,useful_coalition_precision,valid_structured_output_rate,valid_tool_call_rate,wall_clock_seconds
1,0.125,commercial,1.0,35,1.0,34,8,1,0.8888888888888888,18,1.1368683772161603e-13,0.0,1,7097.362614428015,82,47,0.9085297957413843,789.3719953830166,0.017389982389895,9269,1.0,0,0.015476378569317743,130,143.65065485984093,manifests/ablations-commercial-thermoagent-n11-s3101.json,0.3263443616909106,-0.0698159961295755,0.04316439528205853,1.0,49494,0.4019607843137255,204,thermoagent,-0.8932388803162541,1135285,2954,0.3617021276595745,11,0.0,"{0: 3, 1: 2, 2: 0, 3: 9, 4: 4, 5: 33, 6: 43, 7: 17, 8: 19}",0.125,2,17,a09a35458c702b33eeacc393d103063234e8bc28,17.99778203011229,243369,14.0,0,ablations-commercial-thermoagent-n11-s3101,partition-compound-p1.0-o1.0,compound_partition,3101,17.99778203011229,0.24452243132524107,complete,105,130,1184779,3158,0.0,0.0,0.0,1.0,0.6384615384615384,143.91762336716056
0,0.0,commercial,1.0,36,1.0,36,11,0,1.0,6,-3.410605131648481e-13,0.0,0,6145.69411443439,91,44,0.9510260569283862,691.119337263328,0.021352654521410046,8843,0.0,0,0.016247606759980333,129,130.6007407866419,manifests/ablations-commercial-thermoagent-n11-s3102.json,0.3263443616909106,0.0033715368082850583,0.04330564190430551,,46753,0.4155251141552511,219,thermoagent,-0.6990600270498561,1112175,2894,0.45454545454545453,11,0.0,"{0: 1, 1: 2, 2: 0, 3: 8, 4: 0, 5: 35, 6: 43, 7: 13, 8: 27}",,0,20,a09a35458c702b33eeacc393d103063234e8bc28,17.465004140011537,226565,14.0,0,ablations-commercial-thermoagent-n11-s3102,partition-compound-p1.0-o1.0,compound_partition,3102,17.465004140011537,0.2591091687535066,complete,96,129,1158928,3113,0.0,0.0,0.0,1.0,0.6589147286821705,130.8459820151329
0,0.0,commercial,1.0,28,1.0,28,11,0,1.0,4,-1.1368683772161603e-13,0.0,0,6536.395966381843,80,64,0.9393268107258432,729.7641319608443,0.02263211828374061,10040,0.0,0,0.01846924616003221,136,146.93386885151267,manifests/ablations-commercial-thermoagent-n11-s3103.json,0.3263443616909106,-0.024504043793339578,0.04394990092874893,,45260,0.39603960396039606,202,thermoagent,-1.0505696105703777,1123691,2924,0.171875,11,0.0,"{0: 1, 1: 1, 2: 0, 3: 9, 4: 0, 5: 32, 6: 62, 7: 10, 8: 21}",,0,11,a09a35458c702b33eeacc393d103063234e8bc28,17.345871016984137,245789,14.0,0,ablations-commercial-thermoagent-n11-s3103,partition-compound-p1.0-o1.0,compound_partition,3103,17.345871016984137,0.25746382096520143,complete,102,136,1168951,3126,0.0,0.0,0.0,1.0,0.5294117647058824,147.1868045553565
0,0.0,commercial,1.0,33,1.0,33,10,0,1.0,6,-2.2737367544323206e-13,0.0,0,6347.952141566721,77,58,0.8620535303279799,734.4606458318423,0.04779822704328413,9408,0.0,0,0.03899843821071773,134,140.74030255526293,manifests/ablations-commercial-thermoagent-n11-s3104.json,0.3263443616909106,0.005242425320788724,0.0430796739294857,,43482,0.385,200,thermoagent,-0.622386968242596,1139983,2966,0.25862068965517243,11,1.0,"{0: 3, 1: 1, 2: 0, 3: 6, 4: 0, 5: 30, 6: 56, 7: 15, 8: 23}",,0,15,a09a35458c702b33eeacc393d103063234e8bc28,16.572323725855128,235467,14.0,0,ablations-commercial-thermoagent-n11-s3104,partition-compound-p1.0-o1.0,compound_partition,3104,16.572323725855128,0.26004694904210074,complete,96,134,1183465,3166,25.181267126793692,1.0,0.3,0.9925373134328358,0.5671641791044776,140.99218724668026
1,0.058823529411764705,commercial,1.0,20,1.0,20,9,1,0.9444444444444444,36,1.1368683772161603e-13,0.0,1,7037.248614428015,64,48,0.7506775198968227,785.3643953830166,0.022378641640041715,9260,1.0,3,0.019916082841442972,128,151.7620452530682,manifests/ablations-commercial-learned_no_entropy-n11-s3101.json,0.3263443616909106,-0.07071395296789852,0.04316439528205853,1.0,42941,0.3742690058479532,171,learned_no_entropy,-0.8943369422985195,0,0,0.3125,11,1.0,"{0: 5, 1: 3, 2: 3, 3: 23, 4: 18, 5: 20, 6: 29, 7: 13, 8: 14}",0.16999999999999998,2,15,a09a35458c702b33eeacc393d103063234e8bc28,17.83033715620962,230567,14.0,0,ablations-commercial-learned_no_entropy-n11-s3101,partition-compound-p1.0-o1.0,compound_partition,3101,17.83033715620962,0.20936553168226457,complete,106,128,42941,171,5.482728954345682,1.0,0.0,0.9921875,0.625,151.99047315493226
0,0.0,commercial,1.0,28,1.0,26,5,0,0.8809523809523809,42,-3.410605131648481e-13,0.0,2,6075.97411443439,55,62,0.8671261177583169,686.1393372633281,0.02840449566910815,9774,0.0,1,0.021613475522890523,137,146.95054640993476,manifests/ablations-commercial-learned_no_entropy-n11-s3102.json,0.3263443616909106,0.006956399847895039,0.04330564190430551,,44233,0.3216374269005848,171,learned_no_entropy,-0.6718956256469497,0,0,0.3387096774193548,11,1.0,"{0: 5, 1: 3, 2: 2, 3: 23, 4: 22, 5: 18, 6: 41, 7: 13, 8: 10}",,0,21,a09a35458c702b33eeacc393d103063234e8bc28,17.2660911981488,245095,14.0,2,ablations-commercial-learned_no_entropy-n11-s3102,partition-compound-p1.0-o1.0,compound_partition,3102,17.2660911981488,0.24463309222026353,complete,99,137,44233,171,3.9048040457487683,1.0,0.0,1.0,0.5474452554744526,147.18955862522125
1,0.05263157894736842,commercial,1.0,19,1.0,19,10,1,1.0,38,-1.1368683772161603e-13,0.0,0,6354.886966381843,70,34,0.8942274860714772,719.0871319608443,0.036931748007998436,8023,0.0,2,0.0301386523580534,119,137.8534990139305,manifests/ablations-commercial-learned_no_entropy-n11-s3103.json,0.3263443616909106,-0.022382798369474807,0.04394990092874893,2.0,46174,0.39106145251396646,179,learned_no_entropy,-1.0522531593192026,0,0,0.3235294117647059,11,1.0,"{0: 6, 1: 3, 2: 2, 3: 24, 4: 1, 5: 25, 6: 33, 7: 11, 8: 14}",0.25,2,11,a09a35458c702b33eeacc393d103063234e8bc28,16.629325940343268,203110,14.0,0,ablations-commercial-learned_no_entropy-n11-s3103,partition-compound-p1.0-o1.0,compound_partition,3103,16.629325940343268,0.25924134078641137,complete,94,119,46174,179,9.312964991383069,1.0,0.1,0.9831932773109243,0.7142857142857143,138.06920750811696
1,0.06666666666666667,commercial,1.0,28,1.0,27,11,1,0.90625,32,-2.2737367544323206e-13,0.0,1,6623.037441566722,65,66,0.8432227708065534,753.4320458318423,0.023202490269653105,11246,1.0,3,0.01893084616499354,138,181.07080352678878,manifests/ablations-commercial-learned_no_entropy-n11-s3104.json,0.3263443616909106,-0.009140136771296953,0.0430796739294857,3.0,41169,0.34210526315789475,190,learned_no_entropy,-0.6335203237640055,0,0,0.25757575757575757,11,0.0,"{0: 3, 1: 2, 2: 3, 3: 22, 4: 2, 5: 18, 6: 62, 7: 16, 8: 10}",0.125,2,17,a09a35458c702b33eeacc393d103063234e8bc28,17.352288689885807,238223,14.0,0,ablations-commercial-learned_no_entropy-n11-s3104,partition-compound-p1.0-o1.0,compound_partition,3104,17.352288689885807,0.23206527926462922,complete,97,138,41169,190,14.986175742492433,0.0,0.0,0.9855072463768116,0.5217391304347826,181.30617155134678
2,0.14285714285714285,commercial,1.0,16,1.0,15,8,2,0.875,32,1.1368683772161603e-13,0.0,2,6807.962114428015,50,61,0.6659412905976195,770.7009953830166,0.04063163746013388,8679,0.0,2,0.03616050833896795,133,136.70927964523435,manifests/ablations-commercial-entropy_llm_only-n11-s3101.json,0.3263443616909106,-0.06546061795999471,0.04313494834270072,1.0,32128,0.4672897196261682,107,entropy_llm_only,-0.898354639192109,1135296,2954,0.29508196721311475,11,1.0,"{0: 17, 1: 2, 2: 0, 3: 17, 4: 36, 5: 19, 6: 18, 7: 12, 8: 12}",0.1875,4,18,a09a35458c702b33eeacc393d103063234e8bc28,17.134200892585728,237089,14.0,0,ablations-commercial-entropy_llm_only-n11-s3101,partition-compound-p1.0-o1.0,compound_partition,3101,17.134200892585728,0.20392728394323764,complete,116,133,1167424,3061,25.62401150908916,1.0,0.0,0.9774436090225563,0.5413533834586466,136.94139133766294
0,0.0,commercial,1.0,15,1.0,15,7,0,0.782608695652174,46,-3.410605131648481e-13,0.0,5,6145.69411443439,49,78,0.9510260569283862,691.119337263328,0.021352654521410046,9683,0.0,1,0.016247606759980333,143,130.35509794577953,manifests/ablations-commercial-entropy_llm_only-n11-s3102.json,0.3263443616909106,0.003289969519286567,0.04330564190430551,,28732,0.4803921568627451,102,entropy_llm_only,-0.6990600270498561,1112175,2894,0.16666666666666666,11,0.0,"{0: 3, 1: 2, 2: 0, 3: 22, 4: 69, 5: 18, 6: 12, 7: 15, 8: 2}",,0,13,a09a35458c702b33eeacc393d103063234e8bc28,17.465004140011537,265299,14.0,1,ablations-commercial-entropy_llm_only-n11-s3102,partition-compound-p1.0-o1.0,compound_partition,3102,17.465004140011537,0.2591091687535066,complete,120,143,1140907,2996,0.0,0.0,0.0,0.986013986013986,0.45454545454545453,130.60508363321424
