order_parameter,probability,constrained_free_energy
-1,0.1392126989,3.351978923
-0.6666666667,0.1430303089,3.305987825
-0.3333333333,0.1453501451,3.278636412
0,0.1448136942,3.284922292
0.3333333333,0.1453501451,3.278636412
0.6666666667,0.1430303089,3.305987825
1,0.1392126989,3.351978923
