n_agents,topology,temperature,communication_availability,fragmentation,independent_n,mean_abs_magnetization_mean,mean_abs_magnetization_ci_low,mean_abs_magnetization_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,susceptibility_per_agent_mean,susceptibility_per_agent_ci_low,susceptibility_per_agent_ci_high,heat_capacity_per_agent_mean,heat_capacity_per_agent_ci_low,heat_capacity_per_agent_ci_high,integrated_autocorrelation_time_mean,integrated_autocorrelation_time_ci_low,integrated_autocorrelation_time_ci_high,activity_mean,activity_ci_low,activity_ci_high,macrostate_shannon_mean,macrostate_shannon_ci_low,macrostate_shannon_ci_high
144,regular,1.4,0.4,0,4,0.4343832672,0.3878132373,0.4809532971,0.4734953704,0.4654690776,0.4815216631,8.965187429,0.179138107,17.75123675,1.740702626,1.551427761,1.929977491,13.37847812,0.2767143894,26.48024186,0.2872168485,0.2786701094,0.2957635877,0.6931718189,0.5721763486,0.8141672893
144,regular,1.4,0.4,0.5,4,0.3797205688,0.3365298841,0.4229112535,0.4519345238,0.438291929,0.4655771186,6.099776476,1.369894787,10.82965817,1.583187237,1.086120259,2.080254215,7.628324386,2.686137952,12.57051082,0.2826802249,0.2732931581,0.2920672916,0.6904611221,0.607787769,0.7731344752
144,regular,1.4,0.4,1,4,0.2891534392,0.2184831791,0.3598236992,0.4149140212,0.3995962723,0.43023177,3.384245706,1.794283288,4.974208123,1.026431884,0.9605004775,1.092363291,5.605175659,3.149138722,8.061212596,0.2702112269,0.2547228008,0.2856996529,0.6477137259,0.57296515,0.7224623018
144,regular,1.4,0.7,0,4,0.7164021164,0.7127290545,0.7200751783,0.6447089947,0.6383064195,0.65111157,0.712009086,0.6570878087,0.7669303634,2.070557915,1.959535417,2.181580412,1.817000412,1.550953593,2.083047231,0.1931588955,0.1909739526,0.1953438384,0.4250231478,0.4137518303,0.4362944653
144,regular,1.4,0.7,0.5,4,0.6500496032,0.624283255,0.6758159514,0.5940806878,0.5758025653,0.6123588104,1.005312882,0.861128386,1.149497379,2.031564985,1.894207974,2.168921995,2.394529966,1.29987869,3.489181242,0.206177662,0.1974782841,0.21487704,0.4784942174,0.4570934093,0.4998950255
144,regular,1.4,0.7,1,4,0.4434771825,0.4091784325,0.4777759326,0.4720734127,0.4607903746,0.4833564508,6.462165853,-1.195267188,14.11959889,1.900917173,1.739232954,2.062601392,10.7826429,-2.442486766,24.00777256,0.2361317791,0.225689349,0.2465742092,0.6588564143,0.5301944779,0.7875183507
144,regular,1.4,1,0,4,0.8640790344,0.8601263602,0.8680317086,0.7967757937,0.7947320704,0.7988195169,0.228322541,0.2100591215,0.2465859605,1.63240002,1.502098305,1.762701735,0.9508922428,0.6798725124,1.221911973,0.1130022321,0.1114752337,0.1145292306,0.2695115092,0.2575573829,0.2814656354
144,regular,1.4,1,0.5,4,0.8112185847,0.7839178828,0.8385192865,0.7388062169,0.708280555,0.7693318789,0.4816597886,0.342924489,0.6203950881,2.012141153,1.66709857,2.357183736,1.432811951,1.115709969,1.749913933,0.1366443452,0.1237693487,0.1495193418,0.3563279354,0.3213827375,0.3912731334
144,regular,1.4,1,1,4,0.6651041667,0.6298344006,0.7003739327,0.6068948413,0.5831393864,0.6306502962,0.9932077113,0.7926485151,1.193766908,1.810761771,1.600487917,2.021035626,2.623596914,1.891897852,3.355295976,0.1794043485,0.1697439501,0.189064747,0.4694320525,0.4417639795,0.4971001256
144,regular,1.7,0.4,0,4,0.1651207011,0.1556355534,0.1746058487,0.3492559524,0.3467893676,0.3517225372,3.175406343,2.794917959,3.555894727,0.4450460405,0.3888400944,0.5012519865,4.033957945,3.22756934,4.84034655,0.3667948082,0.3647333631,0.3688562533,0.6898209533,0.6661098758,0.7135320308
