n_agents,temperature,independent_n,mean_abs_magnetization_mean,mean_abs_magnetization_ci_low,mean_abs_magnetization_ci_high,susceptibility_per_agent_mean,susceptibility_per_agent_ci_low,susceptibility_per_agent_ci_high,heat_capacity_per_agent_mean,heat_capacity_per_agent_ci_low,heat_capacity_per_agent_ci_high,binder_cumulant_mean,binder_cumulant_ci_low,binder_cumulant_ci_high,integrated_autocorrelation_time_mean,integrated_autocorrelation_time_ci_low,integrated_autocorrelation_time_ci_high,energy_per_agent_mean,energy_per_agent_ci_low,energy_per_agent_ci_high,macrostate_shannon_mean,macrostate_shannon_ci_low,macrostate_shannon_ci_high,macrostate_tsallis_q_0_5_mean,macrostate_tsallis_q_0_5_ci_low,macrostate_tsallis_q_0_5_ci_high,macrostate_tsallis_q_2_0_mean,macrostate_tsallis_q_2_0_ci_low,macrostate_tsallis_q_2_0_ci_high
36,1.2,6,0.9371064815,0.9322371182,0.9419758447,0.1518415316,0.04297493385,0.2607081294,1.085784578,0.9804115327,1.191157622,0.6613278661,0.6593599938,0.6632957385,1.064231996,0.3918426612,1.736621331,-2.147347222,-2.154160711,-2.140533733,0.2077592101,0.1873930256,0.2281253946,0.1692828296,0.139438849,0.1991268102,0.3532834375,0.3332529646,0.3733139104
36,1.4,6,0.8464467593,0.8419341861,0.8509593324,3.232694382,0.2234088849,6.24197988,1.874917459,1.773907541,1.975927376,0.6458400604,0.6442213615,0.6474587593,9.717815659,0.9162515042,18.51937981,-1.855201389,-1.866454716,-1.843948062,0.5156289665,0.4793057254,0.5519522076,0.4417141747,0.3751717898,0.5082565595,0.7702121875,0.7533661548,0.7870582202
36,1.55,6,0.6734490741,0.6644913037,0.6824068445,10.57898353,9.658710969,11.4992561,2.424420083,2.246303788,2.602536379,0.5809780626,0.5731318582,0.5888242669,30.34380582,21.82885285,38.85875879,-1.478416667,-1.492966235,-1.463867098,0.8848870894,0.8691480311,0.9006261478,0.8862400867,0.8713079093,0.9011722642,0.959660625,0.9526239275,0.9666973225
36,1.7,6,0.4890046296,0.4613209621,0.5166882972,5.966884259,5.112372973,6.821395545,1.926677163,1.833492018,2.019862307,0.4510264013,0.4152364582,0.4868163444,12.65932439,8.332897357,16.98575142,-1.125333333,-1.163825702,-1.086840965,0.9516023561,0.9339071584,0.9692975539,0.9471567132,0.9262599699,0.9680534565,0.9859128125,0.9802786796,0.9915469454
36,1.85,6,0.3819212963,0.357557137,0.4062854555,3.806796109,3.430968417,4.1826238,1.185097349,1.088747564,1.281447134,0.3487569617,0.3090856096,0.3884283139,5.878219367,5.292858689,6.463580044,-0.9187013889,-0.9530380119,-0.8843647659,0.9339096747,0.9211662218,0.9466531277,0.912111729,0.8919778163,0.9322456417,0.984125625,0.9807159285,0.9875353215
36,2,6,0.3086458333,0.2883997535,0.3288919131,2.366517983,2.121410913,2.611625054,0.7650706458,0.7054310443,0.8247102474,0.2595249825,0.2202782604,0.2987717046,4.73355425,3.838834658,5.628273842,-0.7821944444,-0.809572433,-0.7548164559,0.8870807609,0.8734180311,0.9007434908,0.8382962964,0.8216313645,0.8549612283,0.9722365625,0.9677875632,0.9766855618
36,2.2,6,0.2425,0.2315575922,0.2534424078,1.388627894,1.294324081,1.482931706,0.4638829524,0.4408903065,0.4868755982,0.1594968328,0.1122640344,0.2067296311,2.380403857,1.984780169,2.776027546,-0.6563125,-0.6683382367,-0.6442867633,0.8236810393,0.8147329192,0.8326291594,0.7590301829,0.7484474499,0.7696129159,0.952730625,0.9489864693,0.9564747807
36,2.5,6,0.2028240741,0.1975290583,0.2081190898,0.9077800463,0.8579795339,0.9575805587,0.2960660033,0.2870183196,0.305113687,0.1151683157,0.09305434156,0.1372822899,1.580579341,1.28963552,1.871523163,-0.5443333333,-0.5547643333,-0.5339023333,0.776218711,0.7669320645,0.7855053576,0.690147833,0.6749439583,0.7053517078,0.9357009375,0.9325287015,0.9388731735
64,1.2,6,0.9372070312,0.934150167,0.9402638955,0.1102028944,0.09295281828,0.1274529706,1.091254639,1.030551539,1.151957738,0.6637812584,0.6634064197,0.6641560971,0.9563479559,0.8304392875,1.082256624,-2.142914063,-2.152931858,-2.132896267,0.1631002447,0.1535432212,0.1726572682,0.1236905201,0.1103578195,0.1370232208,0.28779625,0.2761348572,0.2994576428
64,1.4,6,0.8435091146,0.8341573378,0.8528608913,0.3986582148,0.3021144899,0.4952019396,1.855561159,1.670658728,2.04046359,0.6528193111,0.6496833372,0.6559552849,1.533821704,1.16052014,1.907123267,-1.849703125,-1.867676881,-1.831729369,0.4317621859,0.4064811884,0.4570431833,0.3109802406,0.2856400465,0.3363204348,0.7186090625,0.6970312619,0.7401868631
