application,time,node,belief,action,workload,private_field
humanitarian,50,0,-1,1,0.4605542501,1.358223286
humanitarian,50,1,-1,1,0.7666868874,1.031662443
humanitarian,50,2,-1,1,0.9870774188,0.9350719648
humanitarian,50,3,-1,1,0.4732753804,0.7511650783
humanitarian,50,4,-1,1,1.012428572,0.8102843301
humanitarian,50,5,-1,1,0.681411303,0.4344971368
humanitarian,50,6,-1,1,0.9481994198,1.058960502
humanitarian,50,7,-1,-1,1.143587637,0.5407685672
humanitarian,50,8,-1,-1,1.47880739,0.5843555338
humanitarian,50,9,1,-1,0.6635185496,1.322177042
humanitarian,50,10,-1,1,0.9754199268,0.7882366323
humanitarian,50,11,-1,1,1.084970693,0.9546896674
humanitarian,50,12,-1,-1,0,-0.1199916849
humanitarian,50,13,-1,-1,0,0.007192180423
humanitarian,50,14,-1,-1,0,-0.1590175288
humanitarian,50,15,-1,-1,0,0.04770147132
humanitarian,50,16,-1,-1,0,0.03161581116
humanitarian,50,17,-1,-1,0.56030659,0.06959493037
humanitarian,50,18,-1,-1,0,-0.03991212231
humanitarian,50,19,-1,-1,0,-0.02643947181
humanitarian,50,20,-1,-1,0,0.004245772732
humanitarian,50,21,-1,-1,0,-0.06941085682
humanitarian,50,22,-1,-1,0.025,-0.115503766
humanitarian,50,23,-1,-1,0.025,0.03032890406
humanitarian,50,24,-1,-1,0,-0.0217797046
humanitarian,50,25,-1,-1,0,-0.06914650201
humanitarian,50,26,-1,-1,0,-0.1442472724
humanitarian,50,27,-1,-1,0.2833693371,-0.08441911588
humanitarian,50,28,-1,1,0,-0.03389598449
humanitarian,50,29,-1,-1,0,-0.1373324415
humanitarian,50,30,-1,-1,0,-0.02574458063
humanitarian,50,31,-1,-1,0.05,0.1089490319
humanitarian,50,32,-1,-1,0,-0.106114635
humanitarian,50,33,-1,-1,0,-0.05815611324
humanitarian,50,34,1,-1,0,-0.1561962598
humanitarian,50,35,-1,-1,0.4865266211,0.05281673753
humanitarian,50,36,1,-1,0,0.08418382675
humanitarian,50,37,-1,-1,0,0.03025081922
humanitarian,50,38,-1,-1,0,0.003601555369
humanitarian,50,39,1,-1,0,0.02871085095
humanitarian,50,40,1,-1,0,-0.005835177906
humanitarian,50,41,-1,-1,0,-0.01915707428
humanitarian,50,42,-1,-1,0,-0.1375461878
humanitarian,50,43,-1,-1,0.1322244489,0.1290277518
humanitarian,50,44,1,1,0,-0.05091371459
humanitarian,50,45,-1,-1,0,0.0244004076
humanitarian,50,46,-1,1,0,0.08646955621
humanitarian,50,47,-1,1,0,0.003382887391
humanitarian,50,48,-1,-1,0,-0.06784813413
humanitarian,50,49,-1,1,0,0.02708593486
humanitarian,50,50,-1,-1,0,-0.1711200433
humanitarian,50,51,-1,-1,0.025,-0.07358304272
humanitarian,50,52,-1,-1,0,0.1368999954
humanitarian,50,53,-1,-1,0,0.06153431719
humanitarian,50,54,-1,-1,0,-0.0374956945
humanitarian,50,55,-1,-1,0,0.07161563322
humanitarian,50,56,-1,1,0,-0.09550662499
humanitarian,50,57,-1,-1,0,-0.05422686553
humanitarian,50,58,-1,-1,0,-0.1006543451
humanitarian,50,59,-1,-1,0,0.09840393386
humanitarian,50,60,-1,-1,0,-0.01487556415
humanitarian,50,61,-1,-1,0,0.08712819219
humanitarian,50,62,-1,-1,0.025,-0.05020758747
humanitarian,50,63,-1,-1,0,-0.1031334658
utility,50,0,-1,1,0.01555425008,0.8911346452
utility,50,1,-1,1,0.3266868874,0.9521563227
utility,50,2,-1,1,0.04707741881,0.9836112999
utility,50,3,-1,-1,0.1682753804,0.8213641108
utility,50,4,1,1,0.7324285721,0.7509152565
utility,50,5,-1,1,0.191411303,0.7349345443
utility,50,6,-1,-1,0.1781994198,0.8286433152
utility,50,7,-1,-1,0.4785876373,0.9190014018
utility,50,8,1,-1,0.8670321553,0.91443289
utility,50,9,1,1,0.1635185496,1.047436442
utility,50,10,1,1,0.5593250884,0.8423798263
utility,50,11,-1,-1,0.1449706928,0.9102039838
utility,50,12,-1,1,0,-0.1199916849
utility,50,13,-1,1,0,0.007192180423
utility,50,14,-1,-1,0,-0.1590175288
utility,50,15,-1,-1,0,0.04770147132
utility,50,16,-1,-1,0,0.03161581116
utility,50,17,-1,1,0,0.06959493037
utility,50,18,-1,-1,0,-0.03991212231
utility,50,19,-1,-1,0,-0.02643947181
utility,50,20,-1,-1,0,0.004245772732
utility,50,21,-1,-1,0,0.1388217136
utility,50,22,-1,-1,0,0.2310075319
utility,50,23,-1,-1,0,-0.06065780811
utility,50,24,-1,-1,0,0.0435594092
utility,50,25,-1,-1,0,0.138293004
utility,50,26,-1,-1,0,0.2884945448
utility,50,27,-1,-1,0,0.1688382318
utility,50,28,1,-1,0,0.06779196899
utility,50,29,1,1,0,-0.1373324415
utility,50,30,-1,1,0,-0.02574458063
utility,50,31,-1,-1,0,0.1089490319
utility,50,32,-1,-1,0,-0.106114635
utility,50,33,-1,-1,0,-0.05815611324
utility,50,34,-1,-1,0,-0.1561962598
utility,50,35,-1,-1,0.2300838146,0.05281673753
utility,50,36,-1,-1,0,0.08418382675
utility,50,37,-1,-1,0,0.03025081922
utility,50,38,-1,-1,0,0.003601555369
utility,50,39,-1,-1,0,0.02871085095
utility,50,40,-1,-1,0,-0.005835177906
utility,50,41,-1,-1,0,-0.01915707428
utility,50,42,-1,-1,0,-0.1375461878
utility,50,43,1,1,0,0.1290277518
utility,50,44,1,-1,0.1262678444,-0.05091371459
utility,50,45,-1,-1,0,0.0244004076
utility,50,46,-1,-1,0,0.08646955621
utility,50,47,-1,-1,0,0.003382887391
utility,50,48,-1,-1,0,-0.06784813413
utility,50,49,-1,-1,0,0.02708593486
utility,50,50,-1,-1,0,-0.1711200433
utility,50,51,-1,-1,0,-0.07358304272
utility,50,52,-1,1,0,0.1368999954
utility,50,53,-1,-1,0,0.06153431719
utility,50,54,-1,-1,0,-0.0374956945
utility,50,55,-1,-1,0,0.07161563322
utility,50,56,-1,-1,0,-0.09550662499
utility,50,57,-1,-1,0,-0.05422686553
utility,50,58,-1,-1,0,-0.1006543451
utility,50,59,1,-1,0,0.09840393386
utility,50,60,-1,1,0,-0.01487556415
utility,50,61,-1,-1,0,0.08712819219
utility,50,62,-1,-1,0,-0.05020758747
utility,50,63,-1,-1,0,-0.1031334658
