n_agents,temperature,independent_n,relaxation_time_mean,relaxation_time_ci_low,relaxation_time_ci_high,final_abs_magnetization_mean,final_abs_magnetization_ci_low,final_abs_magnetization_ci_high
36,1.4,4,90,-21.02726752,201.0272675,0.6944444444,0.4688665401,0.9200223488
36,1.7,4,6.75,4.434350343,9.065649657,0.4305555556,0.3098328518,0.5512782593
36,2,4,9.75,5.26799524,14.23200476,0.4444444444,0.1624173174,0.7264715715
36,2.3,4,5.25,3.39488994,7.10511006,0.1319444444,0.03410841908,0.2297804698
64,1.4,4,268.25,5.707073288,530.7929267,0.86328125,0.7809394766,0.9456230234
64,1.7,4,29,9.729435227,48.27056477,0.4609375,0.19322408,0.72865092
64,2,4,10.75,5.924059677,15.57594032,0.3125,0.1490072393,0.4759927607
64,2.3,4,5,3.614070709,6.385929291,0.28125,0.1902296697,0.3722703303
100,1.4,4,352.25,125.9989003,578.5010997,0.865,0.8287709141,0.9012290859
100,1.7,4,22.25,9.488031761,35.01196824,0.1925,0.03420143189,0.3507985681
100,2,4,13.75,6.270474614,21.22952539,0.21,0.02440272991,0.3955972701
100,2.3,4,4.25,3.016860376,5.483139624,0.135,-0.001849552429,0.2718495524
144,1.4,4,493.75,481.5,506,0.875,0.8219923379,0.9280076621
144,1.7,4,36.5,6.544470739,66.45552926,0.2326388889,0.03426346216,0.4310143156
144,2,4,9.75,5.34,14.16,0.203125,0.1024311383,0.3038188617
144,2.3,4,4.5,3.934196736,5.065803264,0.1076388889,0.01179565939,0.2034821184
256,1.4,4,500,500,500,0.880859375,0.8254286185,0.9362901315
256,1.7,4,18.25,12.34961866,24.15038134,0.1826171875,0.08924572134,0.2759886537
256,2,4,7.5,3.877091408,11.12290859,0.11328125,0.05959643154,0.1669660685
256,2.3,4,4,3.199833351,4.800166649,0.0869140625,0.04083058134,0.1329975437
