application,panels,design_rank,coupling_fragmentation_interaction,interaction_ci95_low,interaction_ci95_high
humanitarian,50,5,-0.021072295490189557,-0.05373361493541746,0.011717043096045264
utility_restoration,50,5,-0.007354449570338031,-0.030361461599958058,0.020200813466319224
