application,feature_block,fold,training_rows,test_rows,training_panels,test_panels,panel_disjoint,environment_seed_disjoint,graph_instance_disjoint,scenario_instance_disjoint,selected_c
humanitarian,strongest_nonentropic,1,2538,637,40,10,True,True,True,True,1.0
humanitarian,strongest_nonentropic,2,2539,636,40,10,True,True,True,True,1.0
humanitarian,strongest_nonentropic,3,2541,634,40,10,True,True,True,True,1.0
humanitarian,strongest_nonentropic,4,2540,635,40,10,True,True,True,True,1.0
humanitarian,strongest_nonentropic,5,2542,633,40,10,True,True,True,True,1.0
humanitarian,shannon_js,1,2538,637,40,10,True,True,True,True,1.0
humanitarian,shannon_js,2,2539,636,40,10,True,True,True,True,1.0
humanitarian,shannon_js,3,2541,634,40,10,True,True,True,True,1.0
humanitarian,shannon_js,4,2540,635,40,10,True,True,True,True,1.0
humanitarian,shannon_js,5,2542,633,40,10,True,True,True,True,0.3
humanitarian,generalized_entropic,1,2538,637,40,10,True,True,True,True,1.0
humanitarian,generalized_entropic,2,2539,636,40,10,True,True,True,True,0.3
humanitarian,generalized_entropic,3,2541,634,40,10,True,True,True,True,1.0
humanitarian,generalized_entropic,4,2540,635,40,10,True,True,True,True,0.3
humanitarian,generalized_entropic,5,2542,633,40,10,True,True,True,True,0.3
utility_restoration,strongest_nonentropic,1,2245,564,40,10,True,True,True,True,1.0
utility_restoration,strongest_nonentropic,2,2247,562,40,10,True,True,True,True,0.3
utility_restoration,strongest_nonentropic,3,2245,564,40,10,True,True,True,True,1.0
utility_restoration,strongest_nonentropic,4,2248,561,40,10,True,True,True,True,1.0
utility_restoration,strongest_nonentropic,5,2251,558,40,10,True,True,True,True,0.3
utility_restoration,shannon_js,1,2245,564,40,10,True,True,True,True,0.3
utility_restoration,shannon_js,2,2247,562,40,10,True,True,True,True,0.3
utility_restoration,shannon_js,3,2245,564,40,10,True,True,True,True,3.0
utility_restoration,shannon_js,4,2248,561,40,10,True,True,True,True,1.0
utility_restoration,shannon_js,5,2251,558,40,10,True,True,True,True,0.3
utility_restoration,generalized_entropic,1,2245,564,40,10,True,True,True,True,1.0
utility_restoration,generalized_entropic,2,2247,562,40,10,True,True,True,True,0.3
utility_restoration,generalized_entropic,3,2245,564,40,10,True,True,True,True,1.0
utility_restoration,generalized_entropic,4,2248,561,40,10,True,True,True,True,1.0
utility_restoration,generalized_entropic,5,2251,558,40,10,True,True,True,True,0.3
