relative_path,pages,opens,fonts_embedded,text_extractable,rendered_pages,render_dpi,manual_visual_status,sha256
results/collective_agent_statmech_v15/figures/pdf/figure01_augmented_state_architecture.pdf,1,True,True,True,1,300,passed,934415f10e631752842aada313dd504a1e33145e03a0ebaee29d05226075f14d
results/collective_agent_statmech_v15/figures/pdf/figure02_memory_discovery_replication.pdf,1,True,True,True,1,300,passed,990c72724eac60a60fb44bfe689781a3e154d4e9aeb44a5603b6564990e810b1
results/collective_agent_statmech_v15/figures/pdf/figure03_v14_quench_time_series.pdf,1,True,True,True,1,300,passed,992ba70bb554b8d2fda91b30a36b9f2b576d955a62a8ccf3ee258e0a7d9243f1
results/collective_agent_statmech_v15/figures/pdf/figure04_v14_cluster_recovery.pdf,1,True,True,True,1,300,passed,41460bb567b5cb380df9b1d0acea7141cdc5e6738c45c1669dbaeca72c0e6870
results/collective_agent_statmech_v15/figures/pdf/figure05_v14_delayed_audit.pdf,1,True,True,True,1,300,passed,5ce899c872fc5c2dfe68ed584471134788d5728a9c59eda96b7d8a74d73a6dec
results/collective_agent_statmech_v15/figures/pdf/figure06_cross_model_quench.pdf,1,True,True,True,1,300,passed,2110a9aab9227a98e61e55379ca501d62e0cfe576a14a44c9328b11f921014f6
results/collective_agent_statmech_v15/figures/pdf/figure07_v15_memory_controls.pdf,1,True,True,True,1,300,passed,a3057ee00d2788c92efcf830c4a9718815858b72de6c6eb5c3bf906f65d38249
results/collective_agent_statmech_v15/figures/pdf/figure08_path_reversal_sensitivity.pdf,1,True,True,True,1,300,passed,8226f70d7977f7dbe9c25efd407396311caf9391c56208a3961d9f8118abc0e4
results/collective_agent_statmech_v15/figures/pdf/figure09_confirmatory_effects.pdf,1,True,True,True,1,300,passed,b7c65b7c79a64863661e78c7b9b46df8462443ef2ef491cb0eff74883cdabead
results/collective_agent_statmech_v15/figures/pdf/figure10_direct_surrogate_quench.pdf,1,True,True,True,1,300,passed,094225ce7f82c30bba234673f84e81401dbeea1438273379e9aecdef0f3c7369
results/collective_agent_statmech_v15/figures/pdf/figure11_surrogate_size_sensitivity.pdf,1,True,True,True,1,300,passed,43308697bf16b733e3d1d72cac0cc7b1b8b66efaa78e2650cc5e0d83cc21d196
results/collective_agent_statmech_v15/figures/pdf/figure12_memory_prompt_balance.pdf,1,True,True,True,1,300,passed,0490ac6a81103c007a328fea30abc93796be79ec73d5e37e9757486f22b886cd
paper/jstat_v15/main.pdf,16,True,True,True,16,300,passed,f5f5accaf884036851710a042ad198098496924c22ebe2a34821324268650c19
