run_id,complexity,allocation_inequality_gini,resource_waste,delivery_completion
v7-development_formal_reference-humanitarian-large-high-high-high-modular-private_fragmented-787043-always_act-event_triggered-agent_event_triggered,large,0.4172716237562732,8.870177701612079,186.84182739244704
v7-development_formal_reference-humanitarian-large-high-high-high-random_geometric-private_fragmented-787041-always_act-event_triggered-agent_event_triggered,large,0.4174082423631436,10.695972424994618,180.9525020757192
v7-development_formal_reference-humanitarian-large-high-high-high-random_geometric-private_fragmented-787044-always_act-event_triggered-agent_event_triggered,large,0.4175673179658095,8.225438889078312,183.420682773474
v7-development_formal_reference-humanitarian-large-high-high-high-small_world-private_fragmented-787042-always_act-event_triggered-agent_event_triggered,large,0.4183198803405657,7.479965479406181,177.66062055330858
v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-event_triggered-agent_event_triggered,medium,0.4569147585936273,5.452634790778045,91.4847724437273
v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-event_triggered-agent_event_triggered,medium,0.4519549592729914,4.0,81.27436819210259
v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787033-always_act-event_triggered-agent_event_triggered,medium,0.4538447144038766,7.5,80.87176176380748
v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787036-always_act-event_triggered-agent_event_triggered,medium,0.4532747611872871,2.5,56.32622468618597
v7-development_formal_reference-humanitarian-medium-high-high-high-modular-public_shared-787047-always_act-event_triggered-agent_event_triggered,medium,0.4617166530509202,2.0,71.17512534764678
v7-development_formal_reference-humanitarian-medium-high-high-high-modular-public_shared-787050-always_act-event_triggered-agent_event_triggered,medium,0.4563261554851267,2.850883549639968,82.85855530309662
v7-development_formal_reference-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-always_act-event_triggered-agent_event_triggered,medium,0.4607782799812259,2.5,93.65285230391872
v7-development_formal_reference-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787028-always_act-event_triggered-agent_event_triggered,medium,0.4596858732958192,5.5,116.51864640902738
v7-development_formal_reference-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787031-always_act-event_triggered-agent_event_triggered,medium,0.4604809699895473,4.5,97.27509732515924
v7-development_formal_reference-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787034-always_act-event_triggered-agent_event_triggered,medium,0.4596671600375569,1.5,71.92184934862584
v7-development_formal_reference-humanitarian-medium-high-high-high-random_geometric-public_shared-787045-always_act-event_triggered-agent_event_triggered,medium,0.4584678992062508,3.5,103.1318277732116
v7-development_formal_reference-humanitarian-medium-high-high-high-random_geometric-public_shared-787048-always_act-event_triggered-agent_event_triggered,medium,0.4539892030281353,5.0,71.43960542533218
v7-development_formal_reference-humanitarian-medium-high-high-high-small_world-private_fragmented-787025-always_act-event_triggered-agent_event_triggered,medium,0.4589416508850294,5.5,102.98473161276992
v7-development_formal_reference-humanitarian-medium-high-high-high-small_world-private_fragmented-787029-always_act-event_triggered-agent_event_triggered,medium,0.45693387427417,2.0,105.16392148970736
v7-development_formal_reference-humanitarian-medium-high-high-high-small_world-private_fragmented-787032-always_act-event_triggered-agent_event_triggered,medium,0.4711296543695122,9.0,105.11918401607336
v7-development_formal_reference-humanitarian-medium-high-high-high-small_world-private_fragmented-787035-always_act-event_triggered-agent_event_triggered,medium,0.4633996703542956,5.0,128.75145789983014
v7-development_formal_reference-humanitarian-medium-high-high-high-small_world-public_shared-787046-always_act-event_triggered-agent_event_triggered,medium,0.4611277058918323,3.0,84.65006619875561
v7-development_formal_reference-humanitarian-medium-high-high-high-small_world-public_shared-787049-always_act-event_triggered-agent_event_triggered,medium,0.459234200876231,0.0,92.19863780424215
v7-development_formal_reference-humanitarian-medium-high-low-high-modular-private_fragmented-787019-always_act-event_triggered-agent_event_triggered,medium,0.4477363726378749,2.0,71.68922207248252
v7-development_formal_reference-humanitarian-medium-high-low-high-random_geometric-private_fragmented-787020-always_act-event_triggered-agent_event_triggered,medium,0.4631800789928332,3.0,92.89328867971102
v7-development_formal_reference-humanitarian-medium-high-low-high-small_world-private_fragmented-787021-always_act-event_triggered-agent_event_triggered,medium,0.4525497966122174,4.5,105.97676489534555
v7-development_formal_reference-humanitarian-medium-high-medium-high-modular-private_fragmented-787024-always_act-event_triggered-agent_event_triggered,medium,0.4597162271667074,1.5,66.37182864937759
v7-development_formal_reference-humanitarian-medium-high-medium-high-random_geometric-private_fragmented-787022-always_act-event_triggered-agent_event_triggered,medium,0.4654397796019675,4.5,92.18179847429622
v7-development_formal_reference-humanitarian-medium-high-medium-high-small_world-private_fragmented-787023-always_act-event_triggered-agent_event_triggered,medium,0.4467792944874439,4.215838331891368,112.22083386437342
v7-development_formal_reference-humanitarian-medium-low-high-high-modular-private_fragmented-787007-always_act-event_triggered-agent_event_triggered,medium,0.4450116837846766,5.356549537859137,91.546754291239
v7-development_formal_reference-humanitarian-medium-low-high-high-random_geometric-private_fragmented-787008-always_act-event_triggered-agent_event_triggered,medium,0.4645269703379577,5.0,81.65525379935431
v7-development_formal_reference-humanitarian-medium-low-high-high-small_world-private_fragmented-787009-always_act-event_triggered-agent_event_triggered,medium,0.4595925534924354,2.5,112.04747259053909
v7-development_formal_reference-humanitarian-medium-low-low-low-modular-private_fragmented-787003-always_act-event_triggered-agent_event_triggered,medium,0.4689469230713008,1.5,77.56931153904215
v7-development_formal_reference-humanitarian-medium-low-low-low-random_geometric-private_fragmented-787001-always_act-event_triggered-agent_event_triggered,medium,0.4578086656066999,4.0,81.36379013415605
v7-development_formal_reference-humanitarian-medium-low-low-low-small_world-private_fragmented-787002-always_act-event_triggered-agent_event_triggered,medium,0.4784241304881834,0.5,104.47380241443828
v7-development_formal_reference-humanitarian-medium-low-medium-medium-modular-private_fragmented-787005-always_act-event_triggered-agent_event_triggered,medium,0.4685072390350243,1.5,88.43064318975988
v7-development_formal_reference-humanitarian-medium-low-medium-medium-random_geometric-private_fragmented-787006-always_act-event_triggered-agent_event_triggered,medium,0.4641082524863501,2.5,121.13337267488768
v7-development_formal_reference-humanitarian-medium-low-medium-medium-small_world-private_fragmented-787004-always_act-event_triggered-agent_event_triggered,medium,0.4606138999425738,2.5,110.04140372803518
v7-development_formal_reference-humanitarian-medium-medium-high-high-modular-private_fragmented-787018-always_act-event_triggered-agent_event_triggered,medium,0.453127056826253,3.5,72.02760559538204
v7-development_formal_reference-humanitarian-medium-medium-high-high-random_geometric-private_fragmented-787016-always_act-event_triggered-agent_event_triggered,medium,0.4552842603218984,3.0,116.66219311337171
v7-development_formal_reference-humanitarian-medium-medium-high-high-small_world-private_fragmented-787017-always_act-event_triggered-agent_event_triggered,medium,0.4584067020358414,4.475971560211452,130.18855904807975
v7-development_formal_reference-humanitarian-medium-medium-low-medium-modular-private_fragmented-787011-always_act-event_triggered-agent_event_triggered,medium,0.4556042389009578,3.9113805328130793,75.62281036276077
v7-development_formal_reference-humanitarian-medium-medium-low-medium-random_geometric-private_fragmented-787012-always_act-event_triggered-agent_event_triggered,medium,0.4694552533590512,0.5,96.530598460565
v7-development_formal_reference-humanitarian-medium-medium-low-medium-small_world-private_fragmented-787010-always_act-event_triggered-agent_event_triggered,medium,0.4591955187849854,2.0,83.58116652956178
