application,method,roc_auc
humanitarian,combined_generalized_entropic,0.6410185185185185
humanitarian,generalized_tsallis_gini,0.6525617283950618
humanitarian,graph_disagreement,0.678179012345679
humanitarian,kpi_confidence,0.6444135802469135
humanitarian,predictive_uncertainty,0.6541358024691357
humanitarian,shannon_js,0.6424074074074074
utility_restoration,combined_generalized_entropic,0.6350704201581394
utility_restoration,generalized_tsallis_gini,0.586590972380446
utility_restoration,graph_disagreement,0.5592942794697181
utility_restoration,kpi_confidence,0.6437441246213176
utility_restoration,predictive_uncertainty,0.6170816772571158
utility_restoration,shannon_js,0.5694162173109542
