application,relative_time_bin,shannon_local,js_disagreement,consensus,consensus_residual
humanitarian,-0.2,0.7384000792052724,3.7007434154171877e-19,1.0,0.8148333333333334
humanitarian,-0.15,0.8939570867284345,4.6259292692714846e-18,1.0,0.8083333333333335
humanitarian,-0.1,0.8683103128527573,0.0020116249441345254,0.9979883750558655,0.7949404761904763
humanitarian,-0.05,0.8956397832069771,0.006050504471967093,0.9939494955280328,0.7452054794520548
humanitarian,0.0,0.8985639941346517,0.061155693706927354,0.9388443062930726,0.4779492753623188
humanitarian,0.05,0.9083540779315454,0.03569747879839425,0.9643025212016056,0.5716145833333334
humanitarian,0.1,0.8816739253931679,0.04424975291393574,0.9557502470860643,0.4859101382488479
humanitarian,0.15,0.845099185879008,0.04538650327545482,0.9546134967245451,0.5650143678160919
humanitarian,0.2,0.8284747175690746,0.02397052716596831,0.9760294728340316,0.4572649572649572
humanitarian,0.25,0.8872832717215214,0.008489824903378025,0.9915101750966219,0.39128787878787874
humanitarian,0.3,0.8289822017756794,0.014959068689010651,0.9850409313109894,0.48789162112932605
humanitarian,0.35,0.8546303479024728,0.009705301819495735,0.9902946981805042,0.5188479052823315
humanitarian,0.4,0.89494632967996,0.013556099625860235,0.9864439003741396,0.4663466183574879
humanitarian,0.45,0.8847943868054543,0.006820484613106759,0.9931795153868932,0.38355263157894737
humanitarian,0.5,0.8338389661020288,0.011687134929355145,0.9883128650706448,0.4652002861230329
humanitarian,0.55,0.8151301172518368,0.011980261395771585,0.9880197386042283,0.47018156424581004
humanitarian,0.6,0.8876786577149668,0.013884822792003364,0.9861151772079966,0.41774230072463764
humanitarian,0.65,0.8899177670671419,0.004484675662476832,0.9955153243375231,0.4302083333333333
humanitarian,0.7,0.8261900291881833,0.009825791750978903,0.990174208249021,0.4237841235632184
humanitarian,0.75,0.8095034822439721,0.00882406588946174,0.9911759341105383,0.4560948581560284
utility_restoration,-0.15,0.7740046841051049,1.2335811384723958e-18,1.0,0.8072376543209876
utility_restoration,-0.1,0.8873682993664284,0.0017914585787391476,0.9982085414212608,0.8176632739609839
utility_restoration,-0.05,0.8912988531493433,0.0015148892679088663,0.9984851107320911,0.8077956989247312
utility_restoration,0.0,0.9152215501406488,0.03568598503183778,0.9643140149681622,0.5461226851851851
utility_restoration,0.05,0.886966457062513,0.03547223703496493,0.9645277629650351,0.5506728395061729
utility_restoration,0.1,0.8711485798545697,0.03433803569841784,0.9656619643015821,0.6049669015588298
utility_restoration,0.15,0.8596625850494788,0.04004892146404376,0.9599510785359562,0.551039471835932
utility_restoration,0.2,0.9153205970833533,0.007971353109021917,0.992028646890978,0.5821759259259259
utility_restoration,0.25,0.8725155630418033,0.020658081274690022,0.97934191872531,0.4846999389499389
utility_restoration,0.3,0.845089270819563,0.01511544151812437,0.9848845584818756,0.5310492063492063
utility_restoration,0.35,0.8480552328656062,0.013340902792880669,0.9866590972071193,0.5223141186299081
utility_restoration,0.4,0.8875911711184088,0.007256686734553593,0.9927433132654464,0.6133487654320988
utility_restoration,0.45,0.8497616932377827,0.01392431288218651,0.9860756871178135,0.4599497802887633
utility_restoration,0.5,0.8372893977247158,0.011789383695413625,0.9882106163045863,0.5083859604447839
utility_restoration,0.55,0.8469729276245509,0.011883005149263395,0.9881169948507366,0.4860120242876267
utility_restoration,0.6,0.9098758426010719,0.009420791093758407,0.9905792089062415,0.5678013392857143
utility_restoration,0.65,0.844894756832082,0.013003782271581386,0.9869962177284185,0.44544855032571795
utility_restoration,0.7,0.8306401899927607,0.01103853441858858,0.9889614655814114,0.5050969125607854
utility_restoration,0.75,0.830018964265944,0.012350881788647811,0.9876491182113522,0.46796500092284976
utility_restoration,0.8,0.895286121760599,0.006202702013865123,0.9937972979861348,0.5489211309523809
