family,node_count,edge_count,density,mean_degree,degree_variance,connected_components,giant_component_fraction,average_shortest_path,clustering_coefficient,modularity,algebraic_connectivity,diameter,assortativity,edge_reliability_mean
ring,28,28,0.07407407407407407,2.0,0.0,1,1.0,7.2592592592592595,0.0,0.6071428571428572,0.05014417563635286,14,nan,0.9208650543480724
chain,28,27,0.07142857142857142,1.9285714285714286,0.06632653061224489,1,1.0,9.666666666666666,0.0,0.6344307270233195,0.012575580213514969,27,-0.03846153846154602,0.92051137692781
grid,28,45,0.11904761904761904,3.2142857142857144,0.5255102040816327,1,1.0,3.560846560846561,0.0,0.47086419753086417,0.25885393630418624,9,0.3682505399568059,0.9025513009804358
random_geometric,28,86,0.2275132275132275,6.142857142857143,2.479591836734694,1,1.0,2.5952380952380953,0.7142573696145125,0.5661844240129801,0.3417515407535017,5,0.02474818224267732,0.9064369971978212
small_world,28,84,0.2222222222222222,6.0,0.7857142857142857,1,1.0,2.2248677248677247,0.4396258503401361,0.44961734693877553,0.8922338312286149,4,-0.0805286343612476,0.9141638182965662
scale_free,28,75,0.1984126984126984,5.357142857142857,6.8010204081632635,1,1.0,2.0873015873015874,0.19815759637188207,0.2606222222222222,0.9041313388625611,4,-0.12598162500641583,0.9086045799398235
modular,28,41,0.10846560846560846,2.9285714285714284,1.6377551020408168,1,1.0,3.0899470899470898,0.11309523809523811,0.5142772159428911,0.31354509729044994,6,-0.41276750090678227,0.8984669896715378
