coupling,fragmentation,mean,sem,size,application,coupling_value,fragmentation_value
high,high,0.004762379866061245,0.00559061007532182,20,humanitarian,2,2
high,low,-0.026237129545654433,0.02456515981602179,3,humanitarian,2,0
high,medium,-0.014560271051786066,0.007418117051142085,3,humanitarian,2,1
low,high,-0.014541361085379,0.012302981851877417,3,humanitarian,0,2
low,low,-0.014558583740973666,0.014558583740973668,3,humanitarian,0,0
low,medium,0.018000038753228833,0.02691309722891263,3,humanitarian,0,1
medium,high,-0.004246388195768633,0.0069680912595936565,3,humanitarian,1,2
medium,low,-0.015064872234683535,0.011160970940672968,3,humanitarian,1,0
medium,medium,-0.004923664369469599,0.01090935371780616,3,humanitarian,1,1
high,high,0.00461957965071872,0.0027063560279767763,20,utility_restoration,2,2
high,low,0.03785947712418294,0.012521490347991198,3,utility_restoration,2,0
high,medium,0.004524533217542333,0.020773286718139133,3,utility_restoration,2,1
low,high,0.002745098039215667,0.002745098039215667,3,utility_restoration,0,2
low,low,0.0,0.0,3,utility_restoration,0,0
low,medium,-0.003174603174603168,0.04539099751691683,3,utility_restoration,0,1
medium,high,-0.015716374269005833,0.008015976681089654,3,utility_restoration,1,2
medium,low,0.05475325015554893,0.010391419759270252,3,utility_restoration,1,0
medium,medium,-0.018486590038314165,0.031815909472084625,3,utility_restoration,1,1
