application,method,coverage,mean,sem
humanitarian,Generalized entropic,0.1,0.4603174603174603,0.2305688737513326
humanitarian,Generalized entropic,0.2,0.467032967032967,0.23863702798068723
humanitarian,Generalized entropic,0.30000000000000004,0.4962406015037593,0.256522136980932
humanitarian,Generalized entropic,0.4,0.467032967032967,0.23863702798068723
humanitarian,Generalized entropic,0.5,0.4895833333333333,0.21524977416428986
humanitarian,Generalized entropic,0.6,0.49981640146878825,0.17944686149186764
humanitarian,Generalized entropic,0.7000000000000001,0.49056360708534613,0.16356188910008995
humanitarian,Generalized entropic,0.8,0.49272313513799587,0.1596938752243063
humanitarian,Generalized entropic,0.9,0.5237188697318008,0.1500314095841731
humanitarian,Generalized entropic,1.0,0.5334707106274008,0.13411072066363613
humanitarian,KPI confidence,0.1,0.5079365079365079,0.25985246894833175
humanitarian,KPI confidence,0.2,0.5402930402930403,0.2786231417226189
humanitarian,KPI confidence,0.30000000000000004,0.5487886382623225,0.2253730898669807
humanitarian,KPI confidence,0.4,0.543040293040293,0.23452343406920928
humanitarian,KPI confidence,0.5,0.4976851851851852,0.22374813683692937
humanitarian,KPI confidence,0.6,0.48300693594451244,0.2200272238616708
humanitarian,KPI confidence,0.7000000000000001,0.4763929146537842,0.1967533579142277
humanitarian,KPI confidence,0.8,0.4922865232462756,0.17751335076956326
humanitarian,KPI confidence,0.9,0.5183548850574713,0.16252534575373015
humanitarian,KPI confidence,1.0,0.5334707106274008,0.13411072066363613
humanitarian,Predictive uncertainty,0.1,0.4603174603174603,0.2305688737513326
humanitarian,Predictive uncertainty,0.2,0.44322344322344326,0.2234432234432235
humanitarian,Predictive uncertainty,0.30000000000000004,0.4469507101086048,0.22963162885189825
humanitarian,Predictive uncertainty,0.4,0.45604395604395603,0.22868850903918642
humanitarian,Predictive uncertainty,0.5,0.46759259259259256,0.237919725139437
humanitarian,Predictive uncertainty,0.6,0.4897388820889433,0.2279734098707656
humanitarian,Predictive uncertainty,0.7000000000000001,0.505378421900161,0.1681191009136779
humanitarian,Predictive uncertainty,0.8,0.5265274800878516,0.148719655355914
humanitarian,Predictive uncertainty,0.9,0.524257662835249,0.14819096005833227
humanitarian,Predictive uncertainty,1.0,0.5334707106274008,0.13411072066363613
humanitarian,Shannon + JS,0.1,0.4047619047619048,0.21162367660275214
humanitarian,Shannon + JS,0.2,0.4450549450549451,0.22298487788684648
humanitarian,Shannon + JS,0.30000000000000004,0.4469507101086048,0.22963162885189825
humanitarian,Shannon + JS,0.4,0.4679487179487179,0.23561507627550135
humanitarian,Shannon + JS,0.5,0.4791666666666667,0.21143524093942123
humanitarian,Shannon + JS,0.6,0.5153202774377804,0.19034238344802315
humanitarian,Shannon + JS,0.7000000000000001,0.49723027375201284,0.16830481859768287
humanitarian,Shannon + JS,0.8,0.5057950305628324,0.1625081839112817
humanitarian,Shannon + JS,0.9,0.5237188697318008,0.1500314095841731
humanitarian,Shannon + JS,1.0,0.5334707106274008,0.13411072066363613
utility_restoration,Generalized entropic,0.1,0.8255102040816327,0.06411271398408515
utility_restoration,Generalized entropic,0.2,0.7756648113790972,0.027440717821841685
utility_restoration,Generalized entropic,0.30000000000000004,0.8061036272216396,0.034252001990198316
utility_restoration,Generalized entropic,0.4,0.8276053995265817,0.030605814201219526
utility_restoration,Generalized entropic,0.5,0.8444295261964435,0.02477048066306585
utility_restoration,Generalized entropic,0.6,0.8615938153103821,0.022823801730830328
utility_restoration,Generalized entropic,0.7000000000000001,0.8694955008968678,0.022443644284450878
utility_restoration,Generalized entropic,0.8,0.8812831135436968,0.02106951642127352
utility_restoration,Generalized entropic,0.9,0.8901176249720668,0.020501923455278816
utility_restoration,Generalized entropic,1.0,0.8758047196805403,0.023583114987036503
utility_restoration,KPI confidence,0.1,0.8554421768707483,0.05550057439483237
utility_restoration,KPI confidence,0.2,0.8468769325912183,0.04051601759593268
utility_restoration,KPI confidence,0.30000000000000004,0.8566988653168777,0.02524707375157967
utility_restoration,KPI confidence,0.4,0.8633756637451219,0.02192907984819108
utility_restoration,KPI confidence,0.5,0.8395164498547957,0.030320581298444893
utility_restoration,KPI confidence,0.6,0.8467690975444879,0.024862738535008436
utility_restoration,KPI confidence,0.7000000000000001,0.8657921248095908,0.02221417794263007
utility_restoration,KPI confidence,0.8,0.8763137936923443,0.021453521416644732
utility_restoration,KPI confidence,0.9,0.8789920838465256,0.020786439969422105
utility_restoration,KPI confidence,1.0,0.8758047196805403,0.023583114987036503
utility_restoration,Predictive uncertainty,0.1,0.8948979591836734,0.05042853976879115
utility_restoration,Predictive uncertainty,0.2,0.8154607297464441,0.039796659162058656
utility_restoration,Predictive uncertainty,0.30000000000000004,0.8493550186873168,0.03952959947005024
utility_restoration,Predictive uncertainty,0.4,0.8389130573859637,0.04421853106066255
utility_restoration,Predictive uncertainty,0.5,0.836775470422087,0.04177814245528579
utility_restoration,Predictive uncertainty,0.6,0.8402506568348708,0.033671199526421815
utility_restoration,Predictive uncertainty,0.7000000000000001,0.8583258175319628,0.02988510090244843
utility_restoration,Predictive uncertainty,0.8,0.853311214875812,0.025212213323540074
utility_restoration,Predictive uncertainty,0.9,0.8676732706069441,0.0231231094943402
utility_restoration,Predictive uncertainty,1.0,0.8758047196805403,0.023583114987036503
utility_restoration,Shannon + JS,0.1,0.8744897959183674,0.04737669133210043
utility_restoration,Shannon + JS,0.2,0.8249845392702536,0.040316192113989756
utility_restoration,Shannon + JS,0.30000000000000004,0.8404264472587454,0.03714797932742645
utility_restoration,Shannon + JS,0.4,0.8634956176828099,0.034886947668659046
utility_restoration,Shannon + JS,0.5,0.873056649560409,0.021876624253794115
utility_restoration,Shannon + JS,0.6,0.8563650571404475,0.027740497336091317
utility_restoration,Shannon + JS,0.7000000000000001,0.8677434793335255,0.02875909920754118
utility_restoration,Shannon + JS,0.8,0.8591453166200982,0.03195880925679307
utility_restoration,Shannon + JS,0.9,0.8757736016484516,0.028127161749610156
utility_restoration,Shannon + JS,1.0,0.8758047196805403,0.023583114987036503
