run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
implementation_pilot_v2_human-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24001-o124001-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24001,124001,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130878,1,0,0,0,0.0,0.159826326998882,0.0,True,1
implementation_pilot_v2_human-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24002-o124002-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24002,124002,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130878,1,0,0,0,0.0,0.15439568302826956,0.0,True,1
implementation_pilot_v2_human-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24003-o124003-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24003,124003,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130878,1,0,0,0,0.0,0.1674476110492833,0.0,True,1
implementation_pilot_v2_human-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24004-o124004-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24004,124004,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130878,1,0,0,0,0.0,0.15022487397072837,0.0,True,1
implementation_pilot_v2_human-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24005-o124005-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24005,124005,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130878,1,0,0,0,0.0,0.1730072400532663,0.0,True,1
implementation_pilot_v2_human-commercial-thermohitl_v4_rule-telemetry_integrity-private_fragmented-e24001-o124001-rnone,commercial,telemetry_integrity,private_fragmented,thermohitl_v4_rule,24001,124001,,complete,3.4507200000000013,3.4507200000000013,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,131151,1,0,0,0,0.0,0.21297369396779686,0.0,True,1
implementation_pilot_v2_human-commercial-thermohitl_v4_rule-telemetry_integrity-private_fragmented-e24002-o124002-rnone,commercial,telemetry_integrity,private_fragmented,thermohitl_v4_rule,24002,124002,,complete,3.4507200000000013,3.4507200000000013,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,131151,1,0,0,0,0.0,0.22317016997840255,0.0,True,1
implementation_pilot_v2_human-commercial-thermohitl_v4_rule-telemetry_integrity-private_fragmented-e24003-o124003-rnone,commercial,telemetry_integrity,private_fragmented,thermohitl_v4_rule,24003,124003,,complete,3.4507200000000013,3.4507200000000013,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,131151,1,0,0,0,0.0,0.20808394299820065,0.0,True,1
implementation_pilot_v2_human-commercial-thermohitl_v4_rule-telemetry_integrity-private_fragmented-e24004-o124004-rnone,commercial,telemetry_integrity,private_fragmented,thermohitl_v4_rule,24004,124004,,complete,3.4507200000000013,3.4507200000000013,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,131151,1,0,0,0,0.0,0.22347580699715763,0.0,True,1
implementation_pilot_v2_human-commercial-thermohitl_v4_rule-telemetry_integrity-private_fragmented-e24005-o124005-rnone,commercial,telemetry_integrity,private_fragmented,thermohitl_v4_rule,24005,124005,,complete,3.4507200000000013,3.4507200000000013,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,1,1,224,600,130878,1,0,0,0,0.0,0.22172491700621322,0.0,True,1
