application,candidate,independent_panels,mean_wire_bytes,mean_primary_error,mean_detection_delay,mean_activation_rate
humanitarian,aoi_30_u8,24,440519.5833333333,0.07336475290784993,1.1895217345928237,0.38368055555555564
humanitarian,generalized_0125_u8,24,649149.25,0.06781762512590277,0.7645043126980718,0.7157738095238096
humanitarian,js_007_u8,24,572475.0,0.06769181210223507,0.7806240069263527,0.6632173382173382
humanitarian,spectrum_008_u8,24,606303.5833333334,0.06961229746584598,0.9271958639587021,0.6787488553113553
humanitarian,uncertainty_008_u8,24,557908.8333333334,0.0706857329338419,1.0102809664103087,0.5999465811965812
humanitarian,v7_shannon_006_u8,24,615334.8333333334,0.06966574775737198,0.9411727182310644,0.6938606532356534
utility_restoration,aoi_30_u8,24,212910.83333333334,0.07134968018750083,0.8412124818328132,0.38575434981684986
utility_restoration,generalized_0125_u8,24,299156.0833333333,0.0703122233404677,0.5416712625704023,0.657451923076923
utility_restoration,js_007_u8,24,272085.0,0.0701752944740018,0.5193165076207106,0.6206406440781441
utility_restoration,spectrum_008_u8,24,293830.8333333333,0.07022772164348558,0.6410586367995487,0.6797142094017093
utility_restoration,uncertainty_008_u8,24,273751.0,0.07045803827490504,0.6837395845437876,0.6220028235653235
utility_restoration,v7_shannon_006_u8,24,298163.0,0.0701332575393333,0.6422997480090142,0.6982066544566544
