family,subset,cluster_id,panel_id,n_agents,topology,regime,disruption,coupling_strength,sampling_temperature,initial_condition,sweeps,attempted_updates,retained_updates,valid_fraction,mean_belief_magnetization,mean_abs_belief_magnetization,mean_action_magnetization,mean_abs_action_magnetization,mean_belief_action_overlap,mean_belief_disagreement,belief_susceptibility,action_susceptibility,belief_integrated_autocorrelation_time_updates,action_integrated_autocorrelation_time_updates,relaxation_time_sweeps,configuration_entropy,entropy_rate_nats_per_update,single_agent_marginal_entropy,total_correlation,mean_reference_energy_per_agent,energy_fluctuation_N_var_e,mean_spatial_belief_correlation,raw_block_kl_nats_per_update,time_shuffle_floor_nats_per_update,adjusted_block_irreversibility_nats_per_update,history_order_1_conditional_mutual_information,energy_entropy_loop_area,belief_transition_minus_plus,belief_transition_plus_minus,mean_confidence,message_opportunities,messages_delivered,wire_bytes,prompt_tokens,generated_tokens,latency_seconds,privacy_mutations
B_memory_quench,memory_confirmation,B_memory_n16_g0,B_memory_n16_g0_markovized,16,modular,markovized,field_reversal,0.8,0.5,disordered,42,672,672,1.0,0.0210193452380952,0.0280877976190476,0.0217633928571428,0.0336681547619047,0.9836309523809524,0.6420510912698413,0.0745150938542332,0.0859275202256759,11.296000920911773,10.72162680222569,1.0,1.0987531279614615,0.8262893549272143,0.6447758908455442,18.917162995140792,-1.4831628224206352,0.8386171653535254,-0.2841021825396825,0.0385483158564072,0.057688354780571,-0.0191400389241638,0.0432296908917183,0.0893806689305058,25,25,0.7595061383928571,672,672,12096,369721,54071,1077.4562517292798,0
B_memory_quench,memory_confirmation,B_memory_n16_g0,B_memory_n16_g0_persistent_memory,16,modular,persistent_memory,field_reversal,0.8,0.5,disordered,42,672,672,1.0,0.0085565476190476,0.0159970238095238,0.00390625,0.0161830357142857,0.9890252976190476,0.6533978174603174,0.0517329323681782,0.0537793405365126,6.352943490396867,5.513572249635915,1.0,0.6513861008706524,0.5475668491871981,0.6407312466885702,19.24332363411454,-1.4747364831349208,0.876604389024663,-0.3067956349206349,0.039510344610589,0.0223832686835454,0.0171270759270435,0.0186661050007324,0.0903261864361546,19,19,0.7402669270833332,672,672,12096,406625,53798,1077.686570264399,0
B_memory_quench,memory_confirmation,B_memory_n16_g1,B_memory_n16_g1_markovized,16,modular,markovized,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0178571428571428,0.0319940476190476,-0.0189732142857142,0.0360863095238095,0.9761904761904762,0.5691964285714286,0.0805833510751543,0.1164373536299765,19.42742743365088,22.614957896547608,1.0,1.2273513657805266,1.0048309444212238,0.6506482210895963,18.989666832559763,-1.559437003968254,1.5990349607511491,-0.138392857142857,0.0499857164020732,0.0684622996442293,-0.018476583242156,0.0357567973165084,0.7507925536053897,28,28,0.755893787202381,672,672,12096,369791,53995,1085.8269135951996,0
B_memory_quench,memory_confirmation,B_memory_n16_g1,B_memory_n16_g1_persistent_memory,16,modular,persistent_memory,field_reversal,0.8,0.5,disordered,42,672,672,1.0,0.0022321428571428,0.0137648809523809,-0.0044642857142857,0.0182291666666666,0.9758184523809524,0.5817212301587301,0.0386682989142005,0.0592931658505428,6.909328217964702,10.737790003513824,1.0,0.8208967518462001,0.71576716008987,0.6471355228591531,19.30585923642092,-1.5646143353174604,1.6159132152664428,-0.1634424603174602,0.0462416577715022,0.0328585172702605,0.0133831405012416,0.01835883523991,1.144157090709161,22,22,0.7187546502976192,672,672,12096,406536,53635,1080.1721968390048,0
B_memory_quench,memory_confirmation,B_memory_n16_g2,B_memory_n16_g2_markovized,16,modular,markovized,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0068824404761904,0.0344122023809523,0.0050223214285714,0.0251116071428571,0.9743303571428572,0.4171006944444443,0.0890323389042651,0.0588357595273578,25.301413588272275,9.682048256830756,1.0,1.0558820360095886,0.7435707875405062,0.6476128455034529,18.869848655988022,-1.8204830109126984,1.8355721144344992,0.165798611111111,0.0414509998586476,0.0540747048130838,-0.0126237049544361,0.0248626623837095,0.4526315110472509,25,25,0.7684068080357143,672,672,12096,369750,54079,1083.1186914220452,0
B_memory_quench,memory_confirmation,B_memory_n16_g2,B_memory_n16_g2_persistent_memory,16,modular,persistent_memory,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0109747023809523,0.0180431547619047,-0.0013020833333333,0.0161830357142857,0.9877232142857144,0.4223090277777777,0.0580551194024554,0.0554869908097367,19.99184370855568,9.419704490076503,1.0,0.7223825553068721,0.5871718508628987,0.6445374828045101,19.28806685241847,-1.8398468501984129,1.6446175120582776,0.1553819444444444,0.0429917263398555,0.0264666873537315,0.016525038986124,0.022331164026364,0.8048722032044502,21,21,0.7452622767857142,672,672,12096,406662,53841,1082.5878472998738,0
B_memory_quench,memory_confirmation,B_memory_n16_g3,B_memory_n16_g3_markovized,16,modular,markovized,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0128348214285714,0.0265997023809523,0.0104166666666666,0.0197172619047619,0.9667038690476192,0.48046875,0.0543648206301894,0.0653253849975161,32.58856499482777,15.249528336285431,1.0,1.1134176067606552,0.8243510787942583,0.6465126932798063,19.02820304019219,-1.7112227182539683,1.451181839373438,0.0390624999999999,0.0424939319259561,0.0590159115978732,-0.016521979671917,0.0242721445702743,0.2514348243810786,22,22,0.7742131696428571,672,672,12096,369441,54069,1081.8979232646525,0
B_memory_quench,memory_confirmation,B_memory_n16_g3,B_memory_n16_g3_persistent_memory,16,modular,persistent_memory,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0065104166666666,0.0139508928571428,0.00390625,0.0143229166666666,0.9795386904761904,0.4910094246031746,0.0309899714356681,0.0403665238450074,19.34756391784815,9.441365250151105,1.0,0.8410724215900947,0.6741251286096012,0.644443885816072,19.198008099752155,-1.722349330357143,1.4237958649174711,0.0179811507936507,0.0436505841574858,0.0356769014443118,0.007973682713174,0.0224914527689883,0.3345693286092519,21,21,0.7801236979166666,672,672,12096,406715,53998,1085.190114505589,0
B_memory_quench,memory_confirmation,B_memory_n16_g4,B_memory_n16_g4_markovized,16,modular,markovized,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0316220238095238,0.0319940476190476,-0.0372023809523809,0.0375744047619047,0.9854910714285714,0.7177579365079365,0.0920246079057554,0.1104605776736924,16.019661651309246,20.495246541501896,1.0,1.0611295622524397,0.8039984220003136,0.6445728889094395,18.90354313970827,-1.351109871031746,0.7213095379783392,-0.4355158730158729,0.0380611037208897,0.0546706435781492,-0.0166095398572595,0.0111435141960548,0.0452292775306091,24,24,0.7567940848214286,672,672,12096,369930,54074,1084.984267398715,0
B_memory_quench,memory_confirmation,B_memory_n16_g4,B_memory_n16_g4_persistent_memory,16,modular,persistent_memory,field_reversal,0.8,0.5,disordered,42,672,672,1.0,-0.0150669642857142,0.0165550595238095,-0.0163690476190476,0.0178571428571428,0.9897693452380952,0.7330729166666666,0.0682699728550138,0.0791640053935135,14.01675639751372,14.806790141437157,1.0,0.6038843707364268,0.5139472588591156,0.6412780516486112,19.316604410146223,-1.340593998015873,0.7512396352035187,-0.4661458333333333,0.0373298896552786,0.0186113394308433,0.0187185502244353,0.0113714616426642,0.0137293385382868,20,20,0.697934337797619,672,672,12096,406706,53792,1080.8028274998069,0
