family,subset,cluster_id,panel_id,n_agents,topology,regime,disruption,coupling_strength,sampling_temperature,initial_condition,sweep,phase,belief_magnetization,action_magnetization,belief_action_overlap,belief_disagreement,configuration_entropy,entropy_rate,single_agent_marginal_entropy,total_correlation,reference_energy_per_agent,energy_variance,belief_susceptibility,spatial_belief_correlation,mean_confidence,messages_delivered,wire_bytes,message_current,workload_mean,workload_variance,local_configuration_entropy,cross_community_deliveries,corrupted_messages,macrostate_distance
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,13,baseline,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7489296875,80,1440,1.0,-1.0,0.0,1.3705023899189086,28,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,14,baseline,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7524140625,80,1440,1.0,-1.0,0.0,1.3705023899189086,24,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,15,baseline,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7559921875000001,80,1440,1.0,-1.0,0.0,1.3705023899189086,23,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,16,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7616640625000001,80,1440,1.0,-1.0,0.0,1.3705023899189086,24,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,17,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7676406250000001,80,1440,1.0,-1.0,0.0,1.3705023899189086,25,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,18,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7729062499999999,80,1440,1.0,-1.0,0.0,1.3705023899189086,27,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,19,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.777546875,80,1440,1.0,-1.0,0.0,1.3705023899189086,32,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,20,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7818203125000001,80,1440,1.0,-1.0,0.0,1.3705023899189086,36,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,21,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7835546875,80,1440,1.0,-1.0,0.0,1.3705023899189086,35,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,22,disruption,-0.125,-0.125,1.0,0.375,0.1985152433458726,0.1066722064807815,0.012407202709117,0.1985152433458726,-1.88125,0.0050806962025316,0.0120253164556962,0.0125,0.78453125,80,1440,1.0,-0.996875,0.003115234375,1.364228114885585,35,0,1.2737811713324267
