variable_x,variable_y,correlation
mean_abs_belief_magnetization,mean_abs_belief_magnetization,1.0
mean_abs_belief_magnetization,belief_susceptibility,0.9627614222139879
mean_abs_belief_magnetization,configuration_entropy,0.8778962002492686
mean_abs_belief_magnetization,entropy_rate_nats_per_update,0.9420332515716331
mean_abs_belief_magnetization,total_correlation,0.8468827361998128
mean_abs_belief_magnetization,mean_reference_energy_per_agent,0.49239548374447717
mean_abs_belief_magnetization,energy_fluctuation_N_var_e,0.5524323980235357
mean_abs_belief_magnetization,belief_integrated_autocorrelation_time_updates,0.30366498362501143
belief_susceptibility,mean_abs_belief_magnetization,0.9627614222139879
belief_susceptibility,belief_susceptibility,1.0
belief_susceptibility,configuration_entropy,0.8450665099647683
belief_susceptibility,entropy_rate_nats_per_update,0.9234828809249778
belief_susceptibility,total_correlation,0.8360094094524948
belief_susceptibility,mean_reference_energy_per_agent,0.4811242852181732
belief_susceptibility,energy_fluctuation_N_var_e,0.531982298360449
belief_susceptibility,belief_integrated_autocorrelation_time_updates,0.29788402255914936
configuration_entropy,mean_abs_belief_magnetization,0.8778962002492686
configuration_entropy,belief_susceptibility,0.8450665099647683
configuration_entropy,configuration_entropy,1.0
configuration_entropy,entropy_rate_nats_per_update,0.9412693395873013
configuration_entropy,total_correlation,0.9630730449779877
configuration_entropy,mean_reference_energy_per_agent,0.6416982107264088
configuration_entropy,energy_fluctuation_N_var_e,0.7270529940964096
configuration_entropy,belief_integrated_autocorrelation_time_updates,0.5475584798832615
entropy_rate_nats_per_update,mean_abs_belief_magnetization,0.9420332515716331
entropy_rate_nats_per_update,belief_susceptibility,0.9234828809249778
entropy_rate_nats_per_update,configuration_entropy,0.9412693395873013
entropy_rate_nats_per_update,entropy_rate_nats_per_update,1.0
entropy_rate_nats_per_update,total_correlation,0.8902612573619614
entropy_rate_nats_per_update,mean_reference_energy_per_agent,0.5687697026732806
entropy_rate_nats_per_update,energy_fluctuation_N_var_e,0.6500095610418579
entropy_rate_nats_per_update,belief_integrated_autocorrelation_time_updates,0.3328989881751598
total_correlation,mean_abs_belief_magnetization,0.8468827361998128
total_correlation,belief_susceptibility,0.8360094094524948
total_correlation,configuration_entropy,0.9630730449779877
total_correlation,entropy_rate_nats_per_update,0.8902612573619614
total_correlation,total_correlation,1.0
total_correlation,mean_reference_energy_per_agent,0.6268645512940768
total_correlation,energy_fluctuation_N_var_e,0.7303246824352405
total_correlation,belief_integrated_autocorrelation_time_updates,0.6508476104899005
mean_reference_energy_per_agent,mean_abs_belief_magnetization,0.49239548374447717
mean_reference_energy_per_agent,belief_susceptibility,0.4811242852181732
mean_reference_energy_per_agent,configuration_entropy,0.6416982107264088
mean_reference_energy_per_agent,entropy_rate_nats_per_update,0.5687697026732806
mean_reference_energy_per_agent,total_correlation,0.6268645512940768
mean_reference_energy_per_agent,mean_reference_energy_per_agent,1.0
mean_reference_energy_per_agent,energy_fluctuation_N_var_e,0.2155266640694071
mean_reference_energy_per_agent,belief_integrated_autocorrelation_time_updates,0.4468331494318098
energy_fluctuation_N_var_e,mean_abs_belief_magnetization,0.5524323980235357
energy_fluctuation_N_var_e,belief_susceptibility,0.531982298360449
energy_fluctuation_N_var_e,configuration_entropy,0.7270529940964096
energy_fluctuation_N_var_e,entropy_rate_nats_per_update,0.6500095610418579
energy_fluctuation_N_var_e,total_correlation,0.7303246824352405
energy_fluctuation_N_var_e,mean_reference_energy_per_agent,0.2155266640694071
energy_fluctuation_N_var_e,energy_fluctuation_N_var_e,1.0
energy_fluctuation_N_var_e,belief_integrated_autocorrelation_time_updates,0.4459858711067497
belief_integrated_autocorrelation_time_updates,mean_abs_belief_magnetization,0.30366498362501143
belief_integrated_autocorrelation_time_updates,belief_susceptibility,0.29788402255914936
belief_integrated_autocorrelation_time_updates,configuration_entropy,0.5475584798832615
belief_integrated_autocorrelation_time_updates,entropy_rate_nats_per_update,0.3328989881751598
belief_integrated_autocorrelation_time_updates,total_correlation,0.6508476104899005
belief_integrated_autocorrelation_time_updates,mean_reference_energy_per_agent,0.4468331494318098
belief_integrated_autocorrelation_time_updates,energy_fluctuation_N_var_e,0.4459858711067497
belief_integrated_autocorrelation_time_updates,belief_integrated_autocorrelation_time_updates,1.0
