study,hypothesis,metric,estimate,ci_low,ci_high
V12 discovery,H1,belief_integrated_autocorrelation_time_updates,2.318759526391482,0.7809183951175636,3.880520383629041
V12 discovery,H1,belief_susceptibility,0.0454953001790546,0.0228222442091556,0.0676875298910507
V12 discovery,H1,mean_abs_belief_magnetization,0.0329793294270833,0.0086057027180989,0.0590616861979166
V12 discovery,H2,belief_integrated_autocorrelation_time_updates,-5.9899752027716495,-7.530330970260119,-4.472612940239857
V12 discovery,H2,belief_susceptibility,-0.0735550775417599,-0.0992270485257515,-0.0465800895847549
V12 discovery,H2,mean_abs_belief_magnetization,-0.0538736979166666,-0.0835370381673177,-0.0245841979980469
V12 discovery,H3,adjusted_block_kl_nats_per_update,0.0178992009949608,0.0035703699742585,0.033992228638198
V13 confirmation,H1,mean_abs_belief_magnetization,-0.000591856060606,-0.0068655303030303,0.0056818181818181
V13 confirmation,H2,mean_abs_belief_magnetization,0.0077533143939393,0.0013020833333333,0.0152107007575757
V13 confirmation,H1,belief_susceptibility,-0.0034549882987382,-0.013395387405804,0.0087763162763162
V13 confirmation,H2,belief_susceptibility,0.0159515022015022,0.0025156556406556,0.0330986760153426
V13 confirmation,H1,belief_integrated_autocorrelation_time_updates,-3.555540339093918,-8.910447029270252,-0.23677851894326
V13 confirmation,H2,belief_integrated_autocorrelation_time_updates,3.2319270447721986,0.7516506670318011,5.484369462966373
V13 confirmation,H3,adjusted_block_irreversibility_nats_per_update,0.0402976960726365,0.0288250603151216,0.0585560178061282
