run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,environment_seed,method,coverage,selected_actions,harm_rate,mean_causal_utility,beneficial_rate
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,kpi_confidence,0.6,16,0.625,3.6881599262830047,0.375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,predictive_uncertainty,0.6,16,0.5625,-7.604030406234317,0.4375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,shannon_js,0.6,16,0.625,5.804564667385771,0.375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,generalized_tsallis_gini,0.6,16,0.625,-8.222636984419617,0.375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,graph_disagreement,0.6,16,0.5625,6.42416523586234,0.4375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,combined_generalized_entropic,0.6,16,0.5625,4.983903225434465,0.4375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,kpi_confidence,0.6,16,0.625,3.6881599262830047,0.375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,predictive_uncertainty,0.6,16,0.5625,-7.604030406234317,0.4375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,shannon_js,0.6,16,0.6875,-9.521959662555224,0.3125
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,generalized_tsallis_gini,0.6,16,0.625,-8.22263698441962,0.375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,graph_disagreement,0.6,16,0.5625,6.424102278638632,0.4375
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,combined_generalized_entropic,0.6,16,0.5625,-8.973960401684547,0.4375
v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-always_act-event_triggered,humanitarian,medium,high,high,high,modular,771104,kpi_confidence,0.6,18,0.7777777777777778,1.5857429200490394,0.2222222222222222
