run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,environment_seed,method_kpi,coverage,selected_actions_kpi,harm_rate_kpi,mean_causal_utility_kpi,beneficial_rate_kpi,method_entropic,selected_actions_entropic,harm_rate_entropic,mean_causal_utility_entropic,beneficial_rate_entropic,incremental_harm_reduction,incremental_utility,coupling_numeric,fragmentation_numeric,size_numeric,coupling_fragmentation
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,771105,kpi_confidence,0.6,16,0.625,3.6881599262830047,0.375,combined_generalized_entropic,16,0.5625,4.983903225434465,0.4375,0.0625,1.29574329915146,1.0,1.0,1.0,1.0
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,771105,kpi_confidence,0.6,16,0.625,3.6881599262830047,0.375,combined_generalized_entropic,16,0.5625,-8.973960401684547,0.4375,0.0625,-12.662120327967552,1.0,1.0,1.0,1.0
v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-always_act-event_triggered,humanitarian,medium,high,high,high,modular,771104,kpi_confidence,0.6,18,0.7777777777777778,1.5857429200490394,0.2222222222222222,combined_generalized_entropic,18,0.7777777777777778,1.5849306127091325,0.2222222222222222,0.0,-0.0008123073399068925,1.0,1.0,0.5,1.0
v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-combined_generalized_entropic-event_triggered,humanitarian,medium,high,high,high,modular,771104,kpi_confidence,0.6,18,0.6666666666666666,3.4068005366542984,0.3333333333333333,combined_generalized_entropic,18,0.6666666666666666,3.4059882293143917,0.3333333333333333,0.0,-0.0008123073399066705,1.0,1.0,0.5,1.0
v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-kpi_confidence-event_triggered,humanitarian,medium,high,high,high,modular,771104,kpi_confidence,0.6,18,0.6666666666666666,2.246275528432814,0.3333333333333333,combined_generalized_entropic,18,0.6666666666666666,2.245463221092907,0.3333333333333333,0.0,-0.0008123073399071146,1.0,1.0,0.5,1.0
v7-pilots-humanitarian-medium-high-low-medium-small_world-private_fragmented-771106-always_act-event_triggered,humanitarian,medium,high,low,medium,small_world,771106,kpi_confidence,0.6,13,0.6923076923076923,2.106113819409794,0.3076923076923077,combined_generalized_entropic,13,0.6923076923076923,0.9064356492288135,0.3076923076923077,0.0,-1.1996781701809804,1.0,0.0,0.5,0.0
v7-pilots-humanitarian-medium-low-high-medium-modular-private_fragmented-771107-always_act-event_triggered,humanitarian,medium,low,high,medium,modular,771107,kpi_confidence,0.6,20,0.75,1.4222961297506407,0.25,combined_generalized_entropic,20,0.7,2.4697426243369183,0.3,0.050000000000000044,1.0474464945862776,0.0,1.0,0.5,0.0
v7-pilots-humanitarian-medium-medium-medium-medium-small_world-private_fragmented-771103-always_act-always_on,humanitarian,medium,medium,medium,medium,small_world,771103,kpi_confidence,0.6,17,0.6470588235294118,4.446484770756617,0.35294117647058826,combined_generalized_entropic,17,0.7058823529411765,4.1083164351214005,0.29411764705882354,-0.05882352941176472,-0.3381683356352161,0.5,0.5,0.5,0.25
v7-pilots-humanitarian-medium-medium-medium-medium-small_world-private_fragmented-771103-always_act-event_triggered,humanitarian,medium,medium,medium,medium,small_world,771103,kpi_confidence,0.6,17,0.6470588235294118,4.446484770756617,0.35294117647058826,combined_generalized_entropic,17,0.7647058823529411,2.655818201154918,0.23529411764705882,-0.11764705882352933,-1.7906665696016986,0.5,0.5,0.5,0.25
v7-pilots-humanitarian-small-high-high-high-modular-private_fragmented-771102-always_act-event_triggered,humanitarian,small,high,high,high,modular,771102,kpi_confidence,0.6,8,0.5,-1.2756221492771833,0.5,combined_generalized_entropic,8,0.375,1.36023190005586,0.625,0.125,2.6358540493330436,1.0,1.0,0.0,1.0
v7-pilots-humanitarian-small-low-low-low-random_geometric-private_fragmented-771101-always_act-always_on,humanitarian,small,low,low,low,random_geometric,771101,kpi_confidence,0.6,4,0.0,2.934945727745746,1.0,combined_generalized_entropic,4,0.25,4.647995569683429,0.75,-0.25,1.7130498419376834,0.0,0.0,0.0,0.0
v7-pilots-humanitarian-small-low-low-low-random_geometric-private_fragmented-771101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,771101,kpi_confidence,0.6,4,0.0,2.934945727745746,1.0,combined_generalized_entropic,4,0.25,0.17666824340319268,0.75,-0.25,-2.7582774843425533,0.0,0.0,0.0,0.0
v7-pilots-utility_restoration-large-high-high-high-grid-private_fragmented-772105-always_act-always_on,utility_restoration,large,high,high,high,grid,772105,kpi_confidence,0.6,6,1.0,-0.01565572230025605,0.0,combined_generalized_entropic,6,1.0,-0.012860161170721482,0.0,0.0,0.0027955611295345673,1.0,1.0,1.0,1.0
v7-pilots-utility_restoration-large-high-high-high-grid-private_fragmented-772105-always_act-event_triggered,utility_restoration,large,high,high,high,grid,772105,kpi_confidence,0.6,6,1.0,-0.01565572230025605,0.0,combined_generalized_entropic,6,1.0,-0.012860161170721482,0.0,0.0,0.0027955611295345673,1.0,1.0,1.0,1.0
v7-pilots-utility_restoration-medium-high-high-high-modular-private_fragmented-772104-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,772104,kpi_confidence,0.6,10,1.0,-0.02336745926852817,0.0,combined_generalized_entropic,10,1.0,-0.023762279579655127,0.0,0.0,-0.0003948203111269581,1.0,1.0,0.5,1.0
v7-pilots-utility_restoration-medium-high-high-high-modular-private_fragmented-772104-combined_generalized_entropic-event_triggered,utility_restoration,medium,high,high,high,modular,772104,kpi_confidence,0.6,8,1.0,-0.018123455805695764,0.0,combined_generalized_entropic,8,1.0,-0.01951972494467305,0.0,0.0,-0.0013962691389772866,1.0,1.0,0.5,1.0
v7-pilots-utility_restoration-medium-high-high-high-modular-private_fragmented-772104-kpi_confidence-event_triggered,utility_restoration,medium,high,high,high,modular,772104,kpi_confidence,0.6,10,1.0,-0.01924646915036378,0.0,combined_generalized_entropic,10,1.0,-0.01857253835051472,0.0,0.0,0.0006739307998490582,1.0,1.0,0.5,1.0
v7-pilots-utility_restoration-medium-high-low-medium-scale_free-private_fragmented-772106-always_act-event_triggered,utility_restoration,medium,high,low,medium,scale_free,772106,kpi_confidence,0.6,2,1.0,-0.0156795916744194,0.0,combined_generalized_entropic,2,1.0,-0.0156795916744194,0.0,0.0,0.0,1.0,0.0,0.5,0.0
v7-pilots-utility_restoration-medium-low-high-medium-modular-private_fragmented-772107-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,772107,kpi_confidence,0.6,10,1.0,-1.186490130521298,0.0,combined_generalized_entropic,10,1.0,-1.1862297907474717,0.0,0.0,0.00026033977382633466,0.0,1.0,0.5,0.0
v7-pilots-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-772103-always_act-always_on,utility_restoration,medium,medium,medium,medium,scale_free,772103,kpi_confidence,0.6,5,1.0,-0.01115784195856754,0.0,combined_generalized_entropic,5,1.0,-0.01115784195856754,0.0,0.0,0.0,0.5,0.5,0.5,0.25
v7-pilots-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-772103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,772103,kpi_confidence,0.6,5,1.0,-0.01115784195856754,0.0,combined_generalized_entropic,5,1.0,-0.01115784195856754,0.0,0.0,0.0,0.5,0.5,0.5,0.25
v7-pilots-utility_restoration-small-high-high-high-modular-private_fragmented-772102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,772102,kpi_confidence,0.6,3,1.0,-0.010969229205942732,0.0,combined_generalized_entropic,3,1.0,-0.010868328055162501,0.0,0.0,0.00010090115078023078,1.0,1.0,0.0,1.0
v7-pilots-utility_restoration-small-low-low-low-grid-private_fragmented-772101-always_act-always_on,utility_restoration,small,low,low,low,grid,772101,kpi_confidence,0.6,2,1.0,-0.01974163299002935,0.0,combined_generalized_entropic,2,1.0,-19.184541059970496,0.0,0.0,-19.164799426980466,0.0,0.0,0.0,0.0
v7-pilots-utility_restoration-small-low-low-low-grid-private_fragmented-772101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,772101,kpi_confidence,0.6,2,1.0,-0.01974163299002935,0.0,combined_generalized_entropic,2,1.0,-19.184541059970496,0.0,0.0,-19.164799426980466,0.0,0.0,0.0,0.0
