application,panels,harm_rate_reduction,harm_ci95_low,harm_ci95_high,causal_utility_gain,utility_ci95_low,utility_ci95_high
humanitarian,6,0.041666666666666664,0.010416666666666666,0.08333333333333333,-1.4554933169171278,-6.115373716571835,1.5263542814634266
utility_restoration,6,0.0,0.0,0.0,0.0007624774599323631,-0.0004678911582632001,0.0019928460781279264
