topology,temperature,belief_action_coupling,independent_n,coefficient_per_update_mean,coefficient_per_update_ci_low,coefficient_per_update_ci_high
complete,0.9,0.0,4,0.03453212158017975,0.028663866586057976,0.04050622082039153
complete,0.9,0.4,4,0.01681798412737315,0.013909552264870976,0.019773444464934675
complete,0.9,0.8,4,0.004827779692155325,0.003936240901538,0.0057306987451264755
complete,1.15,0.0,4,0.06697608007024833,0.05678059394793586,0.07728663826010398
complete,1.15,0.4,4,0.04600212484169945,0.03880907303986087,0.05326980510170238
complete,1.15,0.8,4,0.020536959783299252,0.017088178565625074,0.024015027987066326
complete,1.35,0.0,4,0.0850976580465105,0.07311757984592282,0.09717617414538503
complete,1.35,0.4,4,0.06708766070784815,0.05739106507749932,0.07685877826762343
complete,1.35,0.8,4,0.037872509513832,0.03201546422468408,0.043767585072736474
complete,1.55,0.0,4,0.0941335992379593,0.08179361688957808,0.10655032428936373
complete,1.55,0.4,4,0.0802544669733509,0.06948527215939238,0.09108715478078863
complete,1.55,0.8,4,0.05311089967884407,0.045540819094930025,0.060719774297191303
complete,1.75,0.0,4,0.09599100418431758,0.0842112757121141,0.10782792361233617
complete,1.75,0.4,4,0.08573840675848828,0.07500657657572216,0.09652014243224998
complete,1.75,0.8,4,0.06312149472089007,0.05479943821144002,0.07147799906165614
complete,2.1,0.0,4,0.08948947609183255,0.07960979008226825,0.09940211533850601
complete,2.1,0.4,4,0.0835348860700313,0.07418133271883876,0.09291869926342525
complete,2.1,0.8,4,0.06872608926753496,0.06073022539510548,0.07674571226098453
complete,2.6,0.0,4,0.07349045711792752,0.06640184015058265,0.08059426472339108
complete,2.6,0.4,4,0.07058343752889805,0.0637167955750088,0.0774645053792377
complete,2.6,0.8,4,0.0627603275960074,0.05650521685214435,0.0690278553597966
path,0.9,0.0,4,0.15280653679346892,0.15226652500230217,0.1530765426890523
path,0.9,0.4,4,0.11119159566159698,0.11087538755445572,0.1113496997151676
path,0.9,0.8,4,0.053478347594748656,0.053399983074345556,0.0535175298549502
path,1.15,0.0,4,0.1383584305437567,0.13809592369893497,0.1384896839661676
path,1.15,0.4,4,0.11515260712274793,0.11496912639093237,0.1152443474886557
path,1.15,0.8,4,0.07145099518600334,0.07138393920952504,0.0714845231742425
path,1.35,0.0,4,0.12024160340282516,0.12009581178608053,0.1203144992111975
path,1.35,0.4,4,0.1055549421494659,0.1054447985338883,0.1056100139572547
path,1.35,0.8,4,0.07400709689191898,0.07395807241610032,0.0740316091298283
path,1.55,0.0,4,0.10275103318557535,0.10266840077252865,0.1027923493920987
path,1.55,0.4,4,0.09317730116524586,0.09311147524709243,0.0932102141243226
path,1.55,0.8,4,0.07085258270203586,0.07081874421877835,0.0708695019436646
path,1.75,0.0,4,0.08754501954550065,0.08749679085185195,0.087569133892325
path,1.75,0.4,4,0.08110402201158667,0.08106407922451163,0.0811239934051242
path,1.75,0.8,4,0.0652425740411877,0.0652196591070357,0.0652540315082637
path,2.1,0.0,4,0.06677259365281363,0.06675232279408447,0.0667827290821782
path,2.1,0.4,4,0.06332238112691622,0.06330477117015448,0.0633311861052971
path,2.1,0.8,4,0.054302435931251745,0.05429083528514384,0.0543082362543057
path,2.6,0.0,4,0.04698303264891227,0.04697618313371903,0.0469864574065089
path,2.6,0.4,4,0.045378570997038174,0.04537236136996673,0.0453816758105739
path,2.6,0.8,4,0.0409821752716161,0.0409775382694877,0.0409844937726803
ring,0.9,0.0,4,0.15229600185048164,0.14724990761444035,0.16092106099359815
ring,0.9,0.4,4,0.09790625677563194,0.09433844906273252,0.10423002328203163
ring,0.9,0.8,4,0.03891823549133003,0.03728715517829907,0.041975854791674955
ring,1.15,0.0,4,0.1553373552321353,0.15130881819436826,0.16262494724581594
ring,1.15,0.4,4,0.12343602296110638,0.12003767098732719,0.12972626148508065
ring,1.15,0.8,4,0.06987016906414997,0.06770068345173785,0.07401657906570722
ring,1.35,0.0,4,0.1421119325982171,0.13905949451270128,0.1477679209942076
ring,1.35,0.4,4,0.12200899633925437,0.11929080790363635,0.12714450892359738
ring,1.35,0.8,4,0.08139425413395142,0.07940139780081301,0.08524418247134516
ring,1.55,0.0,4,0.12535824792388467,0.12311484060700044,0.1295831690398565
ring,1.55,0.4,4,0.11239238302527828,0.11032948070742594,0.11632738664944456
ring,1.55,0.8,4,0.08315728113922075,0.08152376667981782,0.08633526286752106
ring,1.75,0.0,4,0.10904580829688298,0.10740680000513204,0.1121682953650038
ring,1.75,0.4,4,0.10040129222616131,0.0988654514142642,0.1033527220573625
ring,1.75,0.8,4,0.07951839584166377,0.07824223022494704,0.08201354765688497
ring,2.1,0.0,4,0.08503397952799292,0.0840717376942724,0.08689208740014792
ring,2.1,0.4,4,0.08044680877511523,0.07952778887156615,0.08222985351521682
ring,2.1,0.8,4,0.06854997169763649,0.06774501799854425,0.07012980419994186
ring,2.6,0.0,4,0.0608387510776454,0.0603581538053984,0.06177737806729425
ring,2.6,0.4,4,0.05871543415841085,0.0582496682288427,0.0596271348003294
ring,2.6,0.8,4,0.05291356495213825,0.052488128574029,0.0537512179162656
star,0.9,0.0,4,0.13462187408914134,0.09704540055767477,0.1538842722151876
star,0.9,0.4,4,0.09507239850650742,0.0697050953512749,0.10799372702244638
star,0.9,0.8,4,0.043087639330737504,0.03260324844237227,0.048354051512638524
star,1.15,0.0,4,0.12519790164730976,0.09824522436573334,0.13885595512784737
star,1.15,0.4,4,0.10269525279826687,0.08157033567006422,0.11336851255228089
star,1.15,0.8,4,0.061726218838087675,0.05033607623932145,0.06744106031221107
star,1.35,0.0,4,0.11057317197319,0.09109053791551477,0.12039896610378623
star,1.35,0.4,4,0.09625332510069295,0.08002619365437047,0.10442342754586639
star,1.35,0.8,4,0.06619162823134647,0.05622068474177628,0.07119081616984134
star,1.55,0.0,4,0.09572817346819729,0.08178793565163167,0.10273876701634024
star,1.55,0.4,4,0.08637442572764484,0.074308748533866,0.09243616548177916
star,1.55,0.8,4,0.06489795113571417,0.05678051685260493,0.0689654723753251
star,1.75,0.0,4,0.08242951227802173,0.07240194989631825,0.08746341959715473
star,1.75,0.4,4,0.07613057802536667,0.06721844661942661,0.08060171739040461
star,1.75,0.8,4,0.0607804006518428,0.0543734255021032,0.0639893444724523
star,2.1,0.0,4,0.06376058607564447,0.057952864907053744,0.06667092277917107
star,2.1,0.4,4,0.0603818363950141,0.05505845831402639,0.0630486680358348
star,2.1,0.8,4,0.0515959750658339,0.04744553793796137,0.05367349746401863
star,2.6,0.0,4,0.04546612652621005,0.04258531156466712,0.04690805095996723
star,2.6,0.4,4,0.04389086177793442,0.04117956552373505,0.045247777940935624
star,2.6,0.8,4,0.03958399517254758,0.0373107017690988,0.04072132497798892
