n_agents,temperature,alpha,independent_n,total_per_update_mean,total_per_update_ci_low,total_per_update_ci_high
2,1.0,0.05,4,0.0003100668482412,0.0003100015268573,0.000310197491009
2,1.0,0.2,4,0.004970060166292626,0.0049660021594068,0.004978176180064275
2,1.0,0.5,4,0.03141335819007908,0.0313589992263975,0.031522076117442226
2,1.35,0.05,4,0.000227455417833925,0.0002274390605226,0.00022748813245657498
2,1.35,0.2,4,0.00363817544985995,0.0036371483642752,0.00364022962102945
2,1.35,0.5,4,0.02271034390942045,0.0226958638631153,0.022739304002030752
2,1.7,0.05,4,0.00016472881548107497,0.0001647237340021,0.000164738978439025
2,1.7,0.2,4,0.00263371507359225,0.0026333941609971,0.0026343568987825497
2,1.7,0.5,4,0.016396876719027148,0.0163922148933617,0.016406200370358053
2,2.2,0.05,4,0.000108580507235875,0.0001085792366833,0.000108583048341025
2,2.2,0.2,4,0.0017360312078357502,0.0017359505938551,0.00173619243579705
2,2.2,0.5,4,0.01080755608426915,0.0108063553555248,0.01080995754175785
3,1.0,0.05,4,0.000224274656098975,0.0001742882772132,0.00027426103498475
3,1.0,0.2,4,0.003663184484974125,0.0027637632008789,0.004562605769069351
3,1.0,0.5,4,0.025425871324164923,0.0163273533466234,0.034524389301706454
3,1.35,0.05,4,0.00025390696604015,0.0002053403706816,0.00030247356139870003
3,1.35,0.2,4,0.004078895164988575,0.0032590249567933,0.00489876537318385
3,1.35,0.5,4,0.026009612037214427,0.0194646062229546,0.032554617851474246
3,1.7,0.05,4,0.00022435697139545,0.0001866218774332,0.0002620920653577
3,1.7,0.2,4,0.0035877707339473748,0.0029674797129692,0.00420806175492555
3,1.7,0.5,4,0.022347235148929303,0.0179209986411923,0.0267734716566663
3,2.2,0.05,4,0.000169802866089825,0.0001453940838406,0.00019421164833905
3,2.2,0.2,4,0.0027116148047781753,0.0023165212405178,0.0031067083690385503
3,2.2,0.5,4,0.016768708102764374,0.0141450178472352,0.01939239835829355
4,1.0,0.05,4,0.000287159054394675,0.0002789270057566,0.000303623151670825
4,1.0,0.2,4,0.004744975178621775,0.0046058554926523,0.005023214550560725
4,1.0,0.5,4,0.03491443714593547,0.0338372366541512,0.037068838129504025
4,1.35,0.05,4,0.00030759782552492495,0.000301239614162,0.000320314248250775
4,1.35,0.2,4,0.004962171786208826,0.0048590838170026,0.0051683477246212755
4,1.35,0.5,4,0.03237018848199408,0.0316810428277771,0.033748479790428026
4,1.7,0.05,4,0.00025989033214445,0.0002559529557506,0.00026776508493215
4,1.7,0.2,4,0.00416412808295555,0.0041009629695139,0.00429045830983885
4,1.7,0.5,4,0.026223061693357048,0.0258194927662426,0.02703019954758595
4,2.2,0.05,4,0.000189103367727275,0.0001871752230123,0.000192959657157225
4,2.2,0.2,4,0.0030223813991238,0.0029915622076626,0.0030840197820462
4,2.2,0.5,4,0.01878065713095473,0.0185875110131944,0.019166949366475377
