cluster_id,application,regime,information_condition,environment_seed,topology_family,panel_baseline_loss,selected_effect,loss_after_selection,selected_count,operator_minutes,harmful_count,beneficial_count,service_reaching_count,selected_candidates,selected_scenario_families,mean_consensus_confidence,feature_block
commercial|compound|private_fragmented|51101,commercial,compound,private_fragmented,51101,commercial_topology_1,3.224477106665769,0.2165520362812784,3.0079250703844904,2,10.0,0,2,1,commercial|compound|private_fragmented|51101|supply_03|request_peer_evidence;commercial|compound|private_fragmented|51101|supply_01|verify,compound_commitment_deadlock;compound_unsafe_or_compromised_component,0.7757665398340399,local_kpi_only
commercial|compound|private_fragmented|51102,commercial,compound,private_fragmented,51102,commercial_topology_2,3.261742340231626,-0.38320282672337,3.644945166954996,2,12.0,1,0,1,commercial|compound|private_fragmented|51102|supply_02|verify;commercial|compound|private_fragmented|51102|supply_01|verify,compound_route_or_service_failure;compound_evidence_conflict,0.8022183237713589,local_kpi_only
commercial|compound|private_fragmented|51103,commercial,compound,private_fragmented,51103,commercial_topology_3,4.469623910682611,0.1304050840169734,4.339218826665637,1,4.0,0,1,1,commercial|compound|private_fragmented|51103|supply_03|request_peer_evidence,compound_commitment_deadlock,0.7911453774823083,local_kpi_only
commercial|compound|private_fragmented|51104,commercial,compound,private_fragmented,51104,commercial_topology_0,3.7617720492146702,-0.27531030058660855,4.0370823498012784,2,12.0,1,1,1,commercial|compound|private_fragmented|51104|supply_04|request_peer_evidence;commercial|compound|private_fragmented|51104|supply_03|reroute_or_reconfigure,compound_commitment_deadlock;compound_evidence_conflict,0.7709231463477112,local_kpi_only
commercial|compound|private_fragmented|51105,commercial,compound,private_fragmented,51105,commercial_topology_1,4.575881413436919,0.0,4.575881413436919,1,4.0,0,0,1,commercial|compound|private_fragmented|51105|supply_02|request_peer_evidence,compound_commitment_deadlock,0.7682985094523044,local_kpi_only
commercial|compound|private_fragmented|51106,commercial,compound,private_fragmented,51106,commercial_topology_2,4.1595675485994015,0.1285689287143989,4.030998619885002,1,9.0,0,1,1,commercial|compound|private_fragmented|51106|supply_04|deploy_repair_capacity,compound_resource_shortage,0.7836430354139837,local_kpi_only
commercial|compound|private_fragmented|51107,commercial,compound,private_fragmented,51107,commercial_topology_3,4.080641878353665,0.1062961071570125,3.9743457711966528,1,6.0,0,1,1,commercial|compound|private_fragmented|51107|supply_02|verify,compound_unsafe_or_compromised_component,0.8180447165219978,local_kpi_only
commercial|compound|private_fragmented|51108,commercial,compound,private_fragmented,51108,commercial_topology_0,3.92126046507519,0.0,3.92126046507519,1,4.0,0,0,1,commercial|compound|private_fragmented|51108|supply_04|request_peer_evidence,compound_commitment_deadlock,0.7807550111797728,local_kpi_only
commercial|compound|private_fragmented|51109,commercial,compound,private_fragmented,51109,commercial_topology_1,2.9035250415416733,0.0956031698725926,2.807921871669081,1,4.0,0,1,1,commercial|compound|private_fragmented|51109|supply_01|request_peer_evidence,compound_commitment_deadlock,0.8307892329301508,local_kpi_only
commercial|compound|private_fragmented|51110,commercial,compound,private_fragmented,51110,commercial_topology_2,3.78157035169928,0.1362,3.6453703516992797,1,6.0,0,1,1,commercial|compound|private_fragmented|51110|supply_03|verify,compound_unsafe_or_compromised_component,0.7664265270704032,local_kpi_only
commercial|compound|private_fragmented|51111,commercial,compound,private_fragmented,51111,commercial_topology_3,4.040598342346969,0.1533433609152587,3.88725498143171,1,7.0,0,1,0,commercial|compound|private_fragmented|51111|supply_03|revise_commitment,compound_commitment_deadlock,0.860468619503865,local_kpi_only
commercial|compound|private_fragmented|51112,commercial,compound,private_fragmented,51112,commercial_topology_0,4.2545016961762006,0.30995998227591237,3.9445417139002883,2,15.0,1,1,1,commercial|compound|private_fragmented|51112|supply_04|deploy_repair_capacity;commercial|compound|private_fragmented|51112|supply_01|verify,compound_resource_shortage;compound_unsafe_or_compromised_component,0.7770839387006934,local_kpi_only
commercial|compound|private_fragmented|51113,commercial,compound,private_fragmented,51113,commercial_topology_1,3.3802473037633503,0.1007807299442475,3.2794665738191027,1,4.0,0,1,0,commercial|compound|private_fragmented|51113|supply_01|request_peer_evidence,compound_commitment_deadlock,0.809567317280635,local_kpi_only
commercial|compound|private_fragmented|51114,commercial,compound,private_fragmented,51114,commercial_topology_2,3.916844431843184,0.1362,3.780644431843184,1,4.0,0,1,1,commercial|compound|private_fragmented|51114|supply_04|request_peer_evidence,compound_commitment_deadlock,0.7788346411325844,local_kpi_only
commercial|compound|private_fragmented|51115,commercial,compound,private_fragmented,51115,commercial_topology_3,4.4209710049399025,0.0,4.4209710049399025,0,0.0,0,0,0,,,0.0,local_kpi_only
commercial|compound|private_fragmented|51116,commercial,compound,private_fragmented,51116,commercial_topology_0,3.8532756923351137,0.0,3.8532756923351137,0,0.0,0,0,0,,,0.0,local_kpi_only
commercial|compound|private_fragmented|51117,commercial,compound,private_fragmented,51117,commercial_topology_1,4.172207735617198,0.1298952248579958,4.042312510759202,1,9.0,0,1,1,commercial|compound|private_fragmented|51117|supply_04|deploy_repair_capacity,compound_resource_shortage,0.7474294983828683,local_kpi_only
commercial|compound|private_fragmented|51118,commercial,compound,private_fragmented,51118,commercial_topology_2,4.592273351453884,0.08965404390786971,4.502619307546015,2,18.0,1,1,1,commercial|compound|private_fragmented|51118|supply_01|deploy_repair_capacity;commercial|compound|private_fragmented|51118|supply_02|deploy_repair_capacity,compound_evidence_conflict;compound_resource_shortage,0.7918998048983477,local_kpi_only
commercial|compound|private_fragmented|51119,commercial,compound,private_fragmented,51119,commercial_topology_3,3.7593610619716697,0.1107092876148434,3.6486517743568263,1,4.0,0,1,1,commercial|compound|private_fragmented|51119|supply_01|request_peer_evidence,compound_commitment_deadlock,0.8430557476425229,local_kpi_only
commercial|compound|private_fragmented|51120,commercial,compound,private_fragmented,51120,commercial_topology_0,3.401523947089693,0.1014273561835154,3.3000965909061777,1,4.0,0,1,1,commercial|compound|private_fragmented|51120|supply_02|request_peer_evidence,compound_commitment_deadlock,0.7363267769516971,local_kpi_only
commercial|correlated|private_fragmented|51101,commercial,correlated,private_fragmented,51101,commercial_topology_1,2.9037634226360254,0.1125981912195778,2.7911652314164477,1,6.0,0,1,1,commercial|correlated|private_fragmented|51101|supply_01|verify,correlated_unsafe_or_compromised_component,0.7643408413648397,local_kpi_only
commercial|correlated|private_fragmented|51102,commercial,correlated,private_fragmented,51102,commercial_topology_2,3.036130173932941,0.0,3.036130173932941,0,0.0,0,0,0,,,0.0,local_kpi_only
commercial|correlated|private_fragmented|51103,commercial,correlated,private_fragmented,51103,commercial_topology_3,3.1812888032461117,0.1131963682732176,3.068092434972894,1,6.0,0,1,1,commercial|correlated|private_fragmented|51103|supply_02|verify,correlated_unsafe_or_compromised_component,0.8154775436715382,local_kpi_only
commercial|correlated|private_fragmented|51104,commercial,correlated,private_fragmented,51104,commercial_topology_0,2.7673272829676945,0.1046736026552729,2.6626536803124217,1,6.0,0,1,0,commercial|correlated|private_fragmented|51104|supply_03|verify,correlated_unsafe_or_compromised_component,0.8170678978615541,local_kpi_only
commercial|correlated|private_fragmented|51105,commercial,correlated,private_fragmented,51105,commercial_topology_1,3.0053249795559576,0.2039589777373774,2.80136600181858,2,10.0,0,2,1,commercial|correlated|private_fragmented|51105|supply_02|verify;commercial|correlated|private_fragmented|51105|supply_04|request_peer_evidence,correlated_unsafe_or_compromised_component;correlated_commitment_deadlock,0.8467798777639248,local_kpi_only
