application,matched_clusters,private_mean_gain,public_mean_gain,absolute_interaction,relative_interaction,ci95_low,ci95_high
commercial,120,-0.015065208451960835,-0.015880177828412795,0.0008149693764519609,0.016299387529039217,-0.03698899781070197,0.0372968803367955
humanitarian,120,-0.01164100254906041,-0.025285750653530316,0.013644748104469908,0.2728949620893982,-0.00468900354071884,0.03207466187917007
utility_restoration,120,-0.00996970762301457,-0.015432330908837468,0.005462623285822897,0.10925246571645794,-0.015674592895977148,0.026912434950496878
