cluster_id,application,regime,information_condition,environment_seed,selected_effect_kpi,loss_after_selection_kpi,selected_count_kpi,operator_minutes_kpi,harmful_count_kpi,service_reaching_count_kpi,selected_candidates_kpi,selected_scenario_families_kpi,selected_effect_thermo,loss_after_selection_thermo,selected_count_thermo,operator_minutes_thermo,harmful_count_thermo,service_reaching_count_thermo,selected_candidates_thermo,selected_scenario_families_thermo,utility_difference,loss_difference,harm_difference
commercial|compound|private_fragmented|51101,commercial,compound,private_fragmented,51101,0.2165520362812784,3.0079250703844904,2,10.0,0,1,commercial|compound|private_fragmented|51101|supply_03|request_peer_evidence;commercial|compound|private_fragmented|51101|supply_01|verify,compound_commitment_deadlock;compound_unsafe_or_compromised_component,0.2165520362812784,3.0079250703844904,2,10.0,0,1,commercial|compound|private_fragmented|51101|supply_01|verify;commercial|compound|private_fragmented|51101|supply_03|request_peer_evidence,compound_unsafe_or_compromised_component;compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51102,commercial,compound,private_fragmented,51102,-0.38320282672337,3.644945166954996,2,12.0,1,1,commercial|compound|private_fragmented|51102|supply_02|verify;commercial|compound|private_fragmented|51102|supply_01|verify,compound_route_or_service_failure;compound_evidence_conflict,0.0,3.261742340231626,1,6.0,0,1,commercial|compound|private_fragmented|51102|supply_01|verify,compound_evidence_conflict,0.38320282672337,-0.38320282672337,-1
commercial|compound|private_fragmented|51103,commercial,compound,private_fragmented,51103,0.1304050840169734,4.339218826665637,1,4.0,0,1,commercial|compound|private_fragmented|51103|supply_03|request_peer_evidence,compound_commitment_deadlock,0.1304050840169734,4.339218826665637,1,4.0,0,1,commercial|compound|private_fragmented|51103|supply_03|request_peer_evidence,compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51104,commercial,compound,private_fragmented,51104,-0.27531030058660855,4.0370823498012784,2,12.0,1,1,commercial|compound|private_fragmented|51104|supply_04|request_peer_evidence;commercial|compound|private_fragmented|51104|supply_03|reroute_or_reconfigure,compound_commitment_deadlock;compound_evidence_conflict,-0.27531030058660855,4.0370823498012784,2,12.0,1,1,commercial|compound|private_fragmented|51104|supply_03|reroute_or_reconfigure;commercial|compound|private_fragmented|51104|supply_04|request_peer_evidence,compound_evidence_conflict;compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51105,commercial,compound,private_fragmented,51105,0.0,4.575881413436919,1,4.0,0,1,commercial|compound|private_fragmented|51105|supply_02|request_peer_evidence,compound_commitment_deadlock,0.0,4.575881413436919,1,4.0,0,1,commercial|compound|private_fragmented|51105|supply_02|request_peer_evidence,compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51106,commercial,compound,private_fragmented,51106,0.1285689287143989,4.030998619885002,1,9.0,0,1,commercial|compound|private_fragmented|51106|supply_04|deploy_repair_capacity,compound_resource_shortage,0.1285689287143989,4.030998619885002,1,9.0,0,1,commercial|compound|private_fragmented|51106|supply_04|deploy_repair_capacity,compound_resource_shortage,0.0,0.0,0
commercial|compound|private_fragmented|51107,commercial,compound,private_fragmented,51107,0.1062961071570125,3.9743457711966528,1,6.0,0,1,commercial|compound|private_fragmented|51107|supply_02|verify,compound_unsafe_or_compromised_component,0.1062961071570125,3.9743457711966528,1,6.0,0,1,commercial|compound|private_fragmented|51107|supply_02|verify,compound_unsafe_or_compromised_component,0.0,0.0,0
commercial|compound|private_fragmented|51108,commercial,compound,private_fragmented,51108,0.0,3.92126046507519,1,4.0,0,1,commercial|compound|private_fragmented|51108|supply_04|request_peer_evidence,compound_commitment_deadlock,0.1085613484470533,3.8126991166281368,2,8.0,0,2,commercial|compound|private_fragmented|51108|supply_04|request_peer_evidence;commercial|compound|private_fragmented|51108|supply_01|request_peer_evidence,compound_commitment_deadlock;compound_evidence_conflict,0.1085613484470533,-0.10856134844705334,0
commercial|compound|private_fragmented|51109,commercial,compound,private_fragmented,51109,0.0956031698725926,2.807921871669081,1,4.0,0,1,commercial|compound|private_fragmented|51109|supply_01|request_peer_evidence,compound_commitment_deadlock,0.0956031698725926,2.807921871669081,2,10.0,0,2,commercial|compound|private_fragmented|51109|supply_01|request_peer_evidence;commercial|compound|private_fragmented|51109|supply_02|verify,compound_commitment_deadlock;compound_evidence_conflict,0.0,0.0,0
commercial|compound|private_fragmented|51110,commercial,compound,private_fragmented,51110,0.1362,3.6453703516992797,1,6.0,0,1,commercial|compound|private_fragmented|51110|supply_03|verify,compound_unsafe_or_compromised_component,0.1362,3.6453703516992797,2,10.0,0,2,commercial|compound|private_fragmented|51110|supply_02|request_peer_evidence;commercial|compound|private_fragmented|51110|supply_03|verify,compound_commitment_deadlock;compound_unsafe_or_compromised_component,0.0,0.0,0
