application,scenario_name,method,n,primary_outcome_mean,primary_outcome_ci95_low,primary_outcome_ci95_high,fulfillment_rate_mean,fulfillment_rate_ci95_low,fulfillment_rate_ci95_high,fairness_mean,fairness_ci95_low,fairness_ci95_high,messages_mean,messages_ci95_low,messages_ci95_high,monitor_sketch_messages_mean,monitor_sketch_messages_ci95_low,monitor_sketch_messages_ci95_high,total_communication_messages_mean,total_communication_messages_ci95_low,total_communication_messages_ci95_high,total_communication_bytes_mean,total_communication_bytes_ci95_low,total_communication_bytes_ci95_high,generated_tokens_mean,generated_tokens_ci95_low,generated_tokens_ci95_high,wall_clock_seconds_mean,wall_clock_seconds_ci95_low,wall_clock_seconds_ci95_high
commercial,factor_moderate_center,autonomous_fixed_comm,8,15.433155889946683,14.821964406208563,15.967951544272353,0.13171574796862,0.11080034749720317,0.15252015677040728,0.6296992775048054,0.549871516494744,0.7106408585694375,43.375,40.5,46.375,0.0,0.0,0.0,43.375,40.5,46.375,6112.375,5966.25,6255.5,4226.0,4028.5,4418.509375,54.53473774390295,50.92890716297552,58.14512206884101
commercial,factor_moderate_center,autonomous_no_comm,8,14.112937329657825,13.206844510416603,15.046870450751353,0.2155368802224727,0.1725968819667394,0.2576293298786305,0.4715346236563337,0.44283653257981215,0.500459913648398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3693.5,3605.75,3792.1343749999996,42.977407064288855,40.779936357284896,45.09908762294799
commercial,factor_moderate_center,centralized_llm,8,15.646961966746554,14.989033984419773,16.30482906291168,0.13708900262319523,0.11161955363354775,0.16579655452967695,0.5994075948792532,0.5335804637548778,0.6658305252144652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.375,1403.75,1452.25,24.047603629063815,23.3431089073536,24.663042170379775
commercial,factor_moderate_center,centralized_lookahead,8,0.30643290505560433,0.1992278917809716,0.41862832483298346,0.9981633609279041,0.9964713631292675,0.9994528254632464,0.9999871739826738,0.9999652497086269,0.9999990566702668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04966146033257246,0.047934220638126135,0.0516429646871984
commercial,factor_moderate_center,learned_no_entropy,8,16.680094981071058,16.199216121559417,17.177594098117822,0.08671861588138892,0.06296906848512711,0.11230071651465026,0.8321288359044376,0.7629869737885291,0.9010112372531142,159.625,136.996875,182.625,0.0,0.0,0.0,159.625,136.996875,182.625,40187.25,37944.721875,42421.790624999994,10957.875,9979.140625,11889.25,173.0450357683003,156.43315974844154,189.7019026971655
commercial,factor_moderate_center,scripted_independent,8,15.581229899113264,15.154838488296068,16.01516629981386,0.15249963453718074,0.12194065709426129,0.18644763681001603,0.6252243159290778,0.5509169281328012,0.7248702498202557,57.125,49.625,62.875,0.0,0.0,0.0,57.125,49.625,62.875,17658.375,15987.928125,19123.553125,0.0,0.0,0.0,0.07601291267201304,0.06077142795547843,0.10489200643496588
commercial,factor_moderate_center,thermoagent,8,16.100054498729712,15.319959758515498,16.787460295833235,0.12549613787233288,0.09441906480539841,0.15660074681777963,0.7054149436459223,0.6149405210801207,0.7871622883683193,215.375,196.0,233.00312499999995,4706.0,4697.25,4714.5,4921.375,4898.49375,4944.375,1855975.125,1851471.375,1860804.80625,11556.0,10986.875,12200.009375,182.8912577247247,172.35791724809678,193.97103004464878
commercial,factor_private_aligned,autonomous_fixed_comm,8,15.212665344442595,14.703514230593843,15.72779801880795,0.13564450534636693,0.11983743553421279,0.15169854233138305,0.6617215068161146,0.6129378558486552,0.7205299644655292,53.375,50.625,56.0,0.0,0.0,0.0,53.375,50.625,56.0,5732.5,5422.73125,6007.778125,4558.125,4388.74375,4720.390625,53.36962109990418,51.646405261941254,55.20584887954173
commercial,factor_private_aligned,autonomous_no_comm,8,14.094710818304364,13.343816733504777,14.851798739861959,0.18426545197490896,0.15048251622859918,0.21632666405485468,0.4675346593904742,0.43237590970795764,0.5013181592115503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.625,3024.49375,3161.25,32.08136576740071,30.778349568950944,33.246205659327096
commercial,factor_private_aligned,centralized_llm,8,17.06135734511864,16.534223769794533,17.555034422869742,0.041364742671920474,0.03405261657033562,0.04943161995704687,0.9703006339489939,0.9556301999349976,0.9822526000109428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,8.089933990500867,8.081940077710897,8.097306087019387
