method,rl_seed,training_episode,decision_epochs,mean_trajectory_reward,service_loss,action_diversity,actor_loss,critic_loss,policy_entropy
ppo_shannon_js,66204,10,240,0.012691334035152895,4.291917027532243,6,-0.014740358106791973,0.026171371340751648,1.7491923570632935
ppo_shannon_js,66204,20,480,-0.025763958511582172,3.6330814392988198,6,-0.006857152096927166,0.03374405950307846,1.753957986831665
ppo_shannon_js,66204,30,720,-0.020831585855041433,6.488562464066762,6,-0.004325896501541138,0.039431191980838776,1.7497320175170898
ppo_shannon_js,66204,40,960,0.027345813293415306,2.078565495729963,6,-0.006377431098371744,0.04641776904463768,1.7487562894821167
ppo_shannon_js,66204,50,1200,0.0008118422656550767,6.74996085091399,6,-0.0049087307415902615,0.02489057369530201,1.7486813068389893
ppo_shannon_js,66204,60,1440,0.008382623473329133,4.4021749508631585,6,-0.003765770001336932,0.04875056445598602,1.7458417415618896
ppo_shannon_js,66204,70,1680,0.03597179559374438,4.262597547217779,6,-0.005973848048597574,0.035315532237291336,1.7447569370269775
ppo_shannon_js,66204,80,1920,0.0026843607056803633,3.0541909070390445,6,-0.004429388325661421,0.026980791240930557,1.7442042827606201
ppo_shannon_js,66204,90,2160,-0.008846865691070712,7.683305598898018,6,-0.0033937853295356035,0.03536250814795494,1.7462657690048218
ppo_shannon_js,66204,100,2400,-0.012607498455746132,2.499208936271336,6,-0.004721572156995535,0.021804453805088997,1.741213321685791
ppo_shannon_js,66204,110,2640,-0.0035611344553546642,2.1047701475657283,6,-0.003961618989706039,0.03830111399292946,1.7422791719436646
ppo_shannon_js,66204,120,2880,0.007219665380407954,4.831068237593928,6,-0.004449506755918264,0.024030884727835655,1.741503119468689
ppo_shannon_js,66204,130,3120,-0.006900847925484669,3.5719575726832735,6,-0.0037129323463886976,0.046133026480674744,1.7369213104248047
ppo_shannon_js,66204,140,3360,-0.00268989068206569,4.279365603310667,6,-0.0031469266396015882,0.02693110890686512,1.7367761135101318
ppo_shannon_js,66204,150,3600,0.01722477648622804,4.1630801725990425,6,-0.0035506209824234247,0.024013690650463104,1.7390516996383667
ppo_shannon_js,66204,160,3840,-0.004935959389601254,6.789374733287784,6,-0.0038763643242418766,0.03454860299825668,1.7357637882232666
ppo_shannon_js,66204,170,4080,0.0010405148456859871,6.46213778770526,6,-0.0027597558218985796,0.0170820951461792,1.7344478368759155
ppo_shannon_js,66204,180,4320,0.032825026963540074,6.1990746499359215,6,-0.0037126662209630013,0.06299112737178802,1.7333471775054932
ppo_shannon_js,66204,190,4560,0.01080598942137494,3.1949473963653703,6,-0.00515690678730607,0.013733717612922192,1.7275776863098145
ppo_shannon_js,66204,200,4800,-0.004183376994426526,2.2293095775512097,6,-0.004170131869614124,0.037342850118875504,1.7283611297607422
