method,rl_seed,training_episode,decision_epochs,mean_trajectory_reward,service_loss,action_diversity,actor_loss,critic_loss,policy_entropy
ppo_predictive_uncertainty,66203,10,240,0.01375610618550146,5.251944031398112,6,-0.013123632408678532,0.03359803557395935,1.7524844408035278
ppo_predictive_uncertainty,66203,20,480,0.02113773489516651,3.2710444591985848,6,-0.007487869821488857,0.042435742914676666,1.7478365898132324
ppo_predictive_uncertainty,66203,30,720,0.01400592110238821,4.900274068246632,6,-0.008882543072104454,0.018542375415563583,1.7494068145751953
ppo_predictive_uncertainty,66203,40,960,0.01091645278793583,6.5595367568422605,6,-0.004810210317373276,0.03888174518942833,1.7480556964874268
ppo_predictive_uncertainty,66203,50,1200,0.008254301237175425,4.890632785224982,6,-0.003920404240489006,0.024395236745476723,1.7455278635025024
ppo_predictive_uncertainty,66203,60,1440,-0.006046099984463343,6.166516063853944,6,-0.004784981720149517,0.033782221376895905,1.7506346702575684
ppo_predictive_uncertainty,66203,70,1680,-0.0017226513555582393,4.75521089429523,6,-0.004612276330590248,0.02455766312777996,1.7437529563903809
ppo_predictive_uncertainty,66203,80,1920,0.020854590195892038,4.360363084723483,6,-0.00363610009662807,0.02516312152147293,1.743320345878601
ppo_predictive_uncertainty,66203,90,2160,0.03360093678023799,3.787830817390412,6,-0.003165559144690633,0.05488430708646774,1.738595724105835
ppo_predictive_uncertainty,66203,100,2400,0.014134944038682543,3.1559516861769645,6,-0.004941181745380163,0.019439050927758217,1.740157961845398
ppo_predictive_uncertainty,66203,110,2640,-0.010144909034263168,3.5663717803096304,6,-0.004821368493139744,0.03595240041613579,1.7376636266708374
ppo_predictive_uncertainty,66203,120,2880,-0.0037680504767034495,5.6082145287870615,6,-0.005310655105859041,0.06937851011753082,1.737971544265747
ppo_predictive_uncertainty,66203,130,3120,-0.01079007108196307,4.380397427358971,6,-0.0019653718918561935,0.05460372194647789,1.7380774021148682
ppo_predictive_uncertainty,66203,140,3360,0.019935321031990437,4.6633076384730385,6,-0.004013391677290201,0.03321431949734688,1.735789179801941
ppo_predictive_uncertainty,66203,150,3600,0.017282955023570388,2.2814369600300664,6,-0.002870885655283928,0.03690004721283913,1.738606572151184
ppo_predictive_uncertainty,66203,160,3840,0.03088371394490684,6.010822616461349,6,-0.004717664327472448,0.06728918105363846,1.7301888465881348
ppo_predictive_uncertainty,66203,170,4080,-0.013985042978155972,3.9545239172648516,6,-0.003826880594715476,0.03572823852300644,1.7311432361602783
ppo_predictive_uncertainty,66203,180,4320,0.026148610800104513,5.543101847383561,6,-0.0030341765377670527,0.028629638254642487,1.730286955833435
ppo_predictive_uncertainty,66203,190,4560,-0.005473241124858073,6.268103198161336,6,-0.0031407675705850124,0.04010704904794693,1.7293434143066406
ppo_predictive_uncertainty,66203,200,4800,-0.001526860912768771,2.4391709564325548,6,-0.004151968285441399,0.03348453342914581,1.727790117263794
