workflow,episodes,llm_calls,prompt_tokens,generated_tokens,operational_messages,thermodynamic_sketch_messages,total_messages,total_bytes,communication_split_status,wall_seconds,reserved_single_gpu_pod_hours,gpu_active_hours,estimated_cost_usd_at_0_34_per_pod_hour
retained_development_pilots,1308,0,0,0,24513,191550,216063,21935936,exact,558.1713314001099,0.15504759205558608,0.0,0.05271618129889927
formal_reference,1260,0,0,0,52532,98941,151473,17668836,exact,380.5825017429888,0.10571736159527467,0.0,0.03594390294239339
sketch_reference,720,0,0,0,29408,76577,105985,12010084,exact,216.86517003923655,0.06024032501089904,0.0,0.020481710503705675
dynamic_development,2520,0,0,0,113889,198334,312223,37732436,exact,824.6510411202908,0.2290697336445252,0.0,0.07788370943913858
sequential_decentralized_ppo,6500,0,0,0,354803,583383,938186,112457788,exact for training and evaluation,2088.111103016883,0.5800308619491342,0.5800308619491342,0.19721049306270566
real_qwen_qualification,150,2755,3096925,232235,1506,12125,13631,1402256,exact,1986.591950982809,0.5518310974952247,0.5518310974952247,0.18762257314837644
analysis_profile_and_integrity_overhead,0,57,64805,4752,0,0,0,0,not applicable,37.46,0.010405555555555555,0.010405555555555555,0.003537888888888889
