stage,evidence_status,episodes,decision_rows,failed_episodes,confirmatory,simulated_operator
pilot_sketch_cost,pilot/development iteration,108,2160,0,False,True
pilot_sketch_cost_v2,pilot/development iteration,108,2160,0,False,True
pilot_v1,pilot/development iteration,216,4320,0,False,True
pilot_v10_timing_threshold,pilot/development iteration,90,2160,0,False,True
pilot_v11_timing_final,pilot/development iteration,120,2880,0,False,True
pilot_v2,pilot/development iteration,216,4320,0,False,True
pilot_v3_reference,pilot/development iteration,90,1800,0,False,True
pilot_v4_reference,pilot/development iteration,90,1800,0,False,True
pilot_v5_reference,pilot/development iteration,90,1800,0,False,True
pilot_v6_matched,pilot/development iteration,90,1800,0,False,True
pilot_v8_dynamic_causal,pilot/development iteration,90,1800,0,False,True
development_formal_reference,frozen development reference,1260,30240,0,False,True
development_sketch_reference,frozen development communication ablation,720,17280,0,False,True
development_dynamic,cross-fitted dynamic development evaluation,2520,60480,0,False,True
real_qwen_development_qualification,real open-weight LLM autonomous agents,150,2700,0,False,True
sequential_decentralized_ppo,multi-seed development training/evaluation,6500,156000,0,False,False
validation,not run—prospectively locked,0,0,0,False,True
holdout,not run—prospectively locked,0,0,0,True,True
