method,rl_seed,status,algorithm,centralized_training,decentralized_execution,training_episodes,training_decision_epochs,evaluation_episodes,evaluation_decision_epochs,evaluation_mean_reward,evaluation_mean_service_loss,evaluation_mean_causal_utility,evaluation_harmful_actions_per_episode,evaluation_autonomous_harm_rate,evaluation_action_diversity,evaluation_actions_used,collapsed_to_no_action,training_operational_messages,training_operational_bytes,training_sketch_messages,training_sketch_bytes,evaluation_operational_messages,evaluation_operational_bytes,evaluation_sketch_messages,evaluation_sketch_bytes,all_training_and_evaluation_messages,all_training_and_evaluation_bytes,wall_seconds,device,checkpoint,checkpoint_sha256,curve,evaluation
ppo_kpi_only,66201,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,0.0330194504530617,4.004128512570525,0.8654449082935425,3.6,0.254469910536087,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11261,1708608,17795,1779500,2781,441552,5426,542600,37263,4472260,83.46537128463387,cuda,training/checkpoints/ppo_kpi_only-seed-66201.pt,8b5f3c102c80cd5603f406eacfed62a88cf47647ceada71a73d11dec57ba227b,training/curves/ppo_kpi_only-seed-66201.csv,training/evaluation/ppo_kpi_only-seed-66201.csv
ppo_kpi_only,66202,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,0.2342259513142369,4.129344413344594,0.7301121058300153,5.183333333333334,0.42754884004884,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11195,1699670,18202,1820200,2948,461576,5448,544800,37793,4526246,83.17052740231156,cuda,training/checkpoints/ppo_kpi_only-seed-66202.pt,ee48dba4a0d6358cf9c20e96b1568f681fb37bb23ed0f4c3765beeda6bb049e6,training/curves/ppo_kpi_only-seed-66202.csv,training/evaluation/ppo_kpi_only-seed-66202.csv
ppo_kpi_only,66203,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.2239145927395753,4.288318006287828,0.9476846555874944,6.166666666666667,0.4632163914516856,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11239,1706852,17913,1791300,2883,454580,5401,540100,37436,4492832,83.63481188565493,cuda,training/checkpoints/ppo_kpi_only-seed-66203.pt,2c28c89242ba79c2c20acf2a2ec2c5026bdd727312651795751c97f370c2b999,training/curves/ppo_kpi_only-seed-66203.csv,training/evaluation/ppo_kpi_only-seed-66203.csv
ppo_kpi_only,66204,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,0.0480523569812451,4.114449923949143,0.899925168493784,7.233333333333333,0.3793885281385281,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11410,1720044,17955,1795500,3152,478906,5377,537700,37894,4532150,83.91887167096138,cuda,training/checkpoints/ppo_kpi_only-seed-66204.pt,57d6c220a9de594e46318f23bd761c6cada785794652e0706787fa975acbaa65,training/curves/ppo_kpi_only-seed-66204.csv,training/evaluation/ppo_kpi_only-seed-66204.csv
ppo_kpi_only,66205,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.2000947230866404,4.349931622072906,1.1471914955957354,7.233333333333333,0.438865565262624,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11251,1700428,17714,1771400,2877,450896,5439,543900,37281,4466624,83.30904936045408,cuda,training/checkpoints/ppo_kpi_only-seed-66205.pt,14b8157b22275b7e783e224aef8bd3427439947ad03902e6ca38755c21038867,training/curves/ppo_kpi_only-seed-66205.csv,training/evaluation/ppo_kpi_only-seed-66205.csv
ppo_predictive_uncertainty,66201,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.2027979483690745,4.353097389501519,1.2372832780809018,5.8,0.4163797082547082,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11203,1702564,17796,1779600,2827,447506,5435,543500,37261,4473170,83.70721279457211,cuda,training/checkpoints/ppo_predictive_uncertainty-seed-66201.pt,318b1118de52321de12f389b19e6e5ba82e4ce59c2c8d2b8d747057c617e94da,training/curves/ppo_predictive_uncertainty-seed-66201.csv,training/evaluation/ppo_predictive_uncertainty-seed-66201.csv
ppo_predictive_uncertainty,66202,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0259386475604701,4.2706757638147765,0.57017114687402,4.516666666666667,0.287803169053169,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11269,1713734,18206,1820600,2963,465836,5446,544600,37884,4544770,83.56756981834769,cuda,training/checkpoints/ppo_predictive_uncertainty-seed-66202.pt,5407cb80c14ec207f4e75ff6fe5fd14c56757d8130ba696ca01e1729116b7f7b,training/curves/ppo_predictive_uncertainty-seed-66202.csv,training/evaluation/ppo_predictive_uncertainty-seed-66202.csv
ppo_predictive_uncertainty,66203,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.1312724720781097,4.114633067904454,0.7746360187669948,3.6,0.2741895604395604,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11283,1716346,17913,1791300,2770,441764,5403,540300,37369,4489710,83.64744297042489,cuda,training/checkpoints/ppo_predictive_uncertainty-seed-66203.pt,e9fcb7eba17a6bb9b58ec0694ae88bc233506cdc272bd319e8ded1bf06809bdb,training/curves/ppo_predictive_uncertainty-seed-66203.csv,training/evaluation/ppo_predictive_uncertainty-seed-66203.csv
ppo_predictive_uncertainty,66204,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0728607048227234,4.207400378031163,0.7046830435466925,7.366666666666666,0.3558471620971621,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11371,1719396,17960,1796000,3187,491532,5368,536800,37886,4543728,83.45904460549355,cuda,training/checkpoints/ppo_predictive_uncertainty-seed-66204.pt,6cfa5d3ff0f05d1ccaab510459ff59eba00b4f3438aa94bccd329f5cfd607368,training/curves/ppo_predictive_uncertainty-seed-66204.csv,training/evaluation/ppo_predictive_uncertainty-seed-66204.csv
ppo_predictive_uncertainty,66205,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.1969560063694071,4.467042032516242,1.1605259051707226,9.316666666666666,0.4332699713427267,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11320,1708806,17714,1771400,3080,472682,5445,544500,37559,4497388,83.35932426154613,cuda,training/checkpoints/ppo_predictive_uncertainty-seed-66205.pt,b6de4e190e8c5db8816024b1620dac8ad63c8b77d4f2f07fbf12d3d3e45f9118,training/curves/ppo_predictive_uncertainty-seed-66205.csv,training/evaluation/ppo_predictive_uncertainty-seed-66205.csv
