application,information_condition,controller,disrupted_panels,post_disruption_activation_rate,timely_activation_rate_by_step_4,pre_disruption_false_activation_rate,mean_escalations_per_disrupted_panel,nominal_panels,nominal_false_activation_rate,mean_operator_minutes,mean_maximum_queue_length
commercial,private_fragmented,combined_generalized_entropic_crossfit,180,0.9722222222222222,0.9166666666666666,0.0166666666666666,3.5277777777777777,30,0.0,16.272036298306435,0.8333333333333334
commercial,private_fragmented,kpi_confidence_crossfit,180,0.9555555555555556,0.9,0.0111111111111111,3.411111111111111,30,0.0,15.583556331806587,0.819047619047619
commercial,public_shared,combined_generalized_entropic_crossfit,180,0.9555555555555556,0.8666666666666667,0.0333333333333333,3.638888888888889,30,0.0,16.025756535607748,0.8238095238095238
commercial,public_shared,kpi_confidence_crossfit,180,0.9388888888888888,0.8611111111111112,0.0166666666666666,3.5166666666666666,30,0.0,15.504475279006009,0.8047619047619048
humanitarian,private_fragmented,combined_generalized_entropic_crossfit,180,0.9666666666666668,0.9111111111111112,0.0055555555555555,3.605555555555556,30,0.0,16.59777796433204,0.8285714285714286
humanitarian,private_fragmented,kpi_confidence_crossfit,180,0.9666666666666668,0.9166666666666666,0.0166666666666666,3.566666666666667,30,0.0,16.28321466410536,0.8285714285714286
humanitarian,public_shared,combined_generalized_entropic_crossfit,180,0.9777777777777776,0.9166666666666666,0.0277777777777777,3.838888888888889,30,0.0,16.920506001085183,0.8380952380952381
humanitarian,public_shared,kpi_confidence_crossfit,180,0.9777777777777776,0.9166666666666666,0.0166666666666666,3.75,30,0.0,16.53281561722632,0.8380952380952381
utility_restoration,private_fragmented,combined_generalized_entropic_crossfit,180,0.9833333333333332,0.9555555555555556,0.0166666666666666,3.6277777777777778,30,0.0,16.757236004629824,0.8428571428571429
utility_restoration,private_fragmented,kpi_confidence_crossfit,180,0.9833333333333332,0.9444444444444444,0.0166666666666666,3.611111111111111,30,0.0,16.475177664401564,0.8428571428571429
utility_restoration,public_shared,combined_generalized_entropic_crossfit,180,0.9666666666666668,0.9388888888888888,0.0166666666666666,3.716666666666667,30,0.0,16.380492659672093,0.8333333333333334
utility_restoration,public_shared,kpi_confidence_crossfit,180,0.9611111111111112,0.9388888888888888,0.0166666666666666,3.705555555555556,30,0.0,16.340189624373803,0.8285714285714286
