application,regime,relative_loss_reduction,paired_panels
commercial,moderate,0.6428115108403264,5
commercial,correlated,0.43086398488014355,5
commercial,compound,0.3798440193987484,5
humanitarian,moderate,0.7368264950582446,5
humanitarian,correlated,0.4604103402378631,5
humanitarian,compound,0.3790354033640826,5
