representation,held_out_cluster,balanced_accuracy,macro_recall,multiclass_log_loss,multiclass_brier,test_panels
order_only,V14Q_g0,0.25,0.25,1.476306615971151,0.789680264817139,4
order_only,V14Q_g1,0.0,0.0,1.5090569016557602,0.8074932014318197,4
order_only,V14Q_g2,0.25,0.25,1.5478917902595069,0.7974544964267274,4
order_only,V14Q_g3,0.25,0.25,1.7381864843990762,0.8719187064500977,4
order_only,V14Q_g4,0.0,0.0,1.5598508429849385,0.8424925748227073,4
order_only,V14Q_g5,0.0,0.0,1.6214577382752753,0.9001185338870749,4
simple_uncertainty,V14Q_g0,0.25,0.25,1.400536470258252,0.8153911171802852,4
simple_uncertainty,V14Q_g1,0.5,0.5,0.9454580878109689,0.5623390172979661,4
simple_uncertainty,V14Q_g2,0.75,0.75,1.4465717151562203,0.6425309986760076,4
simple_uncertainty,V14Q_g3,0.5,0.5,1.1899169343461404,0.632907014966701,4
simple_uncertainty,V14Q_g4,0.25,0.25,1.3246719846668,0.705224548260164,4
simple_uncertainty,V14Q_g5,0.5,0.5,1.2176676551469798,0.6477027001731769,4
full_statmech,V14Q_g0,0.75,0.75,1.1112188619696175,0.5451176125566164,4
full_statmech,V14Q_g1,0.5,0.5,0.904215710536406,0.5425849088604782,4
full_statmech,V14Q_g2,0.5,0.5,1.3047846207560236,0.6975587075938297,4
full_statmech,V14Q_g3,0.25,0.25,2.003737764152872,1.0630938046479967,4
full_statmech,V14Q_g4,0.25,0.25,1.4118413738226083,0.784601449073276,4
full_statmech,V14Q_g5,0.5,0.5,1.3118773542066622,0.7149347577476803,4
