study,panel_id,regime,block_length,pseudocount,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,adjusted_irreversibility_nats_per_update,conditional_memory_depth_1,conditional_memory_depth_2,conditional_memory_depth_3
V13_replication,B_memory_n16_g0_markovized,markovized,2,0.5,0.053628214928011,0.0521076142496004,0.0015206006784106,0.0432296908917183,0.0051649477465234,0.0014304928674444
V13_replication,B_memory_n16_g0_markovized,markovized,3,0.5,0.0385483158564072,0.0577117275499694,-0.0191634116935622,0.0432296908917183,0.0051649477465234,0.0014304928674444
V13_replication,B_memory_n16_g0_markovized,markovized,4,0.5,0.0309292723705137,0.0630119555245862,-0.0320826831540725,0.0432296908917183,0.0051649477465234,0.0014304928674444
V13_replication,B_memory_n16_g0_persistent_memory,persistent_memory,2,0.5,0.0614604483711609,0.0201542344101215,0.0413062139610393,0.0186661050007324,0.0064259033480498,0.0007292283409747
V13_replication,B_memory_n16_g0_persistent_memory,persistent_memory,3,0.5,0.039510344610589,0.0223271223485862,0.0171832222620027,0.0186661050007324,0.0064259033480498,0.0007292283409747
V13_replication,B_memory_n16_g0_persistent_memory,persistent_memory,4,0.5,0.0306843402183994,0.0268341215723409,0.0038502186460584,0.0186661050007324,0.0064259033480498,0.0007292283409747
V13_replication,B_memory_n16_g1_markovized,markovized,2,0.5,0.0714323331385852,0.0668916669975535,0.0045406661410317,0.0357567973165084,0.0074899375888694,0.0057998316521056
V13_replication,B_memory_n16_g1_markovized,markovized,3,0.5,0.0499857164020732,0.0683107724454807,-0.0183250560434075,0.0357567973165084,0.0074899375888694,0.0057998316521056
V13_replication,B_memory_n16_g1_markovized,markovized,4,0.5,0.0383825018206427,0.0736035356726275,-0.0352210338519847,0.0357567973165084,0.0074899375888694,0.0057998316521056
V13_replication,B_memory_n16_g1_persistent_memory,persistent_memory,2,0.5,0.0668588391443939,0.0308411701410701,0.0360176690033238,0.01835883523991,0.0091186848839435,0.0043930081739978
