cluster_id,panel_id,sweep,phase,macrostate_distance
V14Q_g0,V14Q_g0_field_reversal,1,baseline,7.851524119130199
V14Q_g0,V14Q_g0_field_reversal,2,baseline,7.982955450224765
V14Q_g0,V14Q_g0_field_reversal,3,baseline,6.460332718996906
V14Q_g0,V14Q_g0_field_reversal,4,baseline,5.655853273251456
V14Q_g0,V14Q_g0_field_reversal,5,baseline,4.711957249254412
V14Q_g0,V14Q_g0_field_reversal,6,baseline,3.766747576331797
V14Q_g0,V14Q_g0_field_reversal,7,baseline,2.58321688959467
V14Q_g0,V14Q_g0_field_reversal,8,baseline,1.700121616775315
V14Q_g0,V14Q_g0_field_reversal,9,baseline,1.3298085818558218
V14Q_g0,V14Q_g0_field_reversal,10,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,11,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,12,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,13,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,14,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,15,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,16,disruption,34.497590416021275
V14Q_g0,V14Q_g0_field_reversal,17,disruption,94.35556036691648
V14Q_g0,V14Q_g0_field_reversal,18,disruption,111.23173812064744
V14Q_g0,V14Q_g0_field_reversal,19,disruption,92.04883616380788
V14Q_g0,V14Q_g0_field_reversal,20,disruption,28.73892332155797
V14Q_g0,V14Q_g0_field_reversal,21,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,22,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,23,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,24,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,25,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,26,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,27,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,28,disruption,3.1340157000222044
V14Q_g0,V14Q_g0_field_reversal,29,disruption,1.3930150557908534
V14Q_g0,V14Q_g0_field_reversal,30,disruption,1.3930150557908532
V14Q_g0,V14Q_g0_field_reversal,31,recovery,30.846302301559405
V14Q_g0,V14Q_g0_field_reversal,32,recovery,87.4423387131904
V14Q_g0,V14Q_g0_field_reversal,33,recovery,103.07414579118893
V14Q_g0,V14Q_g0_field_reversal,34,recovery,91.1712162827042
V14Q_g0,V14Q_g0_field_reversal,35,recovery,28.18828216921865
V14Q_g0,V14Q_g0_field_reversal,36,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,37,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,38,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,39,recovery,3.818048899673052
V14Q_g0,V14Q_g0_field_reversal,40,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_field_reversal,41,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_field_reversal,42,recovery,1.3548284436275877
V14Q_g0,V14Q_g0_field_reversal,43,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_field_reversal,44,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,45,recovery,1.47294826499023
V14Q_g1,V14Q_g1_field_reversal,1,baseline,22.878661749881942
V14Q_g1,V14Q_g1_field_reversal,2,baseline,12.414262778453244
V14Q_g1,V14Q_g1_field_reversal,3,baseline,8.339068327613766
V14Q_g1,V14Q_g1_field_reversal,4,baseline,7.2811344882266384
V14Q_g1,V14Q_g1_field_reversal,5,baseline,6.829270007783726
V14Q_g1,V14Q_g1_field_reversal,6,baseline,6.339946920593973
V14Q_g1,V14Q_g1_field_reversal,7,baseline,3.378041926138849
V14Q_g1,V14Q_g1_field_reversal,8,baseline,1.8254307844719015
V14Q_g1,V14Q_g1_field_reversal,9,baseline,4.261697143561941
V14Q_g1,V14Q_g1_field_reversal,10,baseline,2.9814940732137662
V14Q_g1,V14Q_g1_field_reversal,11,baseline,2.613444516729502
V14Q_g1,V14Q_g1_field_reversal,12,baseline,1.7014374688747729
V14Q_g1,V14Q_g1_field_reversal,13,baseline,1.284328441779546
V14Q_g1,V14Q_g1_field_reversal,14,baseline,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,15,baseline,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,16,disruption,34.171510142059184
V14Q_g1,V14Q_g1_field_reversal,17,disruption,95.20220896147585
V14Q_g1,V14Q_g1_field_reversal,18,disruption,112.4408851221852
V14Q_g1,V14Q_g1_field_reversal,19,disruption,92.84359438070582
V14Q_g1,V14Q_g1_field_reversal,20,disruption,28.320033069366172
V14Q_g1,V14Q_g1_field_reversal,21,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,22,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,23,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,24,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,25,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,26,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,27,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,28,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,29,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,30,disruption,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,31,recovery,34.74335958642644
V14Q_g1,V14Q_g1_field_reversal,32,recovery,95.5804637269298
V14Q_g1,V14Q_g1_field_reversal,33,recovery,112.7828491088068
V14Q_g1,V14Q_g1_field_reversal,34,recovery,93.2201598762627
V14Q_g1,V14Q_g1_field_reversal,35,recovery,26.557509224958068
V14Q_g1,V14Q_g1_field_reversal,36,recovery,1.2905676732543976
V14Q_g1,V14Q_g1_field_reversal,37,recovery,1.2905676732543976
V14Q_g1,V14Q_g1_field_reversal,38,recovery,1.2905676732543976
V14Q_g1,V14Q_g1_field_reversal,39,recovery,1.2905676732543976
V14Q_g1,V14Q_g1_field_reversal,40,recovery,1.3994679425249352
V14Q_g1,V14Q_g1_field_reversal,41,recovery,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,42,recovery,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,43,recovery,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,44,recovery,1.465883021886457
V14Q_g1,V14Q_g1_field_reversal,45,recovery,1.465883021886457
