cluster_id,panel_id,disruption,sweep,phase,macrostate_distance
V14Q_g0,V14Q_g0_nominal,nominal,1,baseline,7.851524119130199
V14Q_g0,V14Q_g0_nominal,nominal,2,baseline,7.982955450224765
V14Q_g0,V14Q_g0_nominal,nominal,3,baseline,6.460332718996906
V14Q_g0,V14Q_g0_nominal,nominal,4,baseline,5.655853273251456
V14Q_g0,V14Q_g0_nominal,nominal,5,baseline,4.711957249254412
V14Q_g0,V14Q_g0_nominal,nominal,6,baseline,3.766747576331797
V14Q_g0,V14Q_g0_nominal,nominal,7,baseline,2.58321688959467
V14Q_g0,V14Q_g0_nominal,nominal,8,baseline,1.700121616775315
V14Q_g0,V14Q_g0_nominal,nominal,9,baseline,1.3298085818558218
V14Q_g0,V14Q_g0_nominal,nominal,10,baseline,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,11,baseline,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,12,baseline,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,13,baseline,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,14,baseline,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,15,baseline,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,16,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,17,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,18,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,19,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,20,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,21,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,22,disruption,3.016328764229616
V14Q_g0,V14Q_g0_nominal,nominal,23,disruption,1.5844258438325256
V14Q_g0,V14Q_g0_nominal,nominal,24,disruption,3.624045022496501
V14Q_g0,V14Q_g0_nominal,nominal,25,disruption,2.328024781085736
V14Q_g0,V14Q_g0_nominal,nominal,26,disruption,2.328024781085736
V14Q_g0,V14Q_g0_nominal,nominal,27,disruption,2.005341547263016
V14Q_g0,V14Q_g0_nominal,nominal,28,disruption,1.4196041021736574
V14Q_g0,V14Q_g0_nominal,nominal,29,disruption,1.2801092944146488
V14Q_g0,V14Q_g0_nominal,nominal,30,disruption,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,31,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,32,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,33,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,34,recovery,3.0197714644891622
V14Q_g0,V14Q_g0_nominal,nominal,35,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_nominal,nominal,36,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_nominal,nominal,37,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_nominal,nominal,38,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_nominal,nominal,39,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,40,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,41,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,42,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,43,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,44,recovery,1.47294826499023
V14Q_g0,V14Q_g0_nominal,nominal,45,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,1,baseline,7.851524119130199
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,baseline,7.982955450224765
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,baseline,6.460332718996906
V14Q_g0,V14Q_g0_field_reversal,field_reversal,4,baseline,5.655853273251456
V14Q_g0,V14Q_g0_field_reversal,field_reversal,5,baseline,4.711957249254412
V14Q_g0,V14Q_g0_field_reversal,field_reversal,6,baseline,3.766747576331797
V14Q_g0,V14Q_g0_field_reversal,field_reversal,7,baseline,2.58321688959467
V14Q_g0,V14Q_g0_field_reversal,field_reversal,8,baseline,1.700121616775315
V14Q_g0,V14Q_g0_field_reversal,field_reversal,9,baseline,1.3298085818558218
V14Q_g0,V14Q_g0_field_reversal,field_reversal,10,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,11,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,12,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,13,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,14,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,15,baseline,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,16,disruption,34.497590416021275
V14Q_g0,V14Q_g0_field_reversal,field_reversal,17,disruption,94.35556036691648
V14Q_g0,V14Q_g0_field_reversal,field_reversal,18,disruption,111.23173812064744
V14Q_g0,V14Q_g0_field_reversal,field_reversal,19,disruption,92.04883616380788
V14Q_g0,V14Q_g0_field_reversal,field_reversal,20,disruption,28.73892332155797
V14Q_g0,V14Q_g0_field_reversal,field_reversal,21,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,22,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,23,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,24,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,25,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,26,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,27,disruption,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,28,disruption,3.1340157000222044
V14Q_g0,V14Q_g0_field_reversal,field_reversal,29,disruption,1.3930150557908534
V14Q_g0,V14Q_g0_field_reversal,field_reversal,30,disruption,1.3930150557908532
V14Q_g0,V14Q_g0_field_reversal,field_reversal,31,recovery,30.846302301559405
V14Q_g0,V14Q_g0_field_reversal,field_reversal,32,recovery,87.4423387131904
V14Q_g0,V14Q_g0_field_reversal,field_reversal,33,recovery,103.07414579118893
V14Q_g0,V14Q_g0_field_reversal,field_reversal,34,recovery,91.1712162827042
V14Q_g0,V14Q_g0_field_reversal,field_reversal,35,recovery,28.18828216921865
V14Q_g0,V14Q_g0_field_reversal,field_reversal,36,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,37,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,38,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,39,recovery,3.818048899673052
V14Q_g0,V14Q_g0_field_reversal,field_reversal,40,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_field_reversal,field_reversal,41,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_field_reversal,field_reversal,42,recovery,1.3548284436275877
V14Q_g0,V14Q_g0_field_reversal,field_reversal,43,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_field_reversal,field_reversal,44,recovery,1.47294826499023
V14Q_g0,V14Q_g0_field_reversal,field_reversal,45,recovery,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,1,baseline,7.851524119130199
V14Q_g0,V14Q_g0_network_partition,network_partition,2,baseline,7.982955450224765
V14Q_g0,V14Q_g0_network_partition,network_partition,3,baseline,6.460332718996906
V14Q_g0,V14Q_g0_network_partition,network_partition,4,baseline,5.655853273251456
V14Q_g0,V14Q_g0_network_partition,network_partition,5,baseline,4.711957249254412
V14Q_g0,V14Q_g0_network_partition,network_partition,6,baseline,3.766747576331797
V14Q_g0,V14Q_g0_network_partition,network_partition,7,baseline,2.58321688959467
V14Q_g0,V14Q_g0_network_partition,network_partition,8,baseline,1.700121616775315
V14Q_g0,V14Q_g0_network_partition,network_partition,9,baseline,1.3298085818558218
V14Q_g0,V14Q_g0_network_partition,network_partition,10,baseline,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,11,baseline,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,12,baseline,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,13,baseline,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,14,baseline,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,15,baseline,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,16,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,17,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,18,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,19,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,20,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,21,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,22,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,23,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,24,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,25,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,26,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,27,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,28,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,29,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,30,disruption,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,31,recovery,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,32,recovery,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,33,recovery,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,34,recovery,3.0197714644891622
V14Q_g0,V14Q_g0_network_partition,network_partition,35,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_network_partition,network_partition,36,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_network_partition,network_partition,37,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_network_partition,network_partition,38,recovery,1.3237729582779023
V14Q_g0,V14Q_g0_network_partition,network_partition,39,recovery,3.818048899673052
V14Q_g0,V14Q_g0_network_partition,network_partition,40,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_network_partition,network_partition,41,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_network_partition,network_partition,42,recovery,1.3548284436275877
V14Q_g0,V14Q_g0_network_partition,network_partition,43,recovery,1.3548284436275873
V14Q_g0,V14Q_g0_network_partition,network_partition,44,recovery,1.47294826499023
V14Q_g0,V14Q_g0_network_partition,network_partition,45,recovery,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,1,baseline,7.851524119130199
V14Q_g0,V14Q_g0_message_corruption,message_corruption,2,baseline,7.982955450224765
V14Q_g0,V14Q_g0_message_corruption,message_corruption,3,baseline,6.460332718996906
V14Q_g0,V14Q_g0_message_corruption,message_corruption,4,baseline,5.655853273251456
V14Q_g0,V14Q_g0_message_corruption,message_corruption,5,baseline,4.711957249254412
V14Q_g0,V14Q_g0_message_corruption,message_corruption,6,baseline,3.766747576331797
V14Q_g0,V14Q_g0_message_corruption,message_corruption,7,baseline,2.58321688959467
V14Q_g0,V14Q_g0_message_corruption,message_corruption,8,baseline,1.700121616775315
V14Q_g0,V14Q_g0_message_corruption,message_corruption,9,baseline,1.3298085818558218
V14Q_g0,V14Q_g0_message_corruption,message_corruption,10,baseline,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,11,baseline,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,12,baseline,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,13,baseline,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,14,baseline,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,15,baseline,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,16,disruption,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,17,disruption,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,18,disruption,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,19,disruption,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,20,disruption,1.47294826499023
V14Q_g0,V14Q_g0_message_corruption,message_corruption,21,disruption,1.47294826499023
