cluster_id,sweep,phase,belief_magnetization,action_magnetization
V14Q_g2,11,baseline,0.125,0.125
V14Q_g2,12,baseline,0.125,0.125
V14Q_g2,13,baseline,0.0,0.0
V14Q_g2,14,baseline,0.0,0.0
V14Q_g2,15,baseline,0.0,0.0
V14Q_g2,16,disruption,0.125,0.25
V14Q_g2,17,disruption,0.0,0.0
V14Q_g2,18,disruption,0.0,0.0
V14Q_g2,19,disruption,0.0,0.0
V14Q_g2,20,disruption,0.0,0.0
V14Q_g2,21,disruption,0.0,0.0
V14Q_g2,22,disruption,0.0,0.0
V14Q_g2,23,disruption,0.0,0.0
V14Q_g2,24,disruption,0.0,0.0
V14Q_g2,25,disruption,0.0,0.0
V14Q_g2,26,disruption,0.0,0.0
V14Q_g2,27,disruption,0.0,0.0
V14Q_g2,28,disruption,0.0,0.0
V14Q_g2,29,disruption,0.0,0.0
V14Q_g2,30,disruption,0.0,0.0
V14Q_g2,31,recovery,0.0,0.0
V14Q_g2,32,recovery,0.0,0.0
V14Q_g2,33,recovery,0.0,0.0
V14Q_g2,34,recovery,0.125,0.125
V14Q_g2,35,recovery,0.0,0.0
V14Q_g2,36,recovery,0.0,0.0
V14Q_g2,37,recovery,0.0,0.0
V14Q_g2,38,recovery,0.0,0.0
V14Q_g2,39,recovery,0.0,0.0
V14Q_g2,40,recovery,0.0,0.0
V14Q_g2,41,recovery,0.0,0.0
V14Q_g2,42,recovery,0.0,0.0
V14Q_g2,43,recovery,0.0,0.0
V14Q_g2,44,recovery,0.0,0.0
V14Q_g2,45,recovery,0.0,0.0
V14Q_g3,1,baseline,0.125,0.125
V14Q_g3,2,baseline,0.0,0.125
V14Q_g3,3,baseline,0.0,0.0
V14Q_g3,4,baseline,0.0,0.0
V14Q_g3,5,baseline,0.0,0.0
V14Q_g3,6,baseline,0.0,0.0
V14Q_g3,7,baseline,0.0,0.0
V14Q_g3,8,baseline,0.0,0.0
V14Q_g3,9,baseline,0.0,0.0
V14Q_g3,10,baseline,0.0,0.0
V14Q_g3,11,baseline,0.0,0.0
V14Q_g3,12,baseline,0.0,0.0
V14Q_g3,13,baseline,0.0,0.0
V14Q_g3,14,baseline,0.0,0.0
V14Q_g3,15,baseline,0.0,0.0
V14Q_g3,16,disruption,0.0,0.0
V14Q_g3,17,disruption,0.0,0.0
V14Q_g3,18,disruption,0.0,0.0
V14Q_g3,19,disruption,0.0,0.0
V14Q_g3,20,disruption,0.0,0.0
V14Q_g3,21,disruption,0.0,0.0
V14Q_g3,22,disruption,0.0,0.0
V14Q_g3,23,disruption,0.0,0.0
V14Q_g3,24,disruption,0.0,0.0
V14Q_g3,25,disruption,0.0,0.0
V14Q_g3,26,disruption,0.0,0.0
V14Q_g3,27,disruption,0.0,0.0
V14Q_g3,28,disruption,0.0,0.0
V14Q_g3,29,disruption,0.0,0.0
V14Q_g3,30,disruption,0.0,0.0
V14Q_g3,31,recovery,0.0,0.0
V14Q_g3,32,recovery,0.0,0.0
V14Q_g3,33,recovery,0.0,0.0
V14Q_g3,34,recovery,0.0,0.0
V14Q_g3,35,recovery,0.0,0.0
V14Q_g3,36,recovery,0.0,0.0
V14Q_g3,37,recovery,0.0,0.0
V14Q_g3,38,recovery,0.0,0.0
V14Q_g3,39,recovery,0.125,0.125
V14Q_g3,40,recovery,0.0,0.0
V14Q_g3,41,recovery,0.0,0.0
V14Q_g3,42,recovery,0.0,0.0
