cluster_id,disruption,energy_entropy_signed_loop_area
V14Q_g0,field_reversal,0.828581758120233
V14Q_g0,message_corruption,0.8145079399582258
V14Q_g0,network_partition,0.8420353832015923
V14Q_g0,nominal,0.8330017214340195
V14Q_g1,field_reversal,0.8101175983541609
V14Q_g1,message_corruption,0.783244128220419
V14Q_g1,network_partition,0.7646639491161569
V14Q_g1,nominal,0.7646639491161569
V14Q_g2,field_reversal,0.7261340241189487
V14Q_g2,message_corruption,0.6816150386814641
V14Q_g2,network_partition,0.5529532075500043
V14Q_g2,nominal,0.4670089261841319
V14Q_g3,field_reversal,0.6845850275979544
V14Q_g3,message_corruption,0.5595195494837562
V14Q_g3,network_partition,0.6994534715289227
V14Q_g3,nominal,0.6845850275979544
V14Q_g4,field_reversal,0.5624026466107708
V14Q_g4,message_corruption,0.4150637499450766
V14Q_g4,network_partition,0.4571162620430939
V14Q_g4,nominal,0.5916501790445494
V14Q_g5,field_reversal,1.287926096214548
V14Q_g5,message_corruption,1.2126004013398417
V14Q_g5,network_partition,1.2295992266615698
V14Q_g5,nominal,1.3029213292352786
