panel_id,disruption,phase,node,community,belief,action,confidence,uncertainty,memory,record_type,source,target,active,message_count,cross_community
V14Q_g0_field_reversal,field_reversal,baseline,0.0,0.0,-1.0,-1.0,0.65,0.6474466390346325,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,1.0,0.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,2.0,0.0,1.0,1.0,0.7,0.6108643020548935,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,3.0,0.0,1.0,1.0,0.76,0.5510799280869728,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,4.0,0.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,5.0,0.0,-1.0,-1.0,0.7,0.6108643020548935,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,6.0,0.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,7.0,0.0,-1.0,-1.0,0.65,0.6474466390346325,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,8.0,1.0,1.0,1.0,0.68,0.6268694575724263,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,9.0,1.0,1.0,1.0,0.68,0.6268694575724263,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,10.0,1.0,-1.0,-1.0,0.6,0.6730116670092565,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,11.0,1.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,12.0,1.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,13.0,1.0,1.0,1.0,0.7,0.6108643020548935,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,14.0,1.0,-1.0,-1.0,0.7,0.6108643020548935,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,15.0,1.0,-1.0,-1.0,0.7,0.6108643020548935,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,0.0,0.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,1.0,0.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,2.0,0.0,-1.0,-1.0,0.8,0.5004024235381879,1.0,node,nan,nan,nan,nan,nan
