application,information_condition,entropy_measure,candidate_rows,independent_panels,roc_auc,average_precision,brier_score,harm_rate_at_50pct_coverage,causal_utility_at_50pct_coverage
commercial,private_fragmented,shannon_local,3545,180,0.8567030727545998,0.8389137849733042,0.1487571602897406,0.22663159371492708,0.20840684689408412
commercial,private_fragmented,jensen_shannon,3545,180,0.8796913710739817,0.8337674995944593,0.13943713923979192,0.21643097643097642,0.21237815297563578
commercial,private_fragmented,gini_simpson,3545,180,0.8531869613527442,0.8389373321164577,0.14998373271195758,0.23058221099887768,0.20171446940994547
commercial,private_fragmented,tsallis_q_0_5,3545,180,0.85758443694524,0.8383433584056306,0.14838407309504578,0.22607603815937152,0.2100581801094265
commercial,private_fragmented,tsallis_q_1_5,3545,180,0.8548929730621588,0.8387145665507358,0.14951163738617784,0.23002665544332218,0.20391192898303684
commercial,private_fragmented,tsallis_q_2,3545,180,0.8531869613527442,0.8389373321164577,0.14998373271195758,0.23058221099887768,0.20171446940994547
commercial,private_fragmented,tsallis_q_3,3545,180,0.851328201333873,0.8394828030293551,0.15021643536377394,0.23205948372615043,0.20037422435153382
commercial,private_fragmented,jensen_tsallis_q_0_5,3545,180,0.8792888760560258,0.8343066768817021,0.139682938365784,0.2203198653198653,0.20842130188310742
commercial,private_fragmented,jensen_tsallis_q_1_5,3545,180,0.8784658398063383,0.8333149885400328,0.14006550870900988,0.2203198653198653,0.21126893031674376
commercial,private_fragmented,jensen_tsallis_q_2,3545,180,0.8760131660019644,0.8329792655654455,0.14127207581963983,0.22087542087542092,0.2104064462191391
commercial,private_fragmented,jensen_tsallis_q_3,3545,180,0.869105655425594,0.8330504431023869,0.1445348402114513,0.22322109988776656,0.2047309641564638
commercial,private_fragmented,graph_weighted_disagreement,3545,180,0.876203618008059,0.8330568284873022,0.1415678525728349,0.21581369248035914,0.21033204360809832
commercial,public_shared,shannon_local,3456,180,0.9686740955816114,0.9656737495664981,0.05065835929305543,0.12483726150392817,0.2897208492688819
commercial,public_shared,jensen_shannon,3456,180,0.9639590087493368,0.9631658127431059,0.050878532751270765,0.1270594837261504,0.28982859471969097
commercial,public_shared,gini_simpson,3456,180,0.9653682813185883,0.9638231527552865,0.05095889320738558,0.12650392817059483,0.2903502358330771
commercial,public_shared,tsallis_q_0_5,3456,180,0.969423333562512,0.9658301157267345,0.05035327959591983,0.12433221099887766,0.28943396236882735
commercial,public_shared,tsallis_q_1_5,3456,180,0.9674298316594475,0.9649919250251175,0.05087855846367223,0.12539281705948374,0.28954058093157714
commercial,public_shared,tsallis_q_2,3456,180,0.9653682813185883,0.9638231527552865,0.05095889320738558,0.12650392817059483,0.2903502358330771
commercial,public_shared,tsallis_q_3,3456,180,0.9630158503498503,0.9624554544175402,0.05066398426576419,0.12761503928170595,0.2905914012686266
commercial,public_shared,jensen_tsallis_q_0_5,3456,180,0.9643944482347071,0.9633270918615842,0.05090647925075644,0.1276767676767677,0.28943742643902454
commercial,public_shared,jensen_tsallis_q_1_5,3456,180,0.9636688332866161,0.963082337300946,0.05084484761975548,0.12761503928170595,0.2885046845100574
commercial,public_shared,jensen_tsallis_q_2,3456,180,0.9635969064404497,0.9630374598010536,0.05082680733285763,0.12761503928170595,0.28902611806836037
commercial,public_shared,jensen_tsallis_q_3,3456,180,0.9639029481192363,0.9632584138544753,0.050797255598696335,0.12823232323232325,0.2882955086779163
commercial,public_shared,graph_weighted_disagreement,3456,180,0.9638186808827962,0.962712875214932,0.05070149742473365,0.1276767676767677,0.29130634804988453
humanitarian,private_fragmented,shannon_local,3548,180,0.8656163921703339,0.8596359221108234,0.14427899207989953,0.2658641975308642,0.19281414795497065
humanitarian,private_fragmented,jensen_shannon,3548,180,0.8848451306322639,0.851870709437232,0.13583620122189513,0.26141975308641974,0.20179518862616025
humanitarian,private_fragmented,gini_simpson,3548,180,0.8633345420077991,0.8599083307709872,0.1450007232421489,0.26864197530864203,0.1912816664529002
humanitarian,private_fragmented,tsallis_q_0_5,3548,180,0.8664729606799112,0.859590005234824,0.14399930587879078,0.2653086419753087,0.1921332042012158
humanitarian,private_fragmented,tsallis_q_1_5,3548,180,0.8646128742914941,0.8597031475289666,0.1445976097854559,0.26697530864197533,0.19257898855172995
humanitarian,private_fragmented,tsallis_q_2,3548,180,0.8633345420077991,0.8599083307709872,0.1450007232421489,0.26864197530864203,0.1912816664529002
humanitarian,private_fragmented,tsallis_q_3,3548,180,0.8613392749225495,0.8569344944052049,0.1453521521963479,0.27197530864197533,0.19020709554639023
humanitarian,private_fragmented,jensen_tsallis_q_0_5,3548,180,0.8845133812986252,0.85196053299353,0.1358596598669237,0.25808641975308644,0.20431215173459824
humanitarian,private_fragmented,jensen_tsallis_q_1_5,3548,180,0.8836676272447948,0.8523297715094191,0.1366669599279661,0.2591975308641976,0.20454718535999364
humanitarian,private_fragmented,jensen_tsallis_q_2,3548,180,0.8816869914820256,0.8532255672512523,0.1380212602235382,0.2625308641975309,0.20110703747114908
humanitarian,private_fragmented,jensen_tsallis_q_3,3548,180,0.8755481974846848,0.8552343973120171,0.14112520208801935,0.26203703703703707,0.20147534295675057
humanitarian,private_fragmented,graph_weighted_disagreement,3548,180,0.8828431840302294,0.8524179921869108,0.13654693665987067,0.2564197530864198,0.20547909684782475
humanitarian,public_shared,shannon_local,3481,180,0.9741161705855889,0.9647339602025158,0.05003492077278376,0.14135802469135803,0.28545283223897194
humanitarian,public_shared,jensen_shannon,3481,180,0.9695667028621493,0.9598859369125986,0.050926707844736,0.14358024691358023,0.2819855147763053
humanitarian,public_shared,gini_simpson,3481,180,0.9726324940717213,0.9639887575728665,0.05073602204816421,0.14191358024691358,0.28285288269708553
humanitarian,public_shared,tsallis_q_0_5,3481,180,0.9744060727224756,0.9641518585813531,0.04974031709214197,0.1408024691358025,0.28571635666077655
humanitarian,public_shared,tsallis_q_1_5,3481,180,0.9735874459181981,0.9644942401599923,0.05040526293769535,0.14135802469135803,0.2850150055760135
humanitarian,public_shared,tsallis_q_2,3481,180,0.9726324940717213,0.9639887575728665,0.05073602204816421,0.14191358024691358,0.28285288269708553
humanitarian,public_shared,tsallis_q_3,3481,180,0.9701850705473636,0.9616600698673462,0.0509020065598367,0.1441358024691358,0.28225628698590344
humanitarian,public_shared,jensen_tsallis_q_0_5,3481,180,0.9697104699662062,0.9599611765208955,0.0509520705874828,0.14469135802469135,0.28174579675640465
humanitarian,public_shared,jensen_tsallis_q_1_5,3481,180,0.9695041218874423,0.9598172023057336,0.05090088626244298,0.14358024691358023,0.28198247877620597
humanitarian,public_shared,jensen_tsallis_q_2,3481,180,0.9694868698349554,0.9598379306487479,0.05088769394587135,0.14358024691358023,0.2816590938315299
humanitarian,public_shared,jensen_tsallis_q_3,3481,180,0.9695711004441558,0.9600573308514462,0.05085771472705394,0.14358024691358023,0.2813616648052506
humanitarian,public_shared,graph_weighted_disagreement,3481,180,0.9691191643241086,0.9590007498477678,0.05083612698580743,0.14419753086419754,0.2826476106306845
utility_restoration,private_fragmented,shannon_local,3549,181,0.891395993416829,0.9061187796548715,0.13142598235105865,0.3197974217311234,0.13821301557187626
utility_restoration,private_fragmented,jensen_shannon,3549,181,0.9009764222997527,0.8992049930065787,0.12574956919763772,0.3152547575199509,0.14449131945834973
utility_restoration,private_fragmented,gini_simpson,3549,181,0.8895265630693361,0.90688710240062,0.132188241630838,0.32421731123388586,0.13523866598874404
utility_restoration,private_fragmented,tsallis_q_0_5,3549,181,0.8917266300320867,0.905102777763248,0.13123431601103488,0.3203499079189687,0.13747648358129247
utility_restoration,private_fragmented,tsallis_q_1_5,3549,181,0.8907241166797013,0.9067690382981743,0.1317418284117685,0.3214548802946593,0.13596973274772048
utility_restoration,private_fragmented,tsallis_q_2,3549,181,0.8895265630693361,0.90688710240062,0.132188241630838,0.32421731123388586,0.13523866598874404
utility_restoration,private_fragmented,tsallis_q_3,3549,181,0.8882220104377063,0.9055068416577684,0.13242664743271768,0.32587476979742175,0.1337995079784084
utility_restoration,private_fragmented,jensen_tsallis_q_0_5,3549,181,0.9001657360215257,0.8987472475409114,0.1261661807902324,0.31586863106200125,0.14396433013160784
utility_restoration,private_fragmented,jensen_tsallis_q_1_5,3549,181,0.9008620329556986,0.8996051344624783,0.12598126534329876,0.3158072437077962,0.14254318864293536
utility_restoration,private_fragmented,jensen_tsallis_q_2,3549,181,0.900030139664248,0.9001631741112527,0.126649826967766,0.31470227133210565,0.14363889172697714
utility_restoration,private_fragmented,jensen_tsallis_q_3,3549,181,0.897059551221042,0.9004563029911068,0.12864244028606048,0.3186924493554328,0.1433745637292058
utility_restoration,private_fragmented,graph_weighted_disagreement,3549,181,0.9009638908828479,0.9017953241245396,0.12637723137218174,0.31843155310006144,0.13931976757322254
utility_restoration,public_shared,shannon_local,3474,181,0.9721700864657719,0.9732968952477126,0.04654757207837437,0.18859729895641503,0.24259864512464901
utility_restoration,public_shared,jensen_shannon,3474,181,0.9718081367232746,0.9736789417396462,0.04669882796273027,0.18970227133210557,0.2424672403585193
