path,artifact_type,stage,description,application,method,size_bytes,sha256
CLAIMS_MATRIX.md,md,root,CLAIMS MATRIX.md artifact for the V6 root stage,all,multiple_or_not_applicable,1880,3be527badc7c6628e9feb061c85853888e6921e7629b08bee48d5f94cde4d77a
PAPER_OUTLINE.md,md,root,PAPER OUTLINE.md artifact for the V6 root stage,all,multiple_or_not_applicable,2568,0933a6b103462dd8a1ee0336d3eb8e6dc2f6700d1b4b4f87952f72e55e7274f5
PAPER_SUMMARY.md,md,root,PAPER SUMMARY.md artifact for the V6 root stage,all,multiple_or_not_applicable,3739,2687deddbb6bb0bdd9b9ca07f8881dcd34d36cee330913ff542ba30bc957efae
README.md,md,root,README.md artifact for the V6 root stage,all,multiple_or_not_applicable,8110,0e89539881f62d98a9108b11cb788641afee1d58a54b264a062f365e7d05da7e
dashboard_exports/matched_kpi_entropic_replay.svg,svg,dashboard_exports,matched kpi entropic replay.svg artifact for the V6 dashboard_exports stage,all,multiple_or_not_applicable,10538,651ab9e3d79a9cafe724b6c967dd22a0f7097028a35826ef84fd9167a6078271
dashboard_exports/utility_restoration_populated_replay.svg,svg,dashboard_exports,utility restoration populated replay.svg artifact for the V6 dashboard_exports stage,utility_restoration,multiple_or_not_applicable,5007,5cada32ed096567105ea03e76cce7471d5753824394ea414c3a8ec18bb843704
development/communication/communication_analysis.json,json,development,communication analysis.json artifact for the V6 development stage,all,multiple_or_not_applicable,6079,6aacc953203d4332047c3d31da5db127bdd5c0141111ac29b40cbb1f1f7d0ab0
development/communication/distributed_estimation_error.csv,csv,development,distributed estimation error.csv artifact for the V6 development stage,all,multiple_or_not_applicable,443,ebd2e0295c4622503f7fb8dc04dedecf0b257813c9eb3c5cf1f3c90c7a7a8b48
development/communication/event_vs_always_reductions.csv,csv,development,event vs always reductions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,1039,ce1032b7b882473c1d9f5775cce96fe692988bb221203826376d2b70b11605f3
development/communication/event_vs_always_safety.csv,csv,development,event vs always safety.csv artifact for the V6 development stage,all,multiple_or_not_applicable,600,dbd8b1fc437a2d38ec53f2fb4a000417383c0261d8cb24aa15384ef7d2cb0e05
development/communication/sketch_costs.csv,csv,development,sketch costs.csv artifact for the V6 development stage,all,multiple_or_not_applicable,610,edeb6db9a8c005b457c87ddc7687527cf320c4453e1cd1b7e414b528ce66ab01
development/dynamic/candidate_decisions_aggregation.json,json,development,candidate decisions aggregation.json artifact for the V6 development stage,all,multiple_or_not_applicable,210,d2e9b73d077abcedd8534483c07c53ab572441cc4e3a1095c8486b17ca296ab6
development/dynamic/completed_actions.csv,csv,development,completed actions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,17905562,c1dcb818fa80d901a79148168a67f4917bbeded70408907c47f955eeda5813af
development/dynamic/crossfit_model_fits.csv,csv,development,crossfit model fits.csv artifact for the V6 development stage,all,multiple_or_not_applicable,5587,0136e4dde85ce924a8d9275d861bd090f5ae3926469d3ce71a970a3cfd49d81b
development/dynamic/delegation_decisions.csv,csv,development,delegation decisions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,20716771,05c4e154467c33c5e691a6dc410afb71b871cbacd9dd58e061d138afc154e43c
development/dynamic/distributed_consensus.csv,csv,development,distributed consensus.csv artifact for the V6 development stage,all,multiple_or_not_applicable,30501714,51b06db88502bb7d3c7c362c322917113706d7486715ba78d439e210c6b07328
development/dynamic/dynamic_evaluation.json,json,development,dynamic evaluation.json artifact for the V6 development stage,all,multiple_or_not_applicable,13359,f9fc89b7d470a1b66d8330104743f94f74a20cd1195b8f299f39eac65593f746
development/dynamic/episode_summary.csv,csv,development,episode summary.csv artifact for the V6 development stage,all,multiple_or_not_applicable,2517308,bcae5b86149b8ffc3e8220f598989b8e8b3dab9d3c6041e86bf80cac79a0a570
development/dynamic/fragmentation_interaction.csv,csv,development,fragmentation interaction.csv artifact for the V6 development stage,all,multiple_or_not_applicable,330,475f3485a693e1539c04a477e5af39fa11c0bf9ba1e4b0b8ed6e70e8023b5537
development/dynamic/paired_dynamic_effects.csv,csv,development,paired dynamic effects.csv artifact for the V6 development stage,all,multiple_or_not_applicable,2214,60116240f3b6d626e2dce9c47a10391095e240223d6aca086a7bac9c7f24aba5
development/dynamic/regime_dynamic_effects.csv,csv,development,regime dynamic effects.csv artifact for the V6 development stage,all,multiple_or_not_applicable,7236,0f6673cb80384d58995161c7c5dfc736beb40dbe1bb336a4aea73093f7daf3b6
development/dynamic/stage_manifest.json,json,development,stage manifest.json artifact for the V6 development stage,all,multiple_or_not_applicable,208,58a5d37ad961b7994c1ae528ed57a856f1dc4d53d19e395792ad35dbab4f10ab
development/dynamic/trigger_timing.csv,csv,development,trigger timing.csv artifact for the V6 development stage,all,multiple_or_not_applicable,2530,7642217cf8fbf7a38bb39723190557bed28f959ab521746dd557d1e27fad17a5
development/entropy_family/entropy_family_analysis.json,json,development,entropy family analysis.json artifact for the V6 development stage,all,multiple_or_not_applicable,379,64f94b7801b7c131565c8901828db85c230a290422656294410a8a3348d63c37
development/entropy_family/entropy_family_panel_selections.csv,csv,development,entropy family panel selections.csv artifact for the V6 development stage,all,multiple_or_not_applicable,3561400,0c70e09e341920a370da465aa12f23b3afec5c1b5ba55174a1acee49fb0ae13f
development/entropy_family/entropy_family_predictions.csv.gz,gz,development,entropy family predictions.csv.gz artifact for the V6 development stage,all,multiple_or_not_applicable,6357921,2722d3868c5aeb05a147b32bb5e482dd1654846c1e1839264cbf5afa30579bee
development/entropy_family/entropy_family_summary.csv,csv,development,entropy family summary.csv artifact for the V6 development stage,all,multiple_or_not_applicable,11262,00c5627050bcb1243dc2650c0e5f8b010ea2e604b6f19f6ba660b27a04c62d1f
development/formal_reference/candidate_decisions.csv,csv,development,candidate decisions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,45860948,6e0ff789eeb53dcccabc138475d1446b2a11e140062f993a9d618f1f68f162c2
development/formal_reference/completed_actions.csv,csv,development,completed actions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,15,a67ce6929f485a9096f6aabcd5c4ae61fa482fa1d01cddddeca6513809fb6868
development/formal_reference/delegation_decisions.csv,csv,development,delegation decisions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,9144841,ca01942ff7fe12e822fc2722eb18a5c8f96fe8224bc3416969f9ec99760dc0b0
development/formal_reference/distributed_consensus.csv,csv,development,distributed consensus.csv artifact for the V6 development stage,all,multiple_or_not_applicable,14223217,695797290625b0e84b5388655cc463c40725ef99d697804312d3479b33b340a9
development/formal_reference/episode_summary.csv,csv,development,episode summary.csv artifact for the V6 development stage,all,multiple_or_not_applicable,1171169,f5dd6101ed3c4fb910710c6d09511364509dfaf46ca5b1824d1894c5a3cd588d
development/formal_reference/stage_manifest.json,json,development,stage manifest.json artifact for the V6 development stage,all,multiple_or_not_applicable,213,bde8917043aa6ce01b9b57cc4fd5a1e84ce3e39c25ea49817ea3f9cc509426e0
development/gate_checks.csv,csv,development,gate checks.csv artifact for the V6 development stage,all,multiple_or_not_applicable,7639,e301ce1e053043e38da4ff9ed8d344e278561cf4af2093caa1087dca34a2cce8
development/gate_status.json,json,development,gate status.json artifact for the V6 development stage,all,multiple_or_not_applicable,18011,bcbccd657a1bb921796e8f32865b96e91a88814378041d5f1e4c1e988293f168
development/learnability/action_value_candidates.csv,csv,development,action value candidates.csv artifact for the V6 development stage,all,multiple_or_not_applicable,35270746,89f3161372b38c6f52e33ae7f5a5317a003a55ddec0a368fe08a9913a7be5b24
development/learnability/application_summary.csv,csv,development,application summary.csv artifact for the V6 development stage,all,multiple_or_not_applicable,456,4d471d9d4bdfb11b26ad31325c7eca032221fc97767b0985721ffb0c883df279
development/learnability/crossfit_action_selections.csv,csv,development,crossfit action selections.csv artifact for the V6 development stage,all,multiple_or_not_applicable,3464621,aac7c4b0f9e1a568fdefe2ae69a0d1a7ef4faf754a8dda30fef93dc063d266c2
development/learnability/crossfit_action_value_predictions.csv,csv,development,crossfit action value predictions.csv artifact for the V6 development stage,all,multiple_or_not_applicable,36119027,a264ba2e26e606fb846971561f8a7d47b05901ef5f70464cc4f04a6f0ec98772
