application,scenario,method,topology,communication,disruption,episodes,unique_environment_seeds,unique_rl_training_seeds
commercial,communication_partition,autonomous_no_comm,tri_region_bridge_v2,partition,moderate,3,3,1
commercial,communication_partition,doet_rl,tri_region_bridge_v2,partition,moderate,16,16,5
commercial,communication_partition,doet_rule,tri_region_bridge_v2,partition,moderate,16,16,1
commercial,communication_partition,fixed_always_on,tri_region_bridge_v2,partition,moderate,16,16,1
commercial,communication_partition,kpi_cusum_trigger,tri_region_bridge_v2,partition,moderate,3,3,1
commercial,communication_partition,learned_no_entropy,tri_region_bridge_v2,partition,moderate,16,16,5
commercial,communication_partition,periodic_communication,tri_region_bridge_v2,partition,moderate,3,3,1
commercial,communication_partition,random_budget_matched,tri_region_bridge_v2,partition,moderate,3,3,1
commercial,communication_partition,thermoagent,tri_region_bridge_v2,partition,moderate,3,3,3
commercial,compound_ood,autonomous_no_comm,tri_region_bridge_v2,partition,compound,3,3,1
commercial,compound_ood,doet_rl,tri_region_bridge_v2,partition,compound,16,16,5
commercial,compound_ood,doet_rule,tri_region_bridge_v2,partition,compound,16,16,1
commercial,compound_ood,fixed_always_on,tri_region_bridge_v2,partition,compound,16,16,1
commercial,compound_ood,kpi_cusum_trigger,tri_region_bridge_v2,partition,compound,3,3,1
commercial,compound_ood,learned_no_entropy,tri_region_bridge_v2,partition,compound,16,16,5
commercial,compound_ood,periodic_communication,tri_region_bridge_v2,partition,compound,3,3,1
commercial,compound_ood,random_budget_matched,tri_region_bridge_v2,partition,compound,3,3,1
commercial,compound_ood,thermoagent,tri_region_bridge_v2,partition,compound,3,3,3
commercial,correlated,autonomous_no_comm,tri_region_bridge_v2,intermittent,correlated,3,3,1
commercial,correlated,doet_rl,tri_region_bridge_v2,intermittent,correlated,16,16,5
commercial,correlated,doet_rule,tri_region_bridge_v2,intermittent,correlated,16,16,1
commercial,correlated,fixed_always_on,tri_region_bridge_v2,intermittent,correlated,16,16,1
commercial,correlated,kpi_cusum_trigger,tri_region_bridge_v2,intermittent,correlated,3,3,1
commercial,correlated,learned_no_entropy,tri_region_bridge_v2,intermittent,correlated,16,16,5
commercial,correlated,periodic_communication,tri_region_bridge_v2,intermittent,correlated,3,3,1
commercial,correlated,random_budget_matched,tri_region_bridge_v2,intermittent,correlated,3,3,1
commercial,correlated,thermoagent,tri_region_bridge_v2,intermittent,correlated,3,3,3
commercial,isolated,autonomous_no_comm,tri_region_bridge_v2,reliable,moderate,3,3,1
commercial,isolated,doet_rl,tri_region_bridge_v2,reliable,moderate,16,16,5
commercial,isolated,doet_rule,tri_region_bridge_v2,reliable,moderate,16,16,1
commercial,isolated,fixed_always_on,tri_region_bridge_v2,reliable,moderate,16,16,1
commercial,isolated,kpi_cusum_trigger,tri_region_bridge_v2,reliable,moderate,3,3,1
commercial,isolated,learned_no_entropy,tri_region_bridge_v2,reliable,moderate,16,16,5
commercial,isolated,periodic_communication,tri_region_bridge_v2,reliable,moderate,3,3,1
commercial,isolated,random_budget_matched,tri_region_bridge_v2,reliable,moderate,3,3,1
