method,application,scenario,paired_episodes,mean_message_reduction,message_reduction_ci95_low,message_reduction_ci95_high,communication_superior,communication_target_20_percent,mean_total_communication_messages_reduction,total_communication_messages_reduction_ci95_low,total_communication_messages_reduction_ci95_high,mean_total_communication_bytes_reduction,total_communication_bytes_reduction_ci95_low,total_communication_bytes_reduction_ci95_high,mean_prompt_tokens_reduction,prompt_tokens_reduction_ci95_low,prompt_tokens_reduction_ci95_high,mean_generated_tokens_reduction,generated_tokens_reduction_ci95_low,generated_tokens_reduction_ci95_high,mean_llm_calls_reduction,llm_calls_reduction_ci95_low,llm_calls_reduction_ci95_high,mean_llm_latency_seconds_reduction,llm_latency_seconds_reduction_ci95_low,llm_latency_seconds_reduction_ci95_high,mean_wall_clock_seconds_reduction,wall_clock_seconds_reduction_ci95_low,wall_clock_seconds_reduction_ci95_high
doet_rule,commercial,all_non_nominal,64,0.723509178971528,0.7098302409542507,0.7366539805417399,True,True,0.723509178971528,0.7100653825657529,0.7369368442317178,0.6858360885417841,0.6710768786333848,0.7004015096807513,0.3781440460468164,0.3580146358647633,0.39886563058755536,0.4149411684443305,0.3946773123587951,0.43468757301256233,0.36769971079884106,0.34986331651436553,0.3860662360118136,0.38836933441036703,0.3628393029172108,0.41461442373010265,0.38822167223022824,0.36226982553839177,0.41358537163636216
doet_rule,commercial,communication_partition,16,0.674157631596656,0.6536736971265887,0.6926028550773028,True,True,0.674157631596656,0.6529036093287762,0.6926108735605716,0.6339062833016094,0.6094646165686269,0.655912223862516,0.35828719351213467,0.3172113759197621,0.39538122351644456,0.39931612739124145,0.35649305078953697,0.4387629932911201,0.34973290470755464,0.31466817688622845,0.3805976374149165,0.38194604353065553,0.33113599097432456,0.43403180482619186,0.38179619904836204,0.3304021468888222,0.43474476567520187
doet_rule,commercial,compound_ood,16,0.6847154749122353,0.6734422698852556,0.6961373963255448,True,True,0.6847154749122353,0.673666003963494,0.6960193761935172,0.6457006901590376,0.6325701866826707,0.6592250520352867,0.34959086654196847,0.31471277248059587,0.38530564634081044,0.4094761668370829,0.3753544634665853,0.4447830743311295,0.34527050126128167,0.3177972281119504,0.3742985462324614,0.39189977271221377,0.3457327765360416,0.4417816996605082,0.39170833776147557,0.34556386309255926,0.44227766477162234
doet_rule,commercial,correlated,16,0.775436862554879,0.7605022703093135,0.7901396847934294,True,True,0.775436862554879,0.7604433309765904,0.7898134886124341,0.7416130792920339,0.7236983609357382,0.7586033878792494,0.40725852642486643,0.36909956120710985,0.4471242597643903,0.4393874687613537,0.4043422207924436,0.4739185125475063,0.38893675225959734,0.3537072826258824,0.42349114061413684,0.43223254166038616,0.3957065257406177,0.4691079376279651,0.4320440896765314,0.3944614919584371,0.4685107629004275
doet_rule,commercial,isolated,16,0.7597267468223421,0.7432993023051554,0.7752947730788541,True,True,0.7597267468223421,0.7429744287035784,0.7751117914752516,0.7221243014144554,0.7041435113678696,0.7385046143817041,0.39743959770829607,0.35697991944265633,0.4408549567468266,0.4115849107876437,0.3641441769795275,0.45858780863326915,0.38685868496693043,0.3470012997930455,0.42643895175257823,0.34739897973821254,0.2884486789120609,0.4074354106468568,0.3473380624345439,0.2890719246905281,0.4071689521143998
doet_rule,humanitarian,all_non_nominal,64,0.7422131550441088,0.7304602205499913,0.7543115955750366,True,True,0.7422131550441088,0.7303320130164433,0.7541656758507438,0.7057476965779501,0.6924872514746746,0.7188124562806829,0.41925817915311336,0.3951010209250955,0.4433952854829851,0.4248462052642821,0.40223053726950847,0.4480402916109366,0.3845819092190731,0.3622827897487903,0.40664730664019416,0.39874359988354835,0.3722696760496481,0.424979882602753,0.39860571617467666,0.3726443964260031,0.42571662165800794
doet_rule,humanitarian,communication_partition,16,0.7216943828057654,0.7016025338185254,0.7399853449478999,True,True,0.7216943828057654,0.7017362457749693,0.7397706673384055,0.6846372400401248,0.6607335770002529,0.7054623953886636,0.4200711681557448,0.38301219482009596,0.4566729197739505,0.43385310095257107,0.39780956725417527,0.4678782138856075,0.3864003536155174,0.3493775662686343,0.42267178331303196,0.41162930527226205,0.3747903866047989,0.45044759977745863,0.4114698020957963,0.3749026616302273,0.451495558833316
doet_rule,humanitarian,compound_ood,16,0.6996635625657511,0.6870374792199685,0.7122612893787789,True,True,0.6996635625657511,0.6871623968979204,0.712232267858712,0.660885304046146,0.6451008612609844,0.6758535740868609,0.3667398715820554,0.33259758130330264,0.40205788135449205,0.37765473966264307,0.3450354983285605,0.40982140063784384,0.3348278472174538,0.3043282715604459,0.365698810736773,0.364813292642437,0.3237668767405718,0.40775536762515224,0.3647132151966967,0.32292287157009664,0.40659737528058953
doet_rule,humanitarian,correlated,16,0.7684730884148572,0.7533359965450818,0.7833200348767752,True,True,0.7684730884148572,0.7533184033391432,0.7834534320399372,0.7333316675712918,0.714968441846169,0.7508536464868831,0.39226986765873023,0.34818836685667554,0.44008121711828746,0.40257835880382786,0.36237926965928985,0.4459031805980158,0.366786835595613,0.3298454384612867,0.40528918403990083,0.3813731037964026,0.3385885451531497,0.42668895732879203,0.38123518910290716,0.3390669170058909,0.4265460105455672
doet_rule,humanitarian,isolated,16,0.7790215863900616,0.758007168110512,0.7994095603540451,True,True,0.7790215863900616,0.7578025192307517,0.7994561913937231,0.7441365746542381,0.7197585305933002,0.7685523192848714,0.4979518092159232,0.44539249890450233,0.5426453332216986,0.48529862163808635,0.4271333894849839,0.5345234554379791,0.45031260044770827,0.3963571051829045,0.4950237345255496,0.4371586978230916,0.3648360518260403,0.5094133788989961,0.43700465830330654,0.3661688273753951,0.5106862430649375
