method,application,scenario,paired_episodes,mean_relative_degradation,relative_degradation_ci95_low,relative_degradation_ci95_high,noninferiority_upper_one_sided_95,noninferiority_margin,noninferior
doet_rule,commercial,all_non_nominal,64,0.009964686185044683,0.004019476424317578,0.016963777517377588,0.015647136797688147,0.02,True
doet_rule,commercial,communication_partition,16,0.013512217226800113,0.0,0.028674249131280416,0.02625865027998068,0.02,False
doet_rule,commercial,compound_ood,16,0.0023770101003287867,0.0,0.006972635607257341,0.006814240913528322,0.02,True
doet_rule,commercial,correlated,16,0.00011548073130155502,0.0,0.0003464421939046651,0.0003464421939046651,0.02,True
doet_rule,commercial,isolated,16,0.02385403668174828,0.006812248993362732,0.04439939422148051,0.04097834146067246,0.02,False
doet_rule,humanitarian,all_non_nominal,64,0.0038201093708774767,0.0018540765554716028,0.006286107904748965,0.005837829644044803,0.02,True
doet_rule,humanitarian,communication_partition,16,0.002751391860634383,0.000583613089065765,0.005700403459410887,0.00511686554209602,0.02,True
doet_rule,humanitarian,compound_ood,16,0.0004038548054868834,0.0,0.0010711368874088655,0.000930709358357081,0.02,True
doet_rule,humanitarian,correlated,16,0.00408805598585117,0.0,0.008868582703153183,0.008042456081046735,0.02,True
doet_rule,humanitarian,isolated,16,0.008037134831537469,0.0022951370558046804,0.015520746527400825,0.014150669640523758,0.02,True
doet_rl,commercial,all_non_nominal,64,-0.009606383982095366,-0.017905751737171283,-0.00047895122089570833,-0.0020261730051136856,0.02,True
doet_rl,commercial,communication_partition,16,-0.0331709090482993,-0.05430782035122294,-0.008174180361260169,-0.012516569873119094,0.02,True
doet_rl,commercial,compound_ood,16,-0.002724063966239865,-0.007907700807078472,0.005266009909564157,0.0035608463121949777,0.02,True
doet_rl,commercial,correlated,16,-0.00242628382701536,-0.006796681470959372,0.0002173754942146918,0.0001086877471073459,0.02,True
doet_rl,commercial,isolated,16,-0.00010427908682694026,-0.020882398959995604,0.023979077286188213,0.02017171964932218,0.02,False
doet_rl,humanitarian,all_non_nominal,64,-0.013821722367613636,-0.020366324337779743,-0.00787056735387627,-0.008646257557110324,0.02,True
doet_rl,humanitarian,communication_partition,16,-0.018013657826161614,-0.030579490704716713,-0.0051357048399329995,-0.007177670319295369,0.02,True
doet_rl,humanitarian,compound_ood,16,-0.004632950444730404,-0.009194332660307572,-0.0004407371568099983,-0.0009999634241087034,0.02,True
doet_rl,humanitarian,correlated,16,-0.0036586652983418245,-0.009265626100020472,0.002449870258195415,0.001451436673768503,0.02,True
doet_rl,humanitarian,isolated,16,-0.0289816159012207,-0.04420488258007148,-0.01581101091416316,-0.01771446334875637,0.02,True
