application,method,mean_primary_outcome,mean_total_communication_messages,mean_prompt_tokens,mean_generated_tokens,mean_llm_calls,mean_llm_latency_seconds,mean_wall_clock_seconds,pareto_nondominated_loss_messages,pareto_nondominated_loss_prompt_tokens,pareto_nondominated_loss_calls,pareto_nondominated_loss_latency_seconds,dominated_by
commercial,autonomous_no_comm,12.99344115039711,0.0,81599.0,2723.3333333333335,62.833333333333336,36.51543471341332,36.60573952986548,True,True,True,True,
commercial,doet_rl,13.289677124629902,29.583333333333332,63725.333333333336,2043.5,38.5,31.270860528883833,31.35534553322941,False,True,True,True,autonomous_no_comm
commercial,doet_rule,13.5818330118735,58.25,109444.91666666667,3858.25,61.416666666666664,56.4127962620308,56.52673733948419,False,False,False,False,autonomous_no_comm;doet_rl
commercial,fixed_always_on,13.291656108942462,222.66666666666666,189756.08333333334,7065.916666666667,104.08333333333333,98.63322737906128,98.80298443945746,False,False,False,False,autonomous_no_comm;doet_rl
commercial,kpi_cusum_trigger,13.398647802702603,75.91666666666667,229480.41666666666,8380.75,118.66666666666667,121.59461124055086,121.7785337716341,False,False,False,False,autonomous_no_comm;doet_rl
commercial,learned_no_entropy,13.516114161661468,73.91666666666667,192436.33333333334,7592.833333333333,109.5,100.31738366776455,100.50050295113276,False,False,False,False,autonomous_no_comm;doet_rl
commercial,periodic_communication,13.5818330118735,109.83333333333333,163707.5,6579.416666666667,97.58333333333333,90.8300125794485,90.98095473119368,False,False,False,False,autonomous_no_comm;doet_rl;doet_rule;kpi_cusum_trigger;learned_no_entropy
commercial,random_budget_matched,13.578346088724162,109.91666666666667,164451.58333333334,6477.0,98.08333333333333,93.316274017406,93.46824433406194,False,False,False,False,autonomous_no_comm;doet_rl;kpi_cusum_trigger;learned_no_entropy
commercial,thermoagent,13.5818330118735,646.3333333333334,174539.33333333334,7077.416666666667,103.25,98.3574609225616,98.54374144909282,False,False,False,False,autonomous_no_comm;doet_rl;doet_rule;fixed_always_on;kpi_cusum_trigger;learned_no_entropy;periodic_communication;random_budget_matched
humanitarian,autonomous_no_comm,4061.289329250673,0.0,100196.08333333333,3597.5833333333335,73.25,51.47710644546894,51.588708609963454,True,True,True,True,
humanitarian,doet_rl,4199.108711131138,31.916666666666668,62416.916666666664,2084.1666666666665,37.25,34.88449583544086,34.97641369638344,False,True,True,True,autonomous_no_comm
humanitarian,doet_rule,4293.7558853003875,55.583333333333336,109464.25,3992.75,62.166666666666664,60.203014217937984,60.325198470925294,False,False,False,False,autonomous_no_comm;doet_rl
humanitarian,fixed_always_on,4267.016430300388,224.91666666666666,194826.08333333334,7309.166666666667,103.41666666666667,101.20424522211152,101.37950395823766,False,False,False,False,autonomous_no_comm;doet_rl;kpi_cusum_trigger
humanitarian,kpi_cusum_trigger,4257.837420300387,60.5,219671.08333333334,7965.916666666667,111.5,120.77669609710574,120.96256426877032,False,False,False,False,autonomous_no_comm;doet_rl
humanitarian,learned_no_entropy,4288.009095300387,71.91666666666667,185608.58333333334,7274.583333333333,105.83333333333333,99.30349310114981,99.48437255900353,False,False,False,False,autonomous_no_comm;doet_rl;kpi_cusum_trigger
humanitarian,periodic_communication,4292.006885300388,108.91666666666667,155312.16666666666,6165.25,91.75,89.00477271216612,89.15623722225428,False,False,False,False,autonomous_no_comm;doet_rl;kpi_cusum_trigger;learned_no_entropy
humanitarian,random_budget_matched,4293.7558853003875,108.91666666666667,160555.66666666666,6524.5,94.5,94.3028313567241,94.45814774216463,False,False,False,False,autonomous_no_comm;doet_rl;doet_rule;kpi_cusum_trigger;learned_no_entropy;periodic_communication
humanitarian,thermoagent,4277.017385300387,661.8333333333334,176179.58333333334,6888.0,99.75,99.32461537141353,99.50951519608498,False,False,False,False,autonomous_no_comm;doet_rl;fixed_always_on;kpi_cusum_trigger
