application,scenario_name,method,method_variant,episodes,complete,primary_outcome_mean,total_messages_mean,total_bytes_mean,prompt_tokens_mean,generated_tokens_mean,llm_calls_mean,latency_seconds_mean,episodes_with_activation,total_trigger_activations,quiet_mode_fraction_mean,targeted_mode_fraction_mean,crisis_mode_fraction_mean
commercial,compound_partition,disruption_label_oracle,base,3,3,21.907147995421756,97.66666666666667,26809.0,252017.66666666666,9081.0,131.33333333333334,143.90681970616183,3,30,0.5166666666666667,0.20000000000000004,0.2833333333333333
commercial,compound_partition,doet_rule,partition_signal_noise,3,3,21.907147995421756,82.66666666666667,24605.333333333332,167242.0,5885.333333333333,94.66666666666667,89.66047449161607,0,0,1.0,0.0,0.0
commercial,compound_partition,doet_rule,selected,3,3,21.907147995421756,73.0,22113.0,137832.66666666666,4831.333333333333,80.0,70.3587243296206,0,0,1.0,0.0,0.0
commercial,compound_partition,doet_rule,without_distributed_gossip,3,3,21.907147995421756,57.666666666666664,15748.0,150592.66666666666,5284.666666666667,86.66666666666667,80.30272086833916,0,0,1.0,0.0,0.0
commercial,compound_partition,doet_rule,without_hysteresis,3,3,21.907147995421756,73.0,22113.0,137832.66666666666,4831.333333333333,80.0,70.26345538968843,0,0,1.0,0.0,0.0
commercial,compound_partition,doet_rule,without_local_surprisal,3,3,21.907147995421756,73.0,22113.0,137832.66666666666,4831.333333333333,80.0,70.36360565821332,0,0,1.0,0.0,0.0
commercial,compound_partition,global_entropy_trigger_oracle,base,3,3,21.907147995421756,48.666666666666664,13337.0,132145.66666666666,4599.333333333333,77.0,64.77210927382116,0,0,1.0,0.0,0.0
commercial,compound_partition,kpi_cusum_trigger,private_local_kpi,3,3,21.887200280913987,107.0,31144.666666666668,331659.3333333333,11110.0,169.66666666666666,156.7239262486498,3,24,0.20000000000000004,0.0,0.8000000000000002
commercial,correlated,disruption_label_oracle,base,3,3,21.84817569628216,97.0,27339.0,220121.33333333334,7914.0,120.0,120.96067202712099,3,30,0.5166666666666667,0.20277777777777775,0.28055555555555556
commercial,correlated,doet_rule,partition_signal_noise,3,3,21.84817569628216,70.0,21875.666666666668,128147.33333333333,4617.0,76.66666666666667,70.63903695841631,0,0,1.0,0.0,0.0
commercial,correlated,doet_rule,selected,3,3,21.84817569628216,67.33333333333333,21306.333333333332,117449.33333333333,4309.666666666667,71.33333333333333,64.46700481573738,0,0,1.0,0.0,0.0
commercial,correlated,doet_rule,without_distributed_gossip,3,3,21.84817569628216,50.333333333333336,14711.666666666666,121482.66666666667,4543.0,73.66666666666667,66.67777142673734,0,0,1.0,0.0,0.0
commercial,correlated,doet_rule,without_hysteresis,3,3,21.84817569628216,67.33333333333333,21306.333333333332,117449.33333333333,4309.666666666667,71.33333333333333,64.15188026304047,0,0,1.0,0.0,0.0
commercial,correlated,doet_rule,without_local_surprisal,3,3,21.84817569628216,67.33333333333333,21306.333333333332,117449.33333333333,4309.666666666667,71.33333333333333,64.24935887008905,0,0,1.0,0.0,0.0
commercial,correlated,global_entropy_trigger_oracle,base,3,3,21.84817569628216,53.0,15446.666666666666,122885.66666666667,4518.0,74.0,67.83931152895092,0,0,1.0,0.0,0.0
commercial,correlated,kpi_cusum_trigger,private_local_kpi,3,3,21.84817569628216,129.33333333333334,38632.333333333336,338788.6666666667,11852.666666666666,179.33333333333334,167.01725980763646,3,24,0.20000000000000004,0.0,0.8000000000000002
humanitarian,compound_partition,disruption_label_oracle,base,3,3,12739.194600194445,90.66666666666667,24075.0,219100.0,7802.0,113.33333333333333,134.31109453737733,3,30,0.5166666666666667,0.15,0.3333333333333333
