application,method,scenario,episodes,episodes_with_activation,total_trigger_activations,maximum_trigger_residual,minimum_standardized_entropy_residual,maximum_standardized_entropy_residual,mean_quiet_mode_fraction,mean_targeted_mode_fraction,mean_crisis_mode_fraction,severe_collapse_rate,activation_before_collapse_rate,pre_disruption_false_activation_rate,nominal_false_activation_rate,mean_consensus_rmse,entropy_alert_messages
commercial,doet_rl,communication_partition,16,0,0,0.3460309048599754,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.07634666708109938,0
commercial,doet_rl,compound_ood,16,0,0,0.0,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08766257742394729,0
commercial,doet_rl,correlated,16,0,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08924971552095459,0
commercial,doet_rl,isolated,16,0,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0794173945925517,0
commercial,doet_rl,nominal,8,0,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07456027698238656,0
commercial,doet_rule,communication_partition,16,0,0,0.3460309048599754,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07634666708109938,0
commercial,doet_rule,compound_ood,16,0,0,0.0,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08766257742394729,0
commercial,doet_rule,correlated,16,0,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08924971552095459,0
commercial,doet_rule,isolated,16,0,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0794173945925517,0
commercial,doet_rule,nominal,8,0,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07456027698238656,0
humanitarian,doet_rl,communication_partition,16,0,0,0.6179901540050325,-1.28412383944249,3.072389163659129,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.08266478691473789,0
humanitarian,doet_rl,compound_ood,16,0,0,0.0,-1.28412383944249,3.072389163659129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08890348305196517,0
humanitarian,doet_rl,correlated,16,0,0,0.0,-1.2966566093742706,3.072389163659129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08859459877857546,0
humanitarian,doet_rl,isolated,16,0,0,0.6179901540050325,-1.102705712063186,3.072389163659129,1.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0773251043998951,0
humanitarian,doet_rl,nominal,8,0,0,0.6179901540050325,-1.102705712063186,3.072389163659129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07443830127823067,0
humanitarian,doet_rule,communication_partition,16,0,0,0.6179901540050325,-1.28412383944249,3.072389163659129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08278426067749207,0
humanitarian,doet_rule,compound_ood,16,0,0,0.0,-1.28412383944249,3.072389163659129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08890348305196517,0
humanitarian,doet_rule,correlated,16,0,0,0.0,-1.2966566093742706,3.072389163659129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08859459877857546,0
humanitarian,doet_rule,isolated,16,0,0,0.6179901540050325,-1.102705712063186,3.072389163659129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07745909133158158,0
humanitarian,doet_rule,nominal,8,0,0,0.6179901540050325,-1.102705712063186,3.072389163659129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07443830127823067,0
