method,benchmark,application,scenario,paired_episodes,rl_training_seeds,mean_loss_difference,loss_difference_ci95_low,loss_difference_ci95_high,mean_relative_degradation,relative_degradation_ci95_low,relative_degradation_ci95_high,noninferiority_upper_one_sided_95,noninferiority_margin,noninferior,paired_win_rate,probability_of_superiority,standardized_paired_effect,mean_message_reduction,message_reduction_ci95_low,message_reduction_ci95_high,communication_superior,communication_target_20_percent,failed_pairs,mean_total_communication_messages_reduction,total_communication_messages_reduction_ci95_low,total_communication_messages_reduction_ci95_high,mean_total_communication_bytes_reduction,total_communication_bytes_reduction_ci95_low,total_communication_bytes_reduction_ci95_high,mean_prompt_tokens_reduction,prompt_tokens_reduction_ci95_low,prompt_tokens_reduction_ci95_high,mean_generated_tokens_reduction,generated_tokens_reduction_ci95_low,generated_tokens_reduction_ci95_high,mean_llm_calls_reduction,llm_calls_reduction_ci95_low,llm_calls_reduction_ci95_high,mean_llm_latency_seconds_reduction,llm_latency_seconds_reduction_ci95_low,llm_latency_seconds_reduction_ci95_high,mean_wall_clock_seconds_reduction,wall_clock_seconds_reduction_ci95_low,wall_clock_seconds_reduction_ci95_high
doet_rule,fixed_always_on,commercial,all_non_nominal,64,1,0.12459439603706263,0.05180794627518353,0.21183883336386203,0.009964686185044683,0.004019476424317578,0.016963777517377588,0.015647136797688147,0.02,True,0.0,0.40625,0.38031619155307084,0.723509178971528,0.7098302409542507,0.7366539805417399,True,True,0,0.723509178971528,0.7100653825657529,0.7369368442317178,0.6858360885417841,0.6710768786333848,0.7004015096807513,0.3781440460468164,0.3580146358647633,0.39886563058755536,0.4149411684443305,0.3946773123587951,0.43468757301256233,0.36769971079884106,0.34986331651436553,0.3860662360118136,0.38836933441036703,0.3628393029172108,0.41461442373010265,0.38822167223022824,0.36226982553839177,0.41358537163636216
doet_rule,fixed_always_on,commercial,communication_partition,16,1,0.1680754466864417,0.0,0.3645871509254244,0.013512217226800113,0.0,0.028674249131280416,0.02625865027998068,0.02,False,0.0,0.40625,0.4487104725500747,0.674157631596656,0.6536736971265887,0.6926028550773028,True,True,0,0.674157631596656,0.6529036093287762,0.6926108735605716,0.6339062833016094,0.6094646165686269,0.655912223862516,0.35828719351213467,0.3172113759197621,0.39538122351644456,0.39931612739124145,0.35649305078953697,0.4387629932911201,0.34973290470755464,0.31466817688622845,0.3805976374149165,0.38194604353065553,0.33113599097432456,0.43403180482619186,0.38179619904836204,0.3304021468888222,0.43474476567520187
doet_rule,fixed_always_on,commercial,compound_ood,16,1,0.03141426934101332,0.0,0.09024882042401328,0.0023770101003287867,0.0,0.006972635607257341,0.006814240913528322,0.02,True,0.0,0.4375,0.26756632232902994,0.6847154749122353,0.6734422698852556,0.6961373963255448,True,True,0,0.6847154749122353,0.673666003963494,0.6960193761935172,0.6457006901590376,0.6325701866826707,0.6592250520352867,0.34959086654196847,0.31471277248059587,0.38530564634081044,0.4094761668370829,0.3753544634665853,0.4447830743311295,0.34527050126128167,0.3177972281119504,0.3742985462324614,0.39189977271221377,0.3457327765360416,0.4417816996605082,0.39170833776147557,0.34556386309255926,0.44227766477162234
doet_rule,fixed_always_on,commercial,correlated,16,1,0.0015699546203050696,0.0,0.004709863860915209,0.00011548073130155502,0.0,0.0003464421939046651,0.0003464421939046651,0.02,True,0.0,0.46875,0.25,0.775436862554879,0.7605022703093135,0.7901396847934294,True,True,0,0.775436862554879,0.7604433309765904,0.7898134886124341,0.7416130792920339,0.7236983609357382,0.7586033878792494,0.40725852642486643,0.36909956120710985,0.4471242597643903,0.4393874687613537,0.4043422207924436,0.4739185125475063,0.38893675225959734,0.3537072826258824,0.42349114061413684,0.43223254166038616,0.3957065257406177,0.4691079376279651,0.4320440896765314,0.3944614919584371,0.4685107629004275
doet_rule,fixed_always_on,commercial,isolated,16,1,0.2973179135004904,0.08670111469629793,0.539692185824801,0.02385403668174828,0.006812248993362732,0.04439939422148051,0.04097834146067246,0.02,False,0.0,0.3125,0.6102151790509178,0.7597267468223421,0.7432993023051554,0.7752947730788541,True,True,0,0.7597267468223421,0.7429744287035784,0.7751117914752516,0.7221243014144554,0.7041435113678696,0.7385046143817041,0.39743959770829607,0.35697991944265633,0.4408549567468266,0.4115849107876437,0.3641441769795275,0.45858780863326915,0.38685868496693043,0.3470012997930455,0.42643895175257823,0.34739897973821254,0.2884486789120609,0.4074354106468568,0.3473380624345439,0.2890719246905281,0.4071689521143998
doet_rule,fixed_always_on,humanitarian,all_non_nominal,64,1,15.012215156249994,7.34899026562499,24.557308324218724,0.0038201093708774767,0.0018540765554716028,0.006286107904748965,0.005837829644044803,0.02,True,0.0,0.3671875,0.42262393664392406,0.7422131550441088,0.7304602205499913,0.7543115955750366,True,True,0,0.7422131550441088,0.7303320130164433,0.7541656758507438,0.7057476965779501,0.6924872514746746,0.7188124562806829,0.41925817915311336,0.3951010209250955,0.4433952854829851,0.4248462052642821,0.40223053726950847,0.4480402916109366,0.3845819092190731,0.3622827897487903,0.40664730664019416,0.39874359988354835,0.3722696760496481,0.424979882602753,0.39860571617467666,0.3726443964260031,0.42571662165800794
doet_rule,fixed_always_on,humanitarian,communication_partition,16,1,10.07917500000002,2.171580000000006,20.54041143750002,0.002751391860634383,0.000583613089065765,0.005700403459410887,0.00511686554209602,0.02,True,0.0,0.34375,0.5121219341025955,0.7216943828057654,0.7016025338185254,0.7399853449478999,True,True,0,0.7216943828057654,0.7017362457749693,0.7397706673384055,0.6846372400401248,0.6607335770002529,0.7054623953886636,0.4200711681557448,0.38301219482009596,0.4566729197739505,0.43385310095257107,0.39780956725417527,0.4678782138856075,0.3864003536155174,0.3493775662686343,0.42267178331303196,0.41162930527226205,0.3747903866047989,0.45044759977745863,0.4114698020957963,0.3749026616302273,0.451495558833316
doet_rule,fixed_always_on,humanitarian,compound_ood,16,1,2.381879999999967,0.0,6.395639999999901,0.0004038548054868834,0.0,0.0010711368874088655,0.000930709358357081,0.02,True,0.0,0.4375,0.3402772196131731,0.6996635625657511,0.6870374792199685,0.7122612893787789,True,True,0,0.6996635625657511,0.6871623968979204,0.712232267858712,0.660885304046146,0.6451008612609844,0.6758535740868609,0.3667398715820554,0.33259758130330264,0.40205788135449205,0.37765473966264307,0.3450354983285605,0.40982140063784384,0.3348278472174538,0.3043282715604459,0.365698810736773,0.364813292642437,0.3237668767405718,0.40775536762515224,0.3647132151966967,0.32292287157009664,0.40659737528058953
doet_rule,fixed_always_on,humanitarian,correlated,16,1,19.55787187499999,0.0,41.808337734374824,0.00408805598585117,0.0,0.008868582703153183,0.008042456081046735,0.02,True,0.0,0.40625,0.45275974649190043,0.7684730884148572,0.7533359965450818,0.7833200348767752,True,True,0,0.7684730884148572,0.7533184033391432,0.7834534320399372,0.7333316675712918,0.714968441846169,0.7508536464868831,0.39226986765873023,0.34818836685667554,0.44008121711828746,0.40257835880382786,0.36237926965928985,0.4459031805980158,0.366786835595613,0.3298454384612867,0.40528918403990083,0.3813731037964026,0.3385885451531497,0.42668895732879203,0.38123518910290716,0.3390669170058909,0.4265460105455672
doet_rule,fixed_always_on,humanitarian,isolated,16,1,28.029933749999998,8.184872812499984,55.918996312500006,0.008037134831537469,0.0022951370558046804,0.015520746527400825,0.014150669640523758,0.02,True,0.0,0.28125,0.5499023857893652,0.7790215863900616,0.758007168110512,0.7994095603540451,True,True,0,0.7790215863900616,0.7578025192307517,0.7994561913937231,0.7441365746542381,0.7197585305933002,0.7685523192848714,0.4979518092159232,0.44539249890450233,0.5426453332216986,0.48529862163808635,0.4271333894849839,0.5345234554379791,0.45031260044770827,0.3963571051829045,0.4950237345255496,0.4371586978230916,0.3648360518260403,0.5094133788989961,0.43700465830330654,0.3661688273753951,0.5106862430649375
doet_rl,fixed_always_on,commercial,all_non_nominal,64,5,-0.13215810501877345,-0.24265366039251735,-0.016600399536633934,-0.009606383982095366,-0.017905751737171283,-0.00047895122089570833,-0.0020261730051136856,0.02,True,0.515625,0.6875,-0.34792140596296167,0.8649467800530204,0.8560703620582992,0.8734565321834289,True,True,0,0.8649467800530204,0.8560273273516292,0.8734808772053975,0.8310489381324911,0.8202535326034797,0.8412582634767022,0.6543826882604633,0.6292391280134132,0.6808329050603094,0.6954217886337843,0.6696080508770039,0.7210696428594049,0.6198052494494322,0.5964405942135861,0.6436526442855584,0.6609801391746157,0.6377571299498127,0.6861962972319527,0.6606868547338617,0.6368135003123127,0.6856309064449003
doet_rl,fixed_always_on,commercial,communication_partition,16,5,-0.4440112426175892,-0.7215469774516449,-0.1174152674411521,-0.0331709090482993,-0.05430782035122294,-0.008174180361260169,-0.012516569873119094,0.02,True,0.75,0.8125,-0.9365139413234467,0.8684393264607491,0.8567017340134355,0.8806970319335935,True,True,0,0.8684393264607491,0.8570752903105001,0.8806778608791085,0.8347330564872977,0.8214236771008866,0.8491009139291695,0.7230207207074055,0.7008636968332097,0.7437975226516549,0.7684790836246622,0.7492803236418815,0.7880577655833144,0.6888971723367003,0.6669823949582835,0.7096005710560664,0.7417451863612898,0.7150525011586817,0.7694191038458235,0.7414145263822197,0.7147716926857783,0.7682971384307856
doet_rl,fixed_always_on,commercial,compound_ood,16,5,-0.037422026061814884,-0.1068690076919471,0.06843548019801804,-0.002724063966239865,-0.007907700807078472,0.005266009909564157,0.0035608463121949777,0.02,True,0.4375,0.6875,-0.23969108008672407,0.8580009259150239,0.8461717575230572,0.8699988135028827,True,True,0,0.8580009259150239,0.845961844216872,0.870212035903359,0.8209140261048204,0.8079161725160211,0.8344835689915648,0.654642453109437,0.6291899318801757,0.6867659760379323,0.6922008240267485,0.6657810879306574,0.7228102756543826,0.615539914321991,0.5889257672588274,0.6485628148429308,0.649480335189661,0.6231765793060412,0.6831877120117931,0.6491851802051114,0.6227054081059225,0.684764215182585
doet_rl,fixed_always_on,commercial,correlated,16,5,-0.032112033078008806,-0.09083396798747927,0.0029552086970448367,-0.00242628382701536,-0.006796681470959372,0.0002173754942146918,0.0001086877471073459,0.02,True,0.1875,0.5625,-0.3854714330485662,0.8745629342201607,0.8484566574363802,0.8937156014869104,True,True,0,0.8745629342201607,0.8490096486322188,0.893855890261239,0.8463445051063607,0.8150953423299935,0.869671876726103,0.6262969982843489,0.5692852140717967,0.6702748735023483,0.6729194137113725,0.615431718958876,0.7153123801607975,0.592119195580207,0.5338188422965296,0.6375294667747649,0.6434645196563925,0.6008652503432674,0.679860486306371,0.6431553043867619,0.5992659160390201,0.6791937944780193
doet_rl,fixed_always_on,commercial,isolated,16,5,-0.015087118317680948,-0.28038618201767374,0.27736779542862444,-0.00010427908682694026,-0.020882398959995604,0.023979077286188213,0.02017171964932218,0.02,False,0.6875,0.6875,-0.032821228281018154,0.858783933616148,0.8479194491653933,0.8710449344712765,True,True,0,0.858783933616148,0.8478592352607509,0.8710077790167214,0.8222041648314862,0.8083459035348846,0.8369194021181788,0.6135705809406622,0.5702295172315474,0.6630402509439477,0.6480878331723541,0.6065345808452922,0.6981032174048141,0.5826647155588306,0.5425144861567396,0.6288872137057635,0.6092305154911195,0.5733371020058174,0.6576358841586064,0.6089924079613538,0.5725607608302217,0.6586867940872135
doet_rl,fixed_always_on,humanitarian,all_non_nominal,64,5,-52.199715037094606,-75.21725408048164,-29.741022222741364,-0.013821722367613636,-0.020366324337779743,-0.00787056735387627,-0.008646257557110324,0.02,True,0.6875,0.7890625,-0.7242898507875123,0.848501695422332,0.84308392589589,0.8536050289952039,True,True,0,0.848501695422332,0.8429176464188297,0.8536015846548013,0.8088029739792921,0.8009500848027384,0.8159227509057178,0.6407675072900223,0.6166780991145344,0.6647218523243078,0.6769161706451656,0.6489673989174147,0.7049601448035754,0.6046011044873565,0.5795727769053852,0.6313046410164213,0.6309613928781619,0.600869893338526,0.6604295076692411,0.6306440114068154,0.6003873162925142,0.6598867253120794
doet_rl,fixed_always_on,humanitarian,communication_partition,16,5,-62.37601249401479,-105.06612323922731,-16.467288599999804,-0.018013657826161614,-0.030579490704716713,-0.0051357048399329995,-0.007177670319295369,0.02,True,0.6875,0.78125,-0.9230525853823498,0.8461921356241042,0.8336567734189837,0.8558242192874854,True,True,0,0.8461921356241042,0.8337749627644656,0.8558770615433966,0.8031847463676138,0.7864842977582068,0.8159252581090124,0.6485875902192145,0.6125666654597006,0.6753630327493679,0.6885697181999667,0.6532841054470513,0.7171860943240506,0.6126768755035479,0.5766910660589067,0.6422819142950252,0.6424400612183545,0.6050157451879963,0.6745300946131372,0.6421291001345064,0.6039568702574103,0.674535143016928
doet_rl,fixed_always_on,humanitarian,compound_ood,16,5,-26.863470000000063,-52.30079803431385,-2.8,-0.004632950444730404,-0.009194332660307572,-0.0004407371568099983,-0.0009999634241087034,0.02,True,0.625,0.78125,-0.7334835717281063,0.8306211709411384,0.8202136226791695,0.8396732243766111,True,True,0,0.8306211709411384,0.8201890036762027,0.8399784572562442,0.7868037009128269,0.7733917333384975,0.8005982882611552,0.6425809530431048,0.6064106320274121,0.6810264594225133,0.671656783032144,0.6224169208734939,0.7194126450706021,0.6022897584555866,0.5612287808203027,0.6447233390050245,0.6267624017825197,0.5771181425790242,0.6767661518670183,0.6264483138081698,0.5750104697255134,0.6785191097363505
doet_rl,fixed_always_on,humanitarian,correlated,16,5,-18.33703312500006,-44.61864425,11.540117999999833,-0.0036586652983418245,-0.009265626100020472,0.002449870258195415,0.001451436673768503,0.02,True,0.5,0.65625,-0.4002156802245801,0.8614705463829069,0.8528297481757733,0.8702283683240137,True,True,0,0.8614705463829069,0.8530035910926309,0.8706858433183826,0.8273079229745621,0.814463745163697,0.8404072140387646,0.5849506286082992,0.5535764956157909,0.6179701650865136,0.627537885149736,0.5927739947275412,0.6619844630456039,0.5551319986750619,0.5226729098164316,0.5884597090043172,0.5794332922734615,0.5436659602912488,0.617168216130252,0.5791177655729172,0.5436452932612312,0.6177655701679968
doet_rl,fixed_always_on,humanitarian,isolated,16,5,-101.22234452936351,-149.91970055296073,-57.39783710813148,-0.0289816159012207,-0.04420488258007148,-0.01581101091416316,-0.01771446334875637,0.02,True,0.9375,0.9375,-1.0538039948960112,0.8557229287411783,0.848452311677042,0.8622629703748221,True,True,0,0.8557229287411783,0.8481610055330371,0.8620360437921205,0.8179155256621653,0.8077403096707272,0.8270094069292936,0.6869508572894705,0.6516121226502344,0.7161528991782873,0.7199002961988156,0.6846503824410763,0.7492208446839526,0.6483057853152295,0.6131347084235035,0.6777958781840868,0.6752098162383118,0.6486111320490412,0.7039124316034845,0.6748808661116681,0.6477993703124678,0.7043605611365814
