application,method,rl_training_seed,episodes,mean_primary_outcome,mean_total_messages,mean_llm_calls
commercial,doet_rl,7301,15,13.174928774676955,31.2,39.666666666666664
commercial,doet_rl,7302,15,13.357247059965482,30.933333333333334,40.4
commercial,doet_rl,7303,14,13.434731793627055,33.07142857142857,41.07142857142857
commercial,doet_rl,7304,14,13.403563107067233,31.357142857142858,40.785714285714285
commercial,doet_rl,7305,14,13.270295244892049,26.928571428571427,36.0
commercial,learned_no_entropy,7301,15,13.394552485036128,69.46666666666667,107.26666666666667
commercial,learned_no_entropy,7302,15,13.595485125982878,74.26666666666667,110.8
commercial,learned_no_entropy,7303,14,13.546569690478663,70.07142857142857,111.71428571428571
commercial,learned_no_entropy,7304,14,13.61293018198745,72.07142857142857,112.14285714285714
commercial,learned_no_entropy,7305,14,13.435734277948773,76.71428571428571,109.28571428571429
commercial,thermoagent,7301,3,13.594135453954747,647.6666666666666,104.0
commercial,thermoagent,7302,3,13.592415996838506,691.6666666666666,104.66666666666667
commercial,thermoagent,7303,2,13.156890213581356,761.5,98.0
commercial,thermoagent,7304,2,14.048020441933389,576.0,110.5
commercial,thermoagent,7305,2,13.506260239536363,531.5,98.0
humanitarian,doet_rl,7301,14,4181.009941833843,32.857142857142854,37.857142857142854
humanitarian,doet_rl,7302,14,4322.580374279476,32.857142857142854,35.857142857142854
humanitarian,doet_rl,7303,15,4300.936536602114,34.53333333333333,41.06666666666667
humanitarian,doet_rl,7304,15,4389.4972001344095,33.06666666666667,39.666666666666664
humanitarian,doet_rl,7305,14,4262.891562822263,33.642857142857146,39.857142857142854
humanitarian,learned_no_entropy,7301,14,4249.0470740694345,71.71428571428571,109.14285714285714
humanitarian,learned_no_entropy,7302,14,4403.362055617527,69.78571428571429,104.85714285714286
humanitarian,learned_no_entropy,7303,15,4338.045038013549,74.53333333333333,106.26666666666667
humanitarian,learned_no_entropy,7304,15,4451.6186935458445,70.8,107.0
humanitarian,learned_no_entropy,7305,14,4340.757505679407,74.07142857142857,108.92857142857143
humanitarian,thermoagent,7301,2,3908.5084134622257,580.0,102.5
humanitarian,thermoagent,7302,2,4391.707892341478,542.5,107.0
humanitarian,thermoagent,7303,3,4143.230042371918,667.3333333333334,89.33333333333333
humanitarian,thermoagent,7304,3,4536.753505243105,729.3333333333334,102.66666666666667
humanitarian,thermoagent,7305,2,4341.912684576085,753.5,101.0
