application,scenario_name,method,method_variant,episodes,episodes_with_activation,total_trigger_activations,pre_disruption_activation_rate,first_activation_step_mean,disruption_step_mean,activation_delay_from_disruption_mean
commercial,compound_partition,disruption_label_oracle,base,3,3,30,1.0,0.0,8.0,-8.0
commercial,compound_partition,doet_rule,partition_signal_noise,3,0,0,0.0,,8.0,
commercial,compound_partition,doet_rule,selected,3,0,0,0.0,,8.0,
commercial,compound_partition,doet_rule,without_distributed_gossip,3,0,0,0.0,,8.0,
commercial,compound_partition,doet_rule,without_hysteresis,3,0,0,0.0,,8.0,
commercial,compound_partition,doet_rule,without_local_surprisal,3,0,0,0.0,,8.0,
commercial,compound_partition,global_entropy_trigger_oracle,base,3,0,0,0.0,,8.0,
commercial,compound_partition,kpi_cusum_trigger,private_local_kpi,3,3,24,1.0,0.0,8.0,-8.0
commercial,correlated,disruption_label_oracle,base,3,3,30,1.0,0.0,8.0,-8.0
commercial,correlated,doet_rule,partition_signal_noise,3,0,0,0.0,,8.0,
commercial,correlated,doet_rule,selected,3,0,0,0.0,,8.0,
commercial,correlated,doet_rule,without_distributed_gossip,3,0,0,0.0,,8.0,
commercial,correlated,doet_rule,without_hysteresis,3,0,0,0.0,,8.0,
commercial,correlated,doet_rule,without_local_surprisal,3,0,0,0.0,,8.0,
commercial,correlated,global_entropy_trigger_oracle,base,3,0,0,0.0,,8.0,
commercial,correlated,kpi_cusum_trigger,private_local_kpi,3,3,24,1.0,0.0,8.0,-8.0
humanitarian,compound_partition,disruption_label_oracle,base,3,3,30,1.0,0.0,8.0,-8.0
humanitarian,compound_partition,doet_rule,partition_signal_noise,3,0,0,0.0,,8.0,
humanitarian,compound_partition,doet_rule,selected,3,0,0,0.0,,8.0,
humanitarian,compound_partition,doet_rule,without_distributed_gossip,3,0,0,0.0,,8.0,
humanitarian,compound_partition,doet_rule,without_hysteresis,3,0,0,0.0,,8.0,
humanitarian,compound_partition,doet_rule,without_local_surprisal,3,0,0,0.0,,8.0,
humanitarian,compound_partition,global_entropy_trigger_oracle,base,3,0,0,0.0,,8.0,
humanitarian,compound_partition,kpi_cusum_trigger,private_local_kpi,3,3,21,1.0,0.0,8.0,-8.0
humanitarian,correlated,disruption_label_oracle,base,3,3,30,1.0,0.0,8.0,-8.0
humanitarian,correlated,doet_rule,partition_signal_noise,3,0,0,0.0,,8.0,
humanitarian,correlated,doet_rule,selected,3,0,0,0.0,,8.0,
humanitarian,correlated,doet_rule,without_distributed_gossip,3,0,0,0.0,,8.0,
humanitarian,correlated,doet_rule,without_hysteresis,3,0,0,0.0,,8.0,
humanitarian,correlated,doet_rule,without_local_surprisal,3,0,0,0.0,,8.0,
humanitarian,correlated,global_entropy_trigger_oracle,base,3,0,0,0.0,,8.0,
humanitarian,correlated,kpi_cusum_trigger,private_local_kpi,3,3,21,1.0,0.0,8.0,-8.0
