application,method,episodes,wall_clock_hours,llm_calls,prompt_tokens,generated_tokens,messages_including_sketches,structured_bytes,approximate_gpu_cost_usd_at_0_34_per_hour
commercial,autonomous_no_comm,12,0.12201913176621827,754,979188,32680,0,0,0.04148650480051422
commercial,doet_rl,72,0.6673176419269293,2851,4760529,155384,2211,730311,0.226887998255156
commercial,doet_rule,72,1.2061478784276793,4728,8539664,298232,4392,1323201,0.410090278665411
commercial,fixed_always_on,72,1.9659434446257849,7512,13848942,512095,16513,4360616,0.6684207711727669
commercial,kpi_cusum_trigger,12,0.405928445905447,1424,2753765,100569,911,270310,0.138015671607852
commercial,learned_no_entropy,72,2.05509496782182,7935,14112979,547238,5220,1586692,0.6987322890594189
commercial,periodic_communication,12,0.3032698491039789,1171,1964490,78953,1318,355505,0.10311174869535283
commercial,random_budget_matched,12,0.3115608144468731,1177,1973419,77724,1319,359540,0.10593067691193686
commercial,thermoagent,12,0.32847913816364277,1239,2094472,84929,7756,2932794,0.11168290697563855
humanitarian,autonomous_no_comm,12,0.17196236203321152,879,1202353,43171,0,0,0.05846720309129192
humanitarian,doet_rl,72,0.7133053053418795,2801,4760489,157222,2405,787612,0.24252380381623906
humanitarian,doet_rule,72,1.191844001137134,4415,7800153,285951,4049,1200990,0.4052269603866256
humanitarian,fixed_always_on,72,2.0090609478826322,7277,13779396,504692,16185,4195839,0.683080722280095
humanitarian,kpi_cusum_trigger,12,0.40320854756256774,1338,2636053,95591,726,214172,0.13709090617127304
humanitarian,learned_no_entropy,72,2.075752827545835,7720,13798257,536600,5198,1532473,0.7057559613655839
humanitarian,periodic_communication,12,0.29718745740751423,1101,1863746,73983,1307,337845,0.10104373551855485
humanitarian,random_budget_matched,12,0.3148604924738821,1134,1926668,78294,1307,346051,0.10705256744111992
humanitarian,thermoagent,12,0.3316983839869499,1197,2114155,82656,7942,2941417,0.11277745055556297
