actionable_opportunities,agent_count,allocation_inequality_gini,application,autonomous_action_coverage,baseline_calibration_sketch_messages,beneficial_actions,commitment_failures,completed_at,complexity,conservation_feasible,controller,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivery_completion,distributed_estimation_mae,dropped_messages,eligible_operational_proposals,environment_seed,event_count,fragmentation,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,net_causal_utility,network_disruption,neutral_actions,operational_bytes,operational_messages,operational_node_count,operator_escalations,operator_minutes,physical_actions,post_disruption_sketch_messages,privacy_boundary_pass,resource_waste,run_id,service_loss,service_reaching_actions,sketch_bytes,sketch_messages,sketch_policy,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
274,28,0.45427466117159965,humanitarian,0.6313868613138686,88,58,0,2026-08-16T14:28:44.661510+00:00,medium,True,always_act,high,16943.756305227947,814,15,75.73340403794755,0.04365062787374158,957,274,775103,21305,high,109,60,419,private_fragmented,3,1.1368683772161603e-13,203.1073474613932,high,0,98445,419,16,0,0.0,173,3865,True,8.0,v7-pilots_iteration3-humanitarian-medium-high-high-high-modular-private_fragmented-775103-always_act-event_triggered,32307.093100577345,47,1528172,4433,event_triggered,2026-08-16T14:27:30.379243+00:00,f42961dabe868827795b9b54a7b560e8ee13f34dfda535d9745389d8a9aa6ff8,10,modular,1626617,4852,1499.4698799029363,,,,,,,,
220,28,0.4669222850589909,humanitarian,0.6,168,57,0,2026-08-16T14:27:25.689659+00:00,medium,True,always_act,medium,11820.94970639104,6845,15,105.90204925541306,0.030626757719542663,3042,220,775102,59634,medium,73,60,226,private_fragmented,3,4.263256414560601e-14,162.65229951473847,medium,0,59934,254,16,0,0.0,132,17157,True,3.5,v7-pilots_iteration3-humanitarian-medium-medium-medium-medium-small_world-private_fragmented-775102-always_act-event_triggered,25071.385225908285,60,6268813,18173,event_triggered,2026-08-16T14:25:04.168531+00:00,c5681f7d2d8279938dd2abfcef48dd0efa10f5e6fdae29b5f501f0b7b623abee,10,small_world,6328747,18427,1152.9853294126037,,,,,,,,
41,12,0.5443911208334247,humanitarian,0.975609756097561,38,17,0,2026-08-16T14:25:03.524985+00:00,small,True,always_act,low,554.3455152493069,1186,10,27.466399741909697,0.028958483612999495,293,41,775101,5143,low,22,30,20,private_fragmented,3,5.329070518200751e-15,29.01578294107734,low,0,6933,29,8,0,0.0,40,989,True,0.0,v7-pilots_iteration3-humanitarian-small-low-low-low-random_geometric-private_fragmented-775101-always_act-event_triggered,1160.8487472604108,17,399836,1157,event_triggered,2026-08-16T14:24:54.930277+00:00,f6d2de2a7e8a1f98b2c8ba9069e9227b089084e106c2b5bcb538951a657acf1c,11,random_geometric,406769,1186,112.26423098841778,,,,,,,,
378,52,,utility_restoration,0.7513227513227513,178,142,,2026-08-16T14:40:30.013030+00:00,large,True,always_act,high,,5334,20,,0.043342239114945995,912,378,776107,66437,high,61,100,637,private_fragmented,3,1.3002932064409833e-12,28.451296145763653,high,81,157383,674,30,0,0.0,284,12295,True,,v7-pilots_iteration3-utility_restoration-large-high-high-high-grid-private_fragmented-776107-always_act-event_triggered,3700.730097495028,18,5725475,16482,event_triggered,2026-08-16T14:35:54.248465+00:00,22ebb6a4b652e8eead680a07809d3b91027f1f0739e1396d433637ca8a7d6410,,grid,5882858,17156,,0.8948140091461914,36,36.0,0.0,5,40.333333333333336,57,1840.5175532015098
109,28,,utility_restoration,0.8990825688073395,74,42,,2026-08-16T14:35:52.332812+00:00,medium,True,always_act,high,,327,15,,0.04700713964835893,418,109,776106,16107,high,32,60,282,private_fragmented,3,1.5365486660812167e-13,3.484129963549184,high,24,67369,286,16,0,0.0,98,2458,True,,v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,1409.6529738689621,10,1051589,3035,event_triggered,2026-08-16T14:34:53.452395+00:00,1f4b37a463a680257fab24c1acdedc0a47f74659c8b712fa873379f38b390080,,modular,1118958,3321,,0.8420178867589472,10,17.0,0.0,2,13.666666666666666,30,663.5137577021219
154,28,,utility_restoration,0.7012987012987013,90,42,,2026-08-16T14:33:22.224126+00:00,medium,True,always_act,high,,3690,15,,0.028867064479456788,710,154,776104,28836,low,46,60,61,private_fragmented,3,5.861977570020827e-14,11.182136426779522,medium,20,25016,107,16,0,0.0,108,6382,True,,v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,945.0453581715303,9,2646339,7564,event_triggered,2026-08-16T14:31:51.342293+00:00,178b31aa5265f8a0eeada2f84149b1206bfa47b0c3fa5c3e6e4902c9ff0ed459,,grid,2671355,7671,,0.9085280218732334,17,17.0,0.0,0,28.5,46,420.52248576737014
114,28,,utility_restoration,0.8859649122807017,104,43,,2026-08-16T14:34:50.982430+00:00,medium,True,always_act,low,,1579,15,,0.046797104488057566,1546,114,776105,25840,high,39,60,279,private_fragmented,3,6.217248937900877e-14,2.1019277500132523,medium,19,66966,286,16,0,0.0,101,5755,True,,v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,596.5125304151071,17,2308350,6653,event_triggered,2026-08-16T14:33:24.918148+00:00,f3702ae1ea7b840a45121153317db7be74a7865b1506751986c4b665458a00a6,,modular,2375316,6939,,0.8757279770271748,21,19.0,0.0,1,28.333333333333332,38,160.50735827951985
70,28,,utility_restoration,0.8857142857142857,150,15,,2026-08-16T14:31:45.792317+00:00,medium,True,always_act,medium,,16720,15,,0.03600937497768294,3671,70,776103,73786,medium,30,60,101,private_fragmented,3,1.5987211554602254e-14,4.851853131688791,medium,17,27910,119,16,0,0.0,62,19953,True,,v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,301.6912064247633,16,8216934,23552,event_triggered,2026-08-16T14:28:57.326874+00:00,c3ec91545eda1e221404eaebb4a0a2fdd9a7d9ad14f2c56ea61d29ef7327796f,,scale_free,8244844,23671,,0.8995276954238448,15,19.0,0.0,1,21.0,29,142.9154278784667
28,12,,utility_restoration,1.0,26,14,,2026-08-16T14:28:56.817933+00:00,small,True,always_act,high,,543,10,,0.037508552700195846,132,28,776102,3739,high,9,30,75,private_fragmented,3,4.796163466380676e-14,7.643232366704552,high,5,18300,78,8,0,0.0,28,549,True,,v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,115.05198341343029,8,223419,643,event_triggered,2026-08-16T14:28:51.990817+00:00,68277db66a307566db2dcbb301b76cbc67825a85a25fba253d2148c9d133c47e,,modular,241719,721,,0.7476328627625857,5,16.0,0.0,1,19.5,8,59.567396855158385
20,12,,utility_restoration,0.95,34,6,,2026-08-16T14:28:51.504606+00:00,small,True,always_act,low,,581,10,,0.027467020259833788,191,20,776101,4175,low,9,30,26,private_fragmented,3,1.0658141036401503e-14,5.4079701459016025,low,4,6924,29,8,0,0.0,19,800,True,,v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,135.11774367719084,7,304605,868,event_triggered,2026-08-16T14:28:47.018571+00:00,1ccc3099a51eb2a2df4f97c50d886ad77e1eb54da08762e83a74cc4024d25338,,grid,311529,897,,0.8532504101281835,5,19.0,0.0,2,18.0,6,31.045748970674467
