cluster_id,sweep,phase,entropy_component,value
V14Q_g0,1,baseline,mean_individual_entropy,0.1655685673579328
V14Q_g0,2,baseline,mean_individual_entropy,0.1831270872670136
V14Q_g0,3,baseline,mean_individual_entropy,0.2096590946693099
V14Q_g0,4,baseline,mean_individual_entropy,0.2211059946210354
V14Q_g0,5,baseline,mean_individual_entropy,0.2229340637422767
V14Q_g0,6,baseline,mean_individual_entropy,0.1532878279857107
V14Q_g0,7,baseline,mean_individual_entropy,0.0715972934180205
V14Q_g0,8,baseline,mean_individual_entropy,0.0485123791183616
V14Q_g0,9,baseline,mean_individual_entropy,0.0219819049280868
V14Q_g0,10,baseline,mean_individual_entropy,0.0
V14Q_g0,11,baseline,mean_individual_entropy,0.0
V14Q_g0,12,baseline,mean_individual_entropy,0.0
V14Q_g0,13,baseline,mean_individual_entropy,0.0
V14Q_g0,14,baseline,mean_individual_entropy,0.0
V14Q_g0,15,baseline,mean_individual_entropy,0.0
V14Q_g0,16,disruption,mean_individual_entropy,0.0
V14Q_g0,17,disruption,mean_individual_entropy,0.0
V14Q_g0,18,disruption,mean_individual_entropy,0.0
V14Q_g0,19,disruption,mean_individual_entropy,0.0
V14Q_g0,20,disruption,mean_individual_entropy,0.0
V14Q_g0,21,disruption,mean_individual_entropy,0.0
V14Q_g0,22,disruption,mean_individual_entropy,0.0289829024887131
V14Q_g0,23,disruption,mean_individual_entropy,0.0399602062293212
V14Q_g0,24,disruption,mean_individual_entropy,0.061942111157408
V14Q_g0,25,disruption,mean_individual_entropy,0.0732829462754024
V14Q_g0,26,disruption,mean_individual_entropy,0.0732829462754024
V14Q_g0,27,disruption,mean_individual_entropy,0.0610597585052341
V14Q_g0,28,disruption,mean_individual_entropy,0.0333227400460811
V14Q_g0,29,disruption,mean_individual_entropy,0.0219819049280868
V14Q_g0,30,disruption,mean_individual_entropy,0.0
V14Q_g0,31,recovery,mean_individual_entropy,0.0
V14Q_g0,32,recovery,mean_individual_entropy,0.0
V14Q_g0,33,recovery,mean_individual_entropy,0.0
V14Q_g0,34,recovery,mean_individual_entropy,0.0250249484030605
V14Q_g0,35,recovery,mean_individual_entropy,0.0250249484030605
V14Q_g0,36,recovery,mean_individual_entropy,0.0250249484030605
V14Q_g0,37,recovery,mean_individual_entropy,0.0250249484030605
V14Q_g0,38,recovery,mean_individual_entropy,0.0250249484030605
V14Q_g0,39,recovery,mean_individual_entropy,0.0
V14Q_g0,40,recovery,mean_individual_entropy,0.0
V14Q_g0,41,recovery,mean_individual_entropy,0.0
V14Q_g0,42,recovery,mean_individual_entropy,0.0
V14Q_g0,43,recovery,mean_individual_entropy,0.0
V14Q_g0,44,recovery,mean_individual_entropy,0.0
V14Q_g0,45,recovery,mean_individual_entropy,0.0
V14Q_g0,1,baseline,mean_individual_entropy,0.1655685673579328
V14Q_g0,2,baseline,mean_individual_entropy,0.1831270872670136
V14Q_g0,3,baseline,mean_individual_entropy,0.2096590946693099
V14Q_g0,4,baseline,mean_individual_entropy,0.2211059946210354
V14Q_g0,5,baseline,mean_individual_entropy,0.2229340637422767
V14Q_g0,6,baseline,mean_individual_entropy,0.1532878279857107
V14Q_g0,7,baseline,mean_individual_entropy,0.0715972934180205
V14Q_g0,8,baseline,mean_individual_entropy,0.0485123791183616
V14Q_g0,9,baseline,mean_individual_entropy,0.0219819049280868
V14Q_g0,10,baseline,mean_individual_entropy,0.0
V14Q_g0,11,baseline,mean_individual_entropy,0.0
V14Q_g0,12,baseline,mean_individual_entropy,0.0
V14Q_g0,13,baseline,mean_individual_entropy,0.0
V14Q_g0,14,baseline,mean_individual_entropy,0.0
V14Q_g0,15,baseline,mean_individual_entropy,0.0
V14Q_g0,16,disruption,mean_individual_entropy,0.3191623066470041
V14Q_g0,17,disruption,mean_individual_entropy,0.6081893083896295
V14Q_g0,18,disruption,mean_individual_entropy,0.6864007435206462
V14Q_g0,19,disruption,mean_individual_entropy,0.5974012306726877
V14Q_g0,20,disruption,mean_individual_entropy,0.2878871551758674
V14Q_g0,21,disruption,mean_individual_entropy,0.0
V14Q_g0,22,disruption,mean_individual_entropy,0.0
V14Q_g0,23,disruption,mean_individual_entropy,0.0
V14Q_g0,24,disruption,mean_individual_entropy,0.0
V14Q_g0,25,disruption,mean_individual_entropy,0.0
V14Q_g0,26,disruption,mean_individual_entropy,0.0
V14Q_g0,27,disruption,mean_individual_entropy,0.0
V14Q_g0,28,disruption,mean_individual_entropy,0.0073066780710956
V14Q_g0,29,disruption,mean_individual_entropy,0.0312751514711367
V14Q_g0,30,disruption,mean_individual_entropy,0.0312751514711367
V14Q_g0,31,recovery,mean_individual_entropy,0.3299503843639459
