study,cluster_id,markovized,persistent,difference
V13,B_memory_n16_g0,-0.0191400389241638,0.0171270759270435,0.0362671148512073
V13,B_memory_n16_g1,-0.018476583242156,0.0133831405012416,0.0318597237433976
V13,B_memory_n16_g2,-0.0126237049544361,0.016525038986124,0.0291487439405601
V13,B_memory_n16_g3,-0.016521979671917,0.007973682713174,0.024495662385091002
V13,B_memory_n16_g4,-0.0166095398572595,0.0187185502244353,0.035328090081694796
V13,B_memory_n16_g5,-0.0658987219188821,0.0187881195149859,0.08468684143386801
V12,memory_n16_modular_g0|0.00|reciprocal,nan,nan,0.059546010934708
V12,memory_n16_modular_g0|0.80|forward,nan,nan,0.0239020497409831
V12,memory_n16_modular_g0|0.80|transpose,nan,nan,0.0562383455709318
V12,memory_n16_modular_g1|0.00|reciprocal,nan,nan,-0.007348624769956
V12,memory_n16_modular_g1|0.80|forward,nan,nan,0.0291547833396942
V12,memory_n16_modular_g1|0.80|transpose,nan,nan,-0.0101688788381885
V12,memory_n16_ring_g0|0.00|reciprocal,nan,nan,0.0472985267845797
V12,memory_n16_ring_g0|0.80|forward,nan,nan,0.03693902579399
V12,memory_n16_ring_g0|0.80|transpose,nan,nan,0.1351718383278558
V12,memory_n16_ring_g1|0.00|reciprocal,nan,nan,0.069850097925799
V12,memory_n16_ring_g1|0.80|forward,nan,nan,0.0061569568132862
V12,memory_n16_ring_g1|0.80|transpose,nan,nan,0.0298688415226239
V12,memory_n8_modular_g0|0.00|reciprocal,nan,nan,-0.0200884256482511
V12,memory_n8_modular_g0|0.80|forward,nan,nan,0.042046031582598
V12,memory_n8_modular_g0|0.80|transpose,nan,nan,0.0212752782250428
V12,memory_n8_modular_g1|0.00|reciprocal,nan,nan,-0.0209926161068381
V12,memory_n8_modular_g1|0.80|forward,nan,nan,-0.0088571339023941
V12,memory_n8_modular_g1|0.80|transpose,nan,nan,-0.0055226656458853
V12,memory_n8_ring_g0|0.00|reciprocal,nan,nan,-0.0293161217626991
V12,memory_n8_ring_g0|0.80|forward,nan,nan,0.0338199781559228
V12,memory_n8_ring_g0|0.80|transpose,nan,nan,-0.02690016811858
V12,memory_n8_ring_g1|0.00|reciprocal,nan,nan,-0.0208054265905963
V12,memory_n8_ring_g1|0.80|forward,nan,nan,0.0038200487227981
V12,memory_n8_ring_g1|0.80|transpose,nan,nan,-0.0155069281783651
