cluster_id,panel_id,disruption,sweep,phase,reference_energy_per_agent,configuration_entropy
V14Q_g0,V14Q_g0_field_reversal,field_reversal,1,baseline,-0.9166666666666666,1.574679441748109
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,baseline,-0.9645833333333336,1.5973827307872297
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,baseline,-1.2854166666666669,1.9387880267997528
V14Q_g0,V14Q_g0_field_reversal,field_reversal,4,baseline,-1.6062500000000002,2.0890023535876865
V14Q_g0,V14Q_g0_field_reversal,field_reversal,5,baseline,-1.6625,2.136632444435232
V14Q_g0,V14Q_g0_field_reversal,field_reversal,6,baseline,-1.6625,1.6909512315202695
V14Q_g0,V14Q_g0_field_reversal,field_reversal,7,baseline,-1.6625,1.2921238301054232
V14Q_g0,V14Q_g0_field_reversal,field_reversal,8,baseline,-1.6625,0.7774621319109287
V14Q_g0,V14Q_g0_field_reversal,field_reversal,9,baseline,-1.6625,0.3517104788493895
V14Q_g0,V14Q_g0_field_reversal,field_reversal,10,baseline,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,11,baseline,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,12,baseline,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,13,baseline,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,14,baseline,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,15,baseline,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,16,disruption,-1.6625,0.9730082983696776
V14Q_g0,V14Q_g0_field_reversal,field_reversal,17,disruption,-1.6625,0.9730082983696776
V14Q_g0,V14Q_g0_field_reversal,field_reversal,18,disruption,-1.6625,0.9730082983696776
V14Q_g0,V14Q_g0_field_reversal,field_reversal,19,disruption,-1.6625,0.9730082983696776
V14Q_g0,V14Q_g0_field_reversal,field_reversal,20,disruption,-1.6625,0.9730082983696776
V14Q_g0,V14Q_g0_field_reversal,field_reversal,21,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,22,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,23,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,24,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,25,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,26,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,27,disruption,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,28,disruption,-1.6062500000000002,0.116906849137531
V14Q_g0,V14Q_g0_field_reversal,field_reversal,29,disruption,-1.6625,0.5004024235381879
V14Q_g0,V14Q_g0_field_reversal,field_reversal,30,disruption,-1.6625,0.5004024235381879
V14Q_g0,V14Q_g0_field_reversal,field_reversal,31,recovery,-1.6625,1.3917829190911706
V14Q_g0,V14Q_g0_field_reversal,field_reversal,32,recovery,-1.6625,1.3917829190911706
V14Q_g0,V14Q_g0_field_reversal,field_reversal,33,recovery,-1.6625,1.3616667225874577
V14Q_g0,V14Q_g0_field_reversal,field_reversal,34,recovery,-1.6625,0.9383509393416803
V14Q_g0,V14Q_g0_field_reversal,field_reversal,35,recovery,-1.6625,0.9383509393416803
V14Q_g0,V14Q_g0_field_reversal,field_reversal,36,recovery,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,37,recovery,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,38,recovery,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,39,recovery,-1.74375,0.1599159553146567
V14Q_g0,V14Q_g0_field_reversal,field_reversal,40,recovery,-1.6625,0.1599159553146567
V14Q_g0,V14Q_g0_field_reversal,field_reversal,41,recovery,-1.6625,0.1599159553146567
V14Q_g0,V14Q_g0_field_reversal,field_reversal,42,recovery,-1.6625,0.1599159553146567
V14Q_g0,V14Q_g0_field_reversal,field_reversal,43,recovery,-1.6625,0.1599159553146567
V14Q_g0,V14Q_g0_field_reversal,field_reversal,44,recovery,-1.6625,-0.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,45,recovery,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,1,baseline,-0.7729166666666667,1.700164942414579
V14Q_g1,V14Q_g1_field_reversal,field_reversal,2,baseline,-1.15625,1.9839957823613168
V14Q_g1,V14Q_g1_field_reversal,field_reversal,3,baseline,-1.4229166666666666,1.959178023202357
