cluster_id,panel_id,disruption,sweep,phase,belief_susceptibility,integrated_correlation_time
V14Q_g0,V14Q_g0_field_reversal,field_reversal,1,baseline,0.0572916666666666,2.394285714285714
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,baseline,0.064516129032258,2.18494623655914
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,baseline,0.0953014184397163,8.036645064875561
V14Q_g0,V14Q_g0_field_reversal,field_reversal,4,baseline,0.1472594246031746,13.897247471719773
V14Q_g0,V14Q_g0_field_reversal,field_reversal,5,baseline,0.1517405063291139,19.80913471755147
V14Q_g0,V14Q_g0_field_reversal,field_reversal,6,baseline,0.113884493670886,13.1978274321881
V14Q_g0,V14Q_g0_field_reversal,field_reversal,7,baseline,0.0504746835443038,13.207038060399547
V14Q_g0,V14Q_g0_field_reversal,field_reversal,8,baseline,0.0474683544303797,17.165291857110866
V14Q_g0,V14Q_g0_field_reversal,field_reversal,9,baseline,0.0252768987341772,9.230573003740991
V14Q_g0,V14Q_g0_field_reversal,field_reversal,10,baseline,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,11,baseline,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,12,baseline,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,13,baseline,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,14,baseline,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,15,baseline,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,16,disruption,0.1504746835443038,11.12638348936415
V14Q_g0,V14Q_g0_field_reversal,field_reversal,17,disruption,0.1504746835443038,10.164817322427355
V14Q_g0,V14Q_g0_field_reversal,field_reversal,18,disruption,0.1504746835443038,10.164817322427355
V14Q_g0,V14Q_g0_field_reversal,field_reversal,19,disruption,0.1504746835443038,10.164817322427355
V14Q_g0,V14Q_g0_field_reversal,field_reversal,20,disruption,0.1504746835443038,12.075733273968302
V14Q_g0,V14Q_g0_field_reversal,field_reversal,21,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,22,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,23,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,24,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,25,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,26,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,27,disruption,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,28,disruption,0.0061708860759493,2.0120090879584547
V14Q_g0,V14Q_g0_field_reversal,field_reversal,29,disruption,0.040506329113924,15.344570068854754
V14Q_g0,V14Q_g0_field_reversal,field_reversal,30,disruption,0.040506329113924,13.00835301902602
V14Q_g0,V14Q_g0_field_reversal,field_reversal,31,recovery,0.2087025316455696,8.205488053133019
V14Q_g0,V14Q_g0_field_reversal,field_reversal,32,recovery,0.2087025316455696,7.414687650407299
V14Q_g0,V14Q_g0_field_reversal,field_reversal,33,recovery,0.2088607594936709,7.896967864835364
V14Q_g0,V14Q_g0_field_reversal,field_reversal,34,recovery,0.2011075949367088,8.224975526389175
V14Q_g0,V14Q_g0_field_reversal,field_reversal,35,recovery,0.2011075949367088,8.47080606582539
V14Q_g0,V14Q_g0_field_reversal,field_reversal,36,recovery,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,37,recovery,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,38,recovery,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,39,recovery,0.0091376582278481,3.030987296810081
V14Q_g0,V14Q_g0_field_reversal,field_reversal,40,recovery,0.0091376582278481,2.951404432417092
V14Q_g0,V14Q_g0_field_reversal,field_reversal,41,recovery,0.0091376582278481,2.951404432417091
V14Q_g0,V14Q_g0_field_reversal,field_reversal,42,recovery,0.0091376582278481,2.951404432417092
V14Q_g0,V14Q_g0_field_reversal,field_reversal,43,recovery,0.0091376582278481,2.951404432417091
V14Q_g0,V14Q_g0_field_reversal,field_reversal,44,recovery,0.0,1.0
V14Q_g0,V14Q_g0_field_reversal,field_reversal,45,recovery,0.0,1.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,1,baseline,0.0572916666666666,3.3815917415917416
V14Q_g1,V14Q_g1_field_reversal,field_reversal,2,baseline,0.063508064516129,4.769560702788098
V14Q_g1,V14Q_g1_field_reversal,field_reversal,3,baseline,0.1488253546099291,12.180336679621536
V14Q_g1,V14Q_g1_field_reversal,field_reversal,4,baseline,0.1611483134920635,20.60787223738069
V14Q_g1,V14Q_g1_field_reversal,field_reversal,5,baseline,0.128757911392405,20.77776671123259
V14Q_g1,V14Q_g1_field_reversal,field_reversal,6,baseline,0.0848101265822784,15.099542006660668
V14Q_g1,V14Q_g1_field_reversal,field_reversal,7,baseline,0.0518591772151898,19.133463107900244
V14Q_g1,V14Q_g1_field_reversal,field_reversal,8,baseline,0.0363528481012658,11.251278154815209
V14Q_g1,V14Q_g1_field_reversal,field_reversal,9,baseline,0.0974683544303797,15.685970090487658
V14Q_g1,V14Q_g1_field_reversal,field_reversal,10,baseline,0.1075949367088607,23.831422847373283
V14Q_g1,V14Q_g1_field_reversal,field_reversal,11,baseline,0.0974683544303797,21.1511843298821
V14Q_g1,V14Q_g1_field_reversal,field_reversal,12,baseline,0.0670886075949366,12.76765777540036
V14Q_g1,V14Q_g1_field_reversal,field_reversal,13,baseline,0.0202136075949367,6.5474596536802965
V14Q_g1,V14Q_g1_field_reversal,field_reversal,14,baseline,0.0,1.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,15,baseline,0.0,1.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,16,disruption,0.1504746835443038,4.717457227810998
